date,country,value
2016-01-01,UK,0.44
2016-04-01,UK,0.58
2016-07-01,UK,0.45
2016-10-01,UK,0.74
2017-01-01,UK,0.65
2017-04-01,UK,0.31
2017-07-01,UK,0.43
2017-10-01,UK,0.40
2018-01-01,UK,0.24
2018-04-01,UK,0.55
2018-07-01,UK,0.63
2018-10-01,UK,0.34
2019-01-01,UK,0.64
2019-04-01,UK,0.13
2019-07-01,UK,0.46
2019-10-01,UK,-0.04
2020-01-01,UK,-2.64
2020-04-01,UK,-19.45
2020-07-01,UK,17.57
2020-10-01,UK,1.50
2021-01-01,UK,-1.17
2021-04-01,UK,5.65
2021-07-01,UK,0.99
2021-10-01,UK,0.96
2016-01-01,Euro area,0.56
2016-04-01,Euro area,0.25
2016-07-01,Euro area,0.45
2016-10-01,Euro area,0.75
2017-01-01,Euro area,0.71
2017-04-01,Euro area,0.80
2017-07-01,Euro area,0.70
2017-10-01,Euro area,0.85
2018-01-01,Euro area,0.07
2018-04-01,Euro area,0.49
2018-07-01,Euro area,0.07
2018-10-01,Euro area,0.57
2019-01-01,Euro area,0.74
2019-04-01,Euro area,0.21
2019-07-01,Euro area,0.24
2019-10-01,Euro area,-0.06
2020-01-01,Euro area,-3.52
2020-04-01,Euro area,-11.63
2020-07-01,Euro area,12.64
2020-10-01,Euro area,-0.32
2021-01-01,Euro area,-0.13
2021-04-01,Euro area,2.21
2021-07-01,Euro area,2.25
2021-10-01,Euro area,0.26
2016-01-01,United States,0.59
2016-04-01,United States,0.30
2016-07-01,United States,0.60
2016-10-01,United States,0.50
2017-01-01,United States,0.47
2017-04-01,United States,0.56
2017-07-01,United States,0.72
2017-10-01,United States,0.94
2018-01-01,United States,0.76
2018-04-01,United States,0.83
2018-07-01,United States,0.48
2018-10-01,United States,0.22
2019-01-01,United States,0.60
2019-04-01,United States,0.79
2019-07-01,United States,0.69
2019-10-01,United States,0.47
2020-01-01,United States,-1.30
2020-04-01,United States,-8.94
2020-07-01,United States,7.55
2020-10-01,United States,1.12
2021-01-01,United States,1.53
2021-04-01,United States,1.64
2021-07-01,United States,0.57
2021-10-01,United States,1.70
2016-01-01,Japan,0.73
2016-04-01,Japan,-0.14
2016-07-01,Japan,0.17
2016-10-01,Japan,0.16
2017-01-01,Japan,0.80
2017-04-01,Japan,0.42
2017-07-01,Japan,0.76
2017-10-01,Japan,0.11
2018-01-01,Japan,0.13
2018-04-01,Japan,0.39
2018-07-01,Japan,-0.73
2018-10-01,Japan,-0.19
2019-01-01,Japan,0.47
2019-04-01,Japan,0.51
2019-07-01,Japan,0.01
2019-10-01,Japan,-2.74
2020-01-01,Japan,0.43
2020-04-01,Japan,-7.95
2020-07-01,Japan,5.30
2020-10-01,Japan,1.86
2021-01-01,Japan,-0.54
2021-04-01,Japan,0.58
2021-07-01,Japan,-0.71
2021-10-01,Japan,1.13
2016-01-01,Germany,0.82
2016-04-01,Germany,0.41
2016-07-01,Germany,0.34
2016-10-01,Germany,0.31
2017-01-01,Germany,1.22
2017-04-01,Germany,0.78
2017-07-01,Germany,0.88
2017-10-01,Germany,0.81
2018-01-01,Germany,-0.43
2018-04-01,Germany,0.56
2018-07-01,Germany,-0.42
2018-10-01,Germany,0.39
2019-01-01,Germany,1.05
2019-04-01,Germany,-0.49
2019-07-01,Germany,0.41
2019-10-01,Germany,-0.07
2020-01-01,Germany,-1.76
2020-04-01,Germany,-10.00
2020-07-01,Germany,9.04
2020-10-01,Germany,0.74
2021-01-01,Germany,-1.68
2021-04-01,Germany,2.17
2021-07-01,Germany,1.67
