Age Group,Period,Number employed (thousands)
16-24 ,Sep-Nov 2019,0
16-24 ,Oct-Dec 2019,25.339
16-24 ,Nov-Jan 2020,55.634
16-24 ,Dec-Feb 2020,59.418
16-24 ,Jan-Mar 2020,27.741
16-24 ,Feb-Apr 2020,-9.836
16-24 ,Mar-May 2020,-7.901
16-24 ,Apr-Jun 2020,-72.293
16-24 ,May-Jul 2020,-159.94
16-24 ,Jun-Aug 2020,-228.073
16-24 ,Jul-Sep 2020,-246.402
16-24 ,Aug-Oct 2020,-250.241
16-24 ,Sep-Nov 2020,-203.585
25-34,Sep-Nov 2019,0
25-34,Oct-Dec 2019,2.421
25-34,Nov-Jan 2020,3.47
25-34,Dec-Feb 2020,27.629
25-34,Jan-Mar 2020,19.711
25-34,Feb-Apr 2020,-13.475
25-34,Mar-May 2020,-14.585
25-34,Apr-Jun 2020,-6.67
25-34,May-Jul 2020,39.872
25-34,Jun-Aug 2020,15.121
25-34,Jul-Sep 2020,-2.394
25-34,Aug-Oct 2020,-15.987
25-34,Sep-Nov 2020,-21.32
35-49,Sep-Nov 2019,0
35-49,Oct-Dec 2019,14.928
35-49,Nov-Jan 2020,-10.586
35-49,Dec-Feb 2020,4.438
35-49,Jan-Mar 2020,-32.208
35-49,Feb-Apr 2020,-66.589
35-49,Mar-May 2020,-75.834
35-49,Apr-Jun 2020,-67.088
35-49,May-Jul 2020,-61.205
35-49,Jun-Aug 2020,-56.107
35-49,Jul-Sep 2020,-88.133
35-49,Aug-Oct 2020,-60.216
35-49,Sep-Nov 2020,-121.138
50-64,Sep-Nov 2019,0
50-64,Oct-Dec 2019,17.096
50-64,Nov-Jan 2020,11.443
50-64,Dec-Feb 2020,18.291
50-64,Jan-Mar 2020,8.663
50-64,Feb-Apr 2020,-10.837
50-64,Mar-May 2020,-42.216
50-64,Apr-Jun 2020,-15.631
50-64,May-Jul 2020,0.08
50-64,Jun-Aug 2020,-0.063
50-64,Jul-Sep 2020,-54.726
50-64,Aug-Oct 2020,-67.987
50-64,Sep-Nov 2020,-60.56
65+ ,Sep-Nov 2019,0
65+ ,Oct-Dec 2019,-27.137
65+ ,Nov-Jan 2020,24.093
65+ ,Dec-Feb 2020,62.31
65+ ,Jan-Mar 2020,80.5
65+ ,Feb-Apr 2020,39.835
65+ ,Mar-May 2020,-16.838
65+ ,Apr-Jun 2020,-68.47
65+ ,May-Jul 2020,-54.338
65+ ,Jun-Aug 2020,-41.236
65+ ,Jul-Sep 2020,-2.613
65+ ,Aug-Oct 2020,15.222
65+ ,Sep-Nov 2020,8.685
