Period,UK redundancy rate,Measure
Sep-Nov 2005,5.53,Redundancy
Oct-Dec 2005,5.78,Redundancy
Nov-Jan 2006,5.89,Redundancy
Dec-Feb 2006,5.97,Redundancy
Jan-Mar 2006,5.91,Redundancy
Feb-Apr 2006,6.11,Redundancy
Mar-May 2006,5.8,Redundancy
Apr-Jun 2006,5.43,Redundancy
May-Jul 2006,5.38,Redundancy
Jun-Aug 2006,5.25,Redundancy
Jul-Sep 2006,5.42,Redundancy
Aug-Oct 2006,5.44,Redundancy
Sep-Nov 2006,5.39,Redundancy
Oct-Dec 2006,5.25,Redundancy
Nov-Jan 2007,5.63,Redundancy
Dec-Feb 2007,6.07,Redundancy
Jan-Mar 2007,6.07,Redundancy
Feb-Apr 2007,5.38,Redundancy
Mar-May 2007,4.93,Redundancy
Apr-Jun 2007,4.64,Redundancy
May-Jul 2007,4.57,Redundancy
Jun-Aug 2007,4.47,Redundancy
Jul-Sep 2007,5.09,Redundancy
Aug-Oct 2007,5.07,Redundancy
Sep-Nov 2007,4.89,Redundancy
Oct-Dec 2007,4.34,Redundancy
Nov-Jan 2008,4.56,Redundancy
Dec-Feb 2008,4.52,Redundancy
Jan-Mar 2008,4.7,Redundancy
Feb-Apr 2008,4.54,Redundancy
Mar-May 2008,4.75,Redundancy
Apr-Jun 2008,4.77,Redundancy
May-Jul 2008,5.22,Redundancy
Jun-Aug 2008,5.44,Redundancy
Jul-Sep 2008,6.05,Redundancy
Aug-Oct 2008,6.92,Redundancy
Sep-Nov 2008,8.89,Redundancy
Oct-Dec 2008,10.28,Redundancy
Nov-Jan 2009,10.84,Redundancy
Dec-Feb 2009,11.1,Redundancy
Jan-Mar 2009,11.76,Redundancy
Feb-Apr 2009,12.21,Redundancy
Mar-May 2009,12.03,Redundancy
Apr-Jun 2009,10.61,Redundancy
May-Jul 2009,9.26,Redundancy
Jun-Aug 2009,8.51,Redundancy
Jul-Sep 2009,8.18,Redundancy
Aug-Oct 2009,7.66,Redundancy
Sep-Nov 2009,7.29,Redundancy
Oct-Dec 2009,6.67,Redundancy
Nov-Jan 2010,6.63,Redundancy
Dec-Feb 2010,6.44,Redundancy
Jan-Mar 2010,7.07,Redundancy
Feb-Apr 2010,6.92,Redundancy
Mar-May 2010,6.42,Redundancy
Apr-Jun 2010,6.07,Redundancy
May-Jul 2010,5.69,Redundancy
Jun-Aug 2010,5.72,Redundancy
Jul-Sep 2010,5.8,Redundancy
Aug-Oct 2010,6.36,Redundancy
Sep-Nov 2010,6.36,Redundancy
Oct-Dec 2010,5.9,Redundancy
Nov-Jan 2011,5.7,Redundancy
Dec-Feb 2011,5.08,Redundancy
Jan-Mar 2011,4.89,Redundancy
Feb-Apr 2011,4.64,Redundancy
Mar-May 2011,5.75,Redundancy
Apr-Jun 2011,6.17,Redundancy
May-Jul 2011,6.5,Redundancy
Jun-Aug 2011,5.98,Redundancy
Jul-Sep 2011,5.88,Redundancy
Aug-Oct 2011,6.46,Redundancy
Sep-Nov 2011,6.59,Redundancy
Oct-Dec 2011,6.6,Redundancy
Nov-Jan 2012,6.95,Redundancy
Dec-Feb 2012,7.01,Redundancy
Jan-Mar 2012,6.91,Redundancy
Feb-Apr 2012,6.23,Redundancy
Mar-May 2012,5.93,Redundancy
Apr-Jun 2012,6.02,Redundancy
May-Jul 2012,5.69,Redundancy
Jun-Aug 2012,5.21,Redundancy
Jul-Sep 2012,5.11,Redundancy
Aug-Oct 2012,5.83,Redundancy
Sep-Nov 2012,6.28,Redundancy
Oct-Dec 2012,5.78,Redundancy
Nov-Jan 2013,5.28,Redundancy
Dec-Feb 2013,5.44,Redundancy
Jan-Mar 2013,5.57,Redundancy
Feb-Apr 2013,5.59,Redundancy
Mar-May 2013,4.7,Redundancy
Apr-Jun 2013,4.87,Redundancy
May-Jul 2013,4.81,Redundancy
Jun-Aug 2013,5.24,Redundancy
Jul-Sep 2013,4.9,Redundancy
Aug-Oct 2013,4.71,Redundancy
Sep-Nov 2013,4.36,Redundancy
Oct-Dec 2013,4.35,Redundancy
Nov-Jan 2014,4.56,Redundancy
Dec-Feb 2014,4.54,Redundancy
Jan-Mar 2014,4.9,Redundancy
Feb-Apr 2014,4.71,Redundancy
Mar-May 2014,4.57,Redundancy
Apr-Jun 2014,4.36,Redundancy
May-Jul 2014,3.57,Redundancy
Jun-Aug 2014,3.66,Redundancy
Jul-Sep 2014,3.51,Redundancy
Aug-Oct 2014,3.93,Redundancy
Sep-Nov 2014,3.95,Redundancy
Oct-Dec 2014,4.09,Redundancy
Nov-Jan 2015,4.38,Redundancy
Dec-Feb 2015,4.12,Redundancy
Jan-Mar 2015,4.21,Redundancy
Feb-Apr 2015,4.2,Redundancy
Mar-May 2015,4.51,Redundancy
Apr-Jun 2015,4.27,Redundancy
May-Jul 2015,4.06,Redundancy
Jun-Aug 2015,4.02,Redundancy
Jul-Sep 2015,4.23,Redundancy
Aug-Oct 2015,3.97,Redundancy
Sep-Nov 2015,3.86,Redundancy
Oct-Dec 2015,3.68,Redundancy
Nov-Jan 2016,4.18,Redundancy
Dec-Feb 2016,4.2,Redundancy
Jan-Mar 2016,4.16,Redundancy
Feb-Apr 2016,3.83,Redundancy
Mar-May 2016,3.91,Redundancy
Apr-Jun 2016,4.19,Redundancy
May-Jul 2016,4.56,Redundancy
Jun-Aug 2016,4.45,Redundancy
Jul-Sep 2016,4.27,Redundancy
Aug-Oct 2016,4.41,Redundancy
Sep-Nov 2016,4.57,Redundancy
Oct-Dec 2016,4.52,Redundancy
Nov-Jan 2017,4.35,Redundancy
Dec-Feb 2017,3.95,Redundancy
Jan-Mar 2017,3.54,Redundancy
Feb-Apr 2017,3.32,Redundancy
Mar-May 2017,3.59,Redundancy
Apr-Jun 2017,4.14,Redundancy
May-Jul 2017,4.09,Redundancy
Jun-Aug 2017,3.97,Redundancy
Jul-Sep 2017,3.77,Redundancy
Aug-Oct 2017,3.7,Redundancy
Sep-Nov 2017,4.05,Redundancy
Oct-Dec 2017,3.94,Redundancy
Nov-Jan 2018,3.77,Redundancy
Dec-Feb 2018,3.57,Redundancy
Jan-Mar 2018,3.51,Redundancy
Feb-Apr 2018,3.95,Redundancy
Mar-May 2018,3.48,Redundancy
Apr-Jun 2018,3.58,Redundancy
May-Jul 2018,3.18,Redundancy
Jun-Aug 2018,3.27,Redundancy
Jul-Sep 2018,3.07,Redundancy
Aug-Oct 2018,3.02,Redundancy
Sep-Nov 2018,3.31,Redundancy
Oct-Dec 2018,3.32,Redundancy
Nov-Jan 2019,3.31,Redundancy
Dec-Feb 2019,3.18,Redundancy
