Period,Total weekly hours worked (millions),Measure
Sep-Nov 2005,928.449,Hours worked
Oct-Dec 2005,929.271,Hours worked
Nov-Jan 2006,931.323,Hours worked
Dec-Feb 2006,932.057,Hours worked
Jan-Mar 2006,931.712,Hours worked
Feb-Apr 2006,931.998,Hours worked
Mar-May 2006,931.15,Hours worked
Apr-Jun 2006,930.503,Hours worked
May-Jul 2006,931.775,Hours worked
Jun-Aug 2006,934.304,Hours worked
Jul-Sep 2006,931.829,Hours worked
Aug-Oct 2006,932.025,Hours worked
Sep-Nov 2006,932.591,Hours worked
Oct-Dec 2006,935.596,Hours worked
Nov-Jan 2007,938.154,Hours worked
Dec-Feb 2007,937.263,Hours worked
Jan-Mar 2007,937.124,Hours worked
Feb-Apr 2007,936.423,Hours worked
Mar-May 2007,939.947,Hours worked
Apr-Jun 2007,941.245,Hours worked
May-Jul 2007,941.202,Hours worked
Jun-Aug 2007,943.012,Hours worked
Jul-Sep 2007,943.125,Hours worked
Aug-Oct 2007,944.889,Hours worked
Sep-Nov 2007,944.739,Hours worked
Oct-Dec 2007,943.113,Hours worked
Nov-Jan 2008,943.131,Hours worked
Dec-Feb 2008,946.241,Hours worked
Jan-Mar 2008,955.064,Hours worked
Feb-Apr 2008,950.949,Hours worked
Mar-May 2008,951.178,Hours worked
Apr-Jun 2008,944.567,Hours worked
May-Jul 2008,950.061,Hours worked
Jun-Aug 2008,948.024,Hours worked
Jul-Sep 2008,945.168,Hours worked
Aug-Oct 2008,942.129,Hours worked
Sep-Nov 2008,941.028,Hours worked
Oct-Dec 2008,939.463,Hours worked
Nov-Jan 2009,936.842,Hours worked
Dec-Feb 2009,928.249,Hours worked
Jan-Mar 2009,923.526,Hours worked
Feb-Apr 2009,924.34,Hours worked
Mar-May 2009,923.444,Hours worked
Apr-Jun 2009,920.083,Hours worked
May-Jul 2009,913.665,Hours worked
Jun-Aug 2009,910.693,Hours worked
Jul-Sep 2009,915.244,Hours worked
Aug-Oct 2009,919.294,Hours worked
Sep-Nov 2009,916.191,Hours worked
Oct-Dec 2009,915.577,Hours worked
Nov-Jan 2010,914.4,Hours worked
Dec-Feb 2010,918.621,Hours worked
Jan-Mar 2010,914.432,Hours worked
Feb-Apr 2010,913.801,Hours worked
Mar-May 2010,916.435,Hours worked
Apr-Jun 2010,922.267,Hours worked
May-Jul 2010,926.171,Hours worked
Jun-Aug 2010,924.957,Hours worked
