,LFS employment,LFS employees,RTI 3 month average (3 month ending)
Jul-15,1.557254532,2.119631473,
Aug-15,1.390264132,1.883187468,
Sep-15,1.594805699,1.865845639,2.661941588
Oct-15,1.869855242,2.066982705,2.667510698
Nov-15,2.102947134,2.168112268,2.656512171
Dec-15,1.888639611,1.689137063,2.611879412
Jan-16,1.703867067,1.665841444,2.415513021
Feb-16,1.370989978,1.172873546,2.252514186
Mar-16,1.319611558,0.958358379,2.049405706
Apr-16,1.50184601,1.021657992,1.903041671
May-16,2.064454344,1.278254243,1.770657975
Jun-16,2.004045984,1.387238114,1.68554368
Jul-16,1.858976561,1.44410254,1.619995532
Aug-16,1.856168409,1.216038523,1.526776096
Sep-16,1.501160325,1.015817336,1.439144561
Oct-16,1.125514278,0.807281109,1.335083762
Nov-16,0.926213644,0.556192799,1.260450348
Dec-16,0.959092566,0.63116719,1.282662838
Jan-17,0.962417562,0.51405836,1.260716264
Feb-17,0.957336324,0.689314183,1.255893562
Mar-17,1.169825261,1.011142629,1.214917786
Apr-17,1.10203702,0.944289609,1.264574769
May-17,0.932346378,1.140748097,1.306394973
Jun-17,0.993311271,1.176402784,1.307810778
Jul-17,1.102552861,1.000710647,1.281280864
Aug-17,0.913238039,0.874573161,1.296789611
Sep-17,0.788318713,0.914003442,1.318982586
Oct-17,0.935726199,0.977877598,1.366544154
Nov-17,1.257985565,1.543146327,1.371702179
Dec-17,0.959472911,1.246605994,1.36436803
Jan-18,1.22110445,1.65723638,1.362370609
Feb-18,1.251191134,1.791352241,1.325942832
Mar-18,1.22765259,1.780398118,1.241039256
Apr-18,1.338042937,1.735320681,1.180516583
May-18,1.186617657,1.473998234,1.123394196
Jun-18,0.991850623,1.374583804,1.110961845
Jul-18,0.846921996,1.203203236,1.085756949
Aug-18,0.945636984,1.503396598,1.101274011
Sep-18,1.133094716,1.586950428,1.096538124
Oct-18,1.224049775,1.642337911,1.072893256
Nov-18,1.012640506,1.05327317,1.066626874
Dec-18,1.361116546,1.505473988,1.058336721
Jan-19,1.444849727,1.529696555,1.061445828
Feb-19,1.39732023,1.329948029,1.065403102
Mar-19,1.081511578,0.608584917,1.178755121
Apr-19,1.090461606,0.872662458,1.210029949
May-19,1.081255637,0.679348385,1.208242422
Jun-19,1.29470947,0.782435043,1.118135282
Jul-19,1.127217751,0.850220096,1.042380063
Aug-19,0.86372275,0.353466495,0.970004591
Sep-19,0.98513439,0.398778236,0.93454701
Oct-19,0.943044853,0.395798179,0.927313761
Nov-19,1.089912017,0.646168873,0.865810874
Dec-19,1.021120998,0.490739738,0.800293735
Jan-20,0.822318618,0.205414563,0.773083858
Feb-20,1.064820968,0.519929763,0.759539562
Mar-20,0.935194074,1.024562455,0.633112358
Apr-20,0.286006993,0.549914109,-0.050056268
May-20,-0.016360826,0.641143029,-0.881239029
Jun-20,-0.429913031,0.565940622,-1.680697701
Jul-20,-0.341896282,0.617254971,-1.946130577
Aug-20,-0.313595694,1.146720134,-2.115594591
Sep-20,-0.75859293,0.81330852,-2.299646279
Oct-20,,,-2.518664783
