date,index,value
Apr-21,"Electricity, gas and other fuels",2.4
May-21,"Electricity, gas and other fuels",2.6
Jun-21,"Electricity, gas and other fuels",2.5
Jul-21,"Electricity, gas and other fuels",2.6
Aug-21,"Electricity, gas and other fuels",2.6
Sep-21,"Electricity, gas and other fuels",2.8
Oct-21,"Electricity, gas and other fuels",22.9
Nov-21,"Electricity, gas and other fuels",23.2
Dec-21,"Electricity, gas and other fuels",22.7
Jan-22,"Electricity, gas and other fuels",22.9
Feb-22,"Electricity, gas and other fuels",23.1
Mar-22,"Electricity, gas and other fuels",24.8
Apr-22,"Electricity, gas and other fuels",69.6
Apr-21,Fuels and lubricants,13.6
May-21,Fuels and lubricants,17.9
Jun-21,Fuels and lubricants,20.3
Jul-21,Fuels and lubricants,17.7
Aug-21,Fuels and lubricants,17.7
Sep-21,Fuels and lubricants,17.8
Oct-21,Fuels and lubricants,21.5
Nov-21,Fuels and lubricants,28.5
Dec-21,Fuels and lubricants,26.8
Jan-22,Fuels and lubricants,23.6
Feb-22,Fuels and lubricants,22.3
Mar-22,Fuels and lubricants,30.7
Apr-22,Fuels and lubricants,31.4
