date,group,value
Jan to Mar 2020,16-24,16.54
Feb to Apr 2020,16-24,38.77
Mar to May 2020,16-24,22.29
Apr to Jun 2020,16-24,83.83
May to Jul 2020,16-24,160.88
Jun to Aug 2020,16-24,212.28
Jul to Sep 2020,16-24,204.41
Aug to Oct 2020,16-24,215.16
Sep to Nov 2020,16-24,186.84
Oct to Dec 2020,16-24,220.61
Nov to Jan 2021,16-24,264.21
Dec to Feb 2021,16-24,290.69
Jan to Mar 2021,16-24,303.23
Feb to Apr 2021,16-24,302.86
Mar to May 2021,16-24,261.08
Apr to Jun 2021,16-24,208.81
May to Jul 2021,16-24,178.45
Jun to Aug 2021,16-24,168.79
Jul to Sep 2021,16-24,171.73
Aug to Oct 2021,16-24,175.40
Sep to Nov 2021,16-24,150.54
Oct to Dec 2021,16-24,98.31
Nov to Jan 2022,16-24,113.51
Dec to Feb 2022,16-24,105.01
Jan to Mar 2020,25-34,5.13
Feb to Apr 2020,25-34,32.39
Mar to May 2020,25-34,19.95
Apr to Jun 2020,25-34,8.47
May to Jul 2020,25-34,-41.98
Jun to Aug 2020,25-34,-34.57
Jul to Sep 2020,25-34,-47.84
Aug to Oct 2020,25-34,-41.70
Sep to Nov 2020,25-34,-31.60
Oct to Dec 2020,25-34,-13.01
Nov to Jan 2021,25-34,-10.28
Dec to Feb 2021,25-34,-31.64
Jan to Mar 2021,25-34,-3.63
Feb to Apr 2021,25-34,-14.59
Mar to May 2021,25-34,11.96
Apr to Jun 2021,25-34,-7.76
May to Jul 2021,25-34,2.10
Jun to Aug 2021,25-34,37.03
Jul to Sep 2021,25-34,22.59
Aug to Oct 2021,25-34,26.23
Sep to Nov 2021,25-34,46.50
Oct to Dec 2021,25-34,51.42
Nov to Jan 2022,25-34,31.86
Dec to Feb 2022,35-49,47.89
Jan to Mar 2020,35-49,35.39
Feb to Apr 2020,35-49,67.04
Mar to May 2020,35-49,78.68
Apr to Jun 2020,35-49,80.04
May to Jul 2020,35-49,67.81
Jun to Aug 2020,35-49,69.91
Jul to Sep 2020,35-49,77.07
Aug to Oct 2020,35-49,27.96
Sep to Nov 2020,35-49,23.57
Oct to Dec 2020,35-49,30.67
Nov to Jan 2021,35-49,28.51
Dec to Feb 2021,35-49,-11.60
Jan to Mar 2021,35-49,6.89
Feb to Apr 2021,35-49,-13.48
Mar to May 2021,35-49,-25.99
Apr to Jun 2021,35-49,-23.22
May to Jul 2021,35-49,-34.97
Jun to Aug 2021,35-49,-60.05
Jul to Sep 2021,35-49,-56.70
Aug to Oct 2021,35-49,-43.38
Sep to Nov 2021,35-49,-26.56
Oct to Dec 2021,35-49,-17.97
Nov to Jan 2022,35-49,-2.91
Dec to Feb 2022,35-49,31.63
Jan to Mar 2020,50-64,35.04
Feb to Apr 2020,50-64,81.81
Mar to May 2020,50-64,118.67
Apr to Jun 2020,50-64,102.62
May to Jul 2020,50-64,79.67
Jun to Aug 2020,50-64,47.50
Jul to Sep 2020,50-64,101.06
Aug to Oct 2020,50-64,98.52
Sep to Nov 2020,50-64,99.08
Oct to Dec 2020,50-64,120.08
Nov to Jan 2021,50-64,128.14
Dec to Feb 2021,50-64,151.50
Jan to Mar 2021,50-64,146.77
Feb to Apr 2021,50-64,186.89
Mar to May 2021,50-64,189.65
Apr to Jun 2021,50-64,179.33
May to Jul 2021,50-64,195.53
Jun to Aug 2021,50-64,199.74
Jul to Sep 2021,50-64,225.89
Aug to Oct 2021,50-64,218.27
Sep to Nov 2021,50-64,240.69
Oct to Dec 2021,50-64,262.58
Nov to Jan 2022,50-64,277.95
Dec to Feb 2022,50-64,302.39
