date,value
2007-01-01,937.26
2007-02-01,937.12
2007-03-01,936.42
2007-04-01,939.95
2007-05-01,941.25
2007-06-01,941.20
2007-07-01,943.01
2007-08-01,943.13
2007-09-01,944.89
2007-10-01,944.74
2007-11-01,943.11
2007-12-01,943.13
2008-01-01,946.24
2008-02-01,955.06
2008-03-01,950.95
2008-04-01,951.18
2008-05-01,944.57
2008-06-01,950.06
2008-07-01,948.02
2008-08-01,945.17
2008-09-01,942.13
2008-10-01,941.03
2008-11-01,939.46
2008-12-01,936.84
2009-01-01,928.25
2009-02-01,923.53
2009-03-01,924.34
2009-04-01,923.44
2009-05-01,920.08
2009-06-01,913.67
2009-07-01,910.69
2009-08-01,915.24
2009-09-01,919.29
2009-10-01,916.19
2009-11-01,915.58
2009-12-01,914.40
2010-01-01,918.62
2010-02-01,914.43
2010-03-01,913.80
2010-04-01,916.44
2010-05-01,922.27
2010-06-01,926.17
2010-07-01,924.96
2010-08-01,926.95
2010-09-01,922.59
2010-10-01,921.95
2010-11-01,930.87
2010-12-01,932.71
2011-01-01,935.71
2011-02-01,931.29
2011-03-01,922.44
2011-04-01,921.62
2011-05-01,921.37
2011-06-01,927.27
2011-07-01,928.45
2011-08-01,926.98
2011-09-01,929.04
2011-10-01,927.82
2011-11-01,926.03
2011-12-01,931.22
2012-01-01,932.30
2012-02-01,934.86
2012-03-01,935.50
2012-04-01,944.40
2012-05-01,941.33
2012-06-01,940.09
2012-07-01,941.76
2012-08-01,950.83
2012-09-01,953.46
2012-10-01,947.14
2012-11-01,953.67
2012-12-01,954.78
2013-01-01,954.30
2013-02-01,954.52
2013-03-01,953.70
2013-04-01,955.48
2013-05-01,957.09
2013-06-01,963.12
2013-07-01,964.25
2013-08-01,968.42
2013-09-01,970.64
2013-10-01,971.91
2013-11-01,970.12
2013-12-01,970.07
2014-01-01,976.05
2014-02-01,978.94
2014-03-01,983.82
2014-04-01,988.05
2014-05-01,988.36
2014-06-01,987.24
2014-07-01,990.25
2014-08-01,991.62
2014-09-01,996.33
2014-10-01,995.99
2014-11-01,997.52
2014-12-01,996.70
2015-01-01,998.99
2015-02-01,1000.27
2015-03-01,1000.16
2015-04-01,997.75
2015-05-01,998.98
2015-06-01,997.52
2015-07-01,1000.11
2015-08-01,999.33
2015-09-01,1008.55
2015-10-01,1014.28
2015-11-01,1019.03
2015-12-01,1014.52
2016-01-01,1012.92
2016-02-01,1013.95
2016-03-01,1014.71
2016-04-01,1018.02
2016-05-01,1016.52
2016-06-01,1018.33
2016-07-01,1016.20
2016-08-01,1018.86
2016-09-01,1014.82
2016-10-01,1019.08
2016-11-01,1022.86
2016-12-01,1027.00
2017-01-01,1029.10
2017-02-01,1029.28
2017-03-01,1029.92
2017-04-01,1029.48
2017-05-01,1034.75
2017-06-01,1033.07
2017-07-01,1030.61
2017-08-01,1024.52
2017-09-01,1024.94
2017-10-01,1028.54
2017-11-01,1026.86
2017-12-01,1034.62
2018-01-01,1031.68
2018-02-01,1031.88
2018-03-01,1029.59
2018-04-01,1032.46
2018-05-01,1033.62
2018-06-01,1035.25
2018-07-01,1041.13
2018-08-01,1042.71
2018-09-01,1044.80
2018-10-01,1040.09
2018-11-01,1041.97
2018-12-01,1047.52
2019-01-01,1052.92
2019-02-01,1052.94
2019-03-01,1054.11
2019-04-01,1052.41
2019-05-01,1052.61
2019-06-01,1049.78
2019-07-01,1049.19
2019-08-01,1052.63
2019-09-01,1055.73
2019-10-01,1054.14
2019-11-01,1050.11
2019-12-01,1051.10
2020-01-01,1052.20
2020-02-01,1031.78
2020-03-01,955.16
2020-04-01,877.65
2020-05-01,845.27
2020-06-01,854.23
2020-07-01,884.12
2020-08-01,917.89
2020-09-01,950.35
2020-10-01,973.43
2020-11-01,969.17
2020-12-01,958.99
2021-01-01,958.15
2021-02-01,950.37
2021-03-01,963.59
2021-04-01,981.40
2021-05-01,1001.31
2021-06-01,1006.83
2021-07-01,1021.32
2021-08-01,1026.55
2021-09-01,1024.42
2021-10-01,1018.72
2021-11-01,1026.67
2021-12-01,1029.14
2022-01-01,1037.56
,
,
,
,
,
