date,value
1901,4
1902,4.1
1903,2.8
1904,1.4
1905,0.9
1906,0.4
1907,0
1908,-0.2
1909,0.1
1910,0.2
1911,-0.3
1912,-0.4
1913,-0.6
1914,0.9
1915,11.1
1916,27.1
1917,27.8
1918,27.3
1919,21.4
1920,5.6
1921,0
1922,1.1
1923,-0.3
1924,-0.7
1925,0.5
1926,1.4
1927,1.9
1928,0.5
1929,0.3
1930,0.9
1931,1.7
1932,1.9
1933,0.3
1934,-0.5
1935,-0.3
1936,0.4
1937,1
1938,2.1
1939,5.1
1940,13.8
1941,26.9
1942,27.1
1943,25.7
1944,24.3
1945,22.4
1946,15.2
1947,6.4
1948,0.7
1949,-4.3
1950,-4.8
1951,-3.7
1952,-0.5
1953,1.3
1954,2.5
1955,1.5
1956,-0.2
1957,0.4
1958,0
1959,0.3
1960,2.3
1961,2.5
1962,2.2
1963,1.8
1964,2.7
1965,1.9
1966,1.5
1967,2.4
1968,3.9
1969,0.6
1970,-1.7
1971,-0.6
1972,1
1973,2.6
1974,4.1
1975,5.7
1976,6.3
1977,4.9
1978,3.9
1979,4.5
1980,3.7
1981,4.3
1982,2
1983,2.6
1984,3.3
1985,3.2
1986,2.1
1987,1.8
1988,0.9
1989,-1.1
1990,-0.1
1991,0.9
1992,3.2
1993,6.4
1994,6.6
1995,5.3
1996,4.1
1997,3
1998,0.9
1999,-0.1
2000,-1.1
2001,-1.4
2002,0.5
2003,2.8
2004,3.3
2005,3.7
2006,3.1
2007,2.7
2008,2.9
2009,7.4
2010,10.1
2011,8.6
2012,7.2
2013,7.2
2014,5.8
2015,5.1
2016,4.1
2017,2.7
2018,2.6
2019,2
2020,2.4
2021,14.8
2022,6.4
