date,value
2014-01-01,111.03
2014-01-02,108.56
2014-01-03,107.03
2014-01-06,106.99
2014-01-07,107.21
2014-01-08,107.4
2014-01-09,107.22
2014-01-10,106.23
2014-01-13,107.2
2014-01-14,106.35
2014-01-15,106.37
2014-01-16,106.99
2014-01-17,106.79
2014-01-20,106.11
2014-01-21,107.24
2014-01-22,107.79
2014-01-23,107.94
2014-01-24,107.33
2014-01-27,106.92
2014-01-28,107.51
2014-01-29,107.88
2014-01-30,108.22
2014-01-31,108.22
2014-02-03,105.5
2014-02-04,105.98
2014-02-05,105.7
2014-02-06,106.88
2014-02-07,108.09
2014-02-10,109.18
2014-02-11,109
2014-02-12,108.92
2014-02-13,108.58
2014-02-14,108.24
2014-02-17,108.7
2014-02-18,109.83
2014-02-19,110.59
2014-02-20,110.1
2014-02-21,109.71
2014-02-24,110.51
2014-02-25,109.82
2014-02-26,109.76
2014-02-27,108.74
2014-02-28,109.02
2014-03-03,109.02
2014-03-04,109.19
2014-03-05,108.24
2014-03-06,107.64
2014-03-07,108.84
2014-03-10,108.11
2014-03-11,108.26
2014-03-12,107.88
2014-03-13,107.28
2014-03-14,108.57
2014-03-17,106.77
2014-03-18,106.79
2014-03-19,105.95
2014-03-20,105.79
2014-03-21,107.34
2014-03-24,107.34
2014-03-25,107.33
2014-03-26,106.67
2014-03-27,107.47
2014-03-28,107.8
2014-03-31,107.1
2014-04-01,106.79
2014-04-02,104.08
2014-04-03,105.29
2014-04-04,105.29
2014-04-07,105.62
2014-04-08,106.36
2014-04-09,107.77
2014-04-10,107.42
2014-04-11,107.67
2014-04-14,107.97
2014-04-15,108.79
2014-04-16,109.85
2014-04-17,109.85
2014-04-18,109.85
2014-04-21,109.85
2014-04-22,109.85
2014-04-23,108.88
2014-04-24,110.07
2014-04-25,109.37
2014-04-28,108.61
2014-04-29,109.24
2014-04-30,107.7
2014-05-01,107.44
2014-05-02,108.79
2014-05-05,108.79
2014-05-06,107.59
2014-05-07,107.63
2014-05-08,107.68
2014-05-09,108.05
2014-05-12,108.26
2014-05-13,108.79
2014-05-14,109.96
2014-05-15,110.31
2014-05-16,110.31
2014-05-19,109.74
2014-05-20,109.49
2014-05-21,110.51
2014-05-22,110.69
2014-05-23,110.44
2014-05-26,110.44
2014-05-27,110.12
2014-05-28,109.67
2014-05-29,110.23
2014-05-30,109.33
2014-06-02,109.01
2014-06-03,108.64
2014-06-04,109.12
2014-06-05,108.37
2014-06-06,108.61
2014-06-09,110.03
2014-06-10,109.55
