date,value,value2
2023-09-21,5.25,0.0525
2023-06-22,5,0.05
2023-05-11,4.5,0.045
2023-03-23,4.25,0.0425
2023-02-02,4,0.04
2022-12-15,3.5,0.035
2022-11-03,3,0.03
2022-09-22,2.25,0.0225
2022-08-04,1.75,0.0175
2022-06-16,1.25,0.0125
2022-05-05,1,0.01
2022-03-17,0.75,0.0075
2022-02-03,0.5,0.005
2021-12-16,0.25,0.0025
2020-03-19,0.1,0.001
2020-03-11,0.25,0.0025
2018-08-02,0.75,0.0075
2017-11-02,0.5,0.005
2016-08-04,0.25,0.0025
2009-03-05,0.5,0.005
2009-02-05,1,0.01
2009-01-08,1.5,0.015
2008-12-04,2,0.02
2008-11-06,3,0.03
2008-10-08,4.5,0.045
2008-04-10,5,0.05
2008-02-07,5.25,0.0525
2007-12-06,5.5,0.055
2007-07-05,5.75,0.0575
2007-05-10,5.5,0.055
2007-01-11,5.25,0.0525
2006-11-09,5,0.05
2006-08-03,4.75,0.0475
2005-08-04,4.5,0.045
2004-08-05,4.75,0.0475
2004-06-10,4.5,0.045
2004-05-06,4.25,0.0425
2004-02-05,4,0.04
2003-11-06,3.75,0.0375
2003-07-10,3.5,0.035
2003-02-06,3.75,0.0375
2001-11-08,4,0.04
2001-10-04,4.5,0.045
2001-09-18,4.75,0.0475
2001-08-02,5,0.05
2001-05-10,5.25,0.0525
2001-04-05,5.5,0.055
2001-02-08,5.75,0.0575
2000-02-10,6,0.06
2000-01-13,5.75,0.0575
1999-11-04,5.5,0.055
1999-09-08,5.25,0.0525
1999-06-10,5,0.05
1999-04-08,5.25,0.0525
1999-02-04,5.5,0.055
1999-01-07,6,0.06
1998-12-10,6.25,0.0625
1998-11-05,6.75,0.0675
1998-10-08,7.25,0.0725
1998-06-04,7.5,0.075
1997-11-06,7.25,0.0725
1997-08-07,7,0.07
1997-07-10,6.75,0.0675
1997-06-06,6.5,0.065
1997-05-06,6.25,0.0625
1996-10-30,5.94,0.0594
1996-06-06,5.69,0.0569
1996-03-08,5.94,0.0594
1996-01-18,6.13,0.0613
1995-12-13,6.38,0.0638
1995-02-02,6.63,0.0663
1994-12-07,6.13,0.0613
1994-09-12,5.63,0.0563
1994-02-08,5.13,0.0513
1993-11-23,5.38,0.0538
1993-01-26,5.88,0.0588
1992-11-13,6.88,0.0688
1992-10-16,7.88,0.0788
1992-09-22,8.88,0.0888
1992-05-05,9.88,0.0988
1991-09-04,10.38,0.1038
1991-07-12,10.88,0.1088
1991-05-24,11.38,0.1138
1991-04-12,11.88,0.1188
1991-03-22,12.38,0.1238
1991-02-27,12.88,0.1288
1991-02-13,13.38,0.1338
1990-10-08,13.88,0.1388
1989-10-06,14.88,0.1488
1989-09-08,13.75,0.1375
1989-09-04,13.88,0.1388
1989-08-31,13.84,0.1384
1989-05-25,13.75,0.1375
1988-11-25,12.88,0.1288
1988-08-25,11.88,0.1188
1988-08-08,10.88,0.1088
1988-07-21,10.38,0.1038
1988-07-07,9.88,0.0988
1988-06-24,8.88,0.0888
1988-06-10,8.38,0.0838
1988-06-03,7.88,0.0788
1988-05-17,7.38,0.0738
1988-04-08,7.88,0.0788
1988-03-17,8.38,0.0838
1988-02-01,8.88,0.0888
1987-12-03,8.38,0.0838
1987-11-04,8.88,0.0888
1987-10-23,9.38,0.0938
1987-08-06,9.88,0.0988
1987-05-08,8.88,0.0888
1987-04-28,9.38,0.0938
1987-03-18,9.88,0.0988
1987-03-09,10.38,0.1038
1986-10-15,10.88,0.1088
1986-05-23,9.88,0.0988
1986-04-18,10.38,0.1038
1986-04-11,10.88,0.1088
1986-03-19,11.38,0.1138
1986-01-15,12.38,0.1238
1985-07-26,11.38,0.1138
1985-07-11,11.88,0.1188
1985-04-19,12.38,0.1238
1985-03-28,12.88,0.1288
1985-03-20,13.38,0.1338
1985-01-28,13.88,0.1388
1985-01-14,11.88,0.1188
1984-11-23,9.5,0.095
1984-11-19,9.75,0.0975
1984-11-05,10,0.1
1984-08-17,10.5,0.105
1984-08-16,10.75,0.1075
1984-08-09,11,0.11
1984-08-08,11.5,0.115
1984-07-11,12,0.12
1984-07-06,10,0.1
1984-06-29,8.88,0.0888
1984-05-10,9.06,0.0906
1984-03-14,8.56,0.0856
1984-03-07,8.81,0.0881
1983-10-03,9.06,0.0906
1983-08-10,9.56,0.0956
1983-08-09,9.44,0.0944
1983-06-14,9.56,0.0956
1983-06-13,9.81,0.0981
1983-04-14,10.06,0.1006
1983-04-13,10.31,0.1031
1983-03-15,10.56,0.1056
1983-01-12,11,0.11
1982-11-26,10,0.1
1982-11-02,9.13,0.0913
1982-11-01,9.38,0.0938
1982-10-12,9.63,0.0963
1982-09-30,10.13,0.1013
1982-09-29,10.25,0.1025
1982-09-28,10.38,0.1038
1982-09-27,10.5,0.105
1982-08-27,10.63,0.1063
1982-08-26,10.88,0.1088
1982-08-25,11,0.11
1982-08-24,11.13,0.1113
1982-08-17,11.25,0.1125
1982-08-16,11.38,0.1138
1982-08-04,11.5,0.115
1982-08-02,11.56,0.1156
1982-07-30,11.63,0.1163
1982-07-29,11.75,0.1175
1982-07-28,11.81,0.1181
1982-07-26,11.94,0.1194
1982-07-21,12.06,0.1206
1982-07-13,12.13,0.1213
1982-07-12,12.25,0.1225
1982-07-09,12.5,0.125
1982-06-08,12.63,0.1263
1982-04-20,13.13,0.1313
1982-04-19,13,0.13
1982-04-16,13.13,0.1313
1982-03-10,13.25,0.1325
1982-02-25,13.63,0.1363
1982-02-22,13.81,0.1381
1982-01-22,13.88,0.1388
1982-01-21,14,0.14
1982-01-20,14.13,0.1413
1982-01-19,14.25,0.1425
1982-01-18,14.31,0.1431
1981-12-04,14.38,0.1438
1981-11-25,14.56,0.1456
1981-11-09,14.63,0.1463
1981-11-06,15.06,0.1506
1981-10-28,15.13,0.1513
1981-10-12,15,0.15
1981-09-15,14,0.14
1981-08-25,12.69,0.1269
1981-03-11,12,0.12
1980-11-25,14,0.14
1980-07-03,16,0.16
1979-11-15,17,0.17
1979-06-13,14,0.14
1979-04-05,12,0.12
1979-03-01,13,0.13
1979-02-08,14,0.14
1978-11-09,12.5,0.125
1978-06-08,10,0.1
1978-05-15,9,0.09
1978-05-08,8.75,0.0875
1978-04-12,7.5,0.075
1978-01-09,6.5,0.065
1977-11-28,7,0.07
1977-10-17,5,0.05
1977-10-10,5.5,0.055
1977-09-19,6,0.06
1977-09-12,6.5,0.065
1977-08-15,7,0.07
1977-08-08,7.5,0.075
1977-05-16,8,0.08
1977-05-02,8.25,0.0825
1977-04-25,8.75,0.0875
1977-04-18,9,0.09
1977-04-12,9.25,0.0925
1977-03-31,9.5,0.095
1977-03-21,10.5,0.105
1977-03-10,11,0.11
1977-02-03,12,0.12
1977-01-31,12.25,0.1225
1977-01-24,13.25,0.1325
1977-01-10,14,0.14
1976-12-29,14.25,0.1425
1976-12-20,14.5,0.145
1976-11-22,14.75,0.1475
1976-10-07,15,0.15
1976-09-13,13,0.13
1976-05-24,11.5,0.115
1976-04-26,10.5,0.105
1976-03-08,9,0.09
1976-03-01,9.25,0.0925
1976-02-09,9.5,0.095
1976-02-02,10,0.1
1976-01-26,10.5,0.105
1976-01-19,10.75,0.1075
1976-01-05,11,0.11
1975-12-29,11.25,0.1125
1975-12-01,11.5,0.115
1975-11-17,11.75,0.1175
1975-10-06,12,0.12
1975-07-28,11,0.11
1975-05-05,10,0.1
1975-04-21,9.75,0.0975
1975-03-24,10,0.1
1975-03-10,10.25,0.1025
1975-02-17,10.5,0.105
1975-02-10,10.75,0.1075
1975-01-27,11,0.11
1975-01-20,11.25,0.1125
