date,metric,value,value2
2012-01-01,London food (shelf-front),2.6,0.0257
2012-02-01,London food (shelf-front),3.2,0.0320
2012-03-01,London food (shelf-front),3.3,0.0330
2012-04-01,London food (shelf-front),4.3,0.0425
2012-05-01,London food (shelf-front),3.2,0.0322
2012-06-01,London food (shelf-front),3.0,0.0302
2012-07-01,London food (shelf-front),2.9,0.0291
2012-08-01,London food (shelf-front),2.4,0.0244
2012-09-01,London food (shelf-front),2.1,0.0212
2012-10-01,London food (shelf-front),2.5,0.0252
2012-11-01,London food (shelf-front),2.7,0.0267
2012-12-01,London food (shelf-front),3.3,0.0326
2013-01-01,London food (shelf-front),3.3,0.0334
2013-02-01,London food (shelf-front),2.9,0.0285
2013-03-01,London food (shelf-front),3.1,0.0312
2013-04-01,London food (shelf-front),3.7,0.0366
2013-05-01,London food (shelf-front),4.5,0.0451
2013-06-01,London food (shelf-front),4.5,0.0445
2013-07-01,London food (shelf-front),3.8,0.0379
2013-08-01,London food (shelf-front),3.7,0.0366
2013-09-01,London food (shelf-front),4.5,0.0453
2013-10-01,London food (shelf-front),4.0,0.0398
2013-11-01,London food (shelf-front),3.2,0.0316
2013-12-01,London food (shelf-front),2.9,0.0289
2014-01-01,London food (shelf-front),2.6,0.0263
2014-02-01,London food (shelf-front),1.5,0.0149
2014-03-01,London food (shelf-front),0.8,0.0084
2014-04-01,London food (shelf-front),0.1,0.0013
2014-05-01,London food (shelf-front),-0.3,-0.0031
2014-06-01,London food (shelf-front),-0.3,-0.0031
2014-07-01,London food (shelf-front),-0.7,-0.0072
2014-08-01,London food (shelf-front),-1.0,-0.0101
2014-09-01,London food (shelf-front),-1.6,-0.0163
2014-10-01,London food (shelf-front),-1.7,-0.0174
2014-11-01,London food (shelf-front),-1.9,-0.0193
2014-12-01,London food (shelf-front),-1.9,-0.0186
2015-01-01,London food (shelf-front),-2.2,-0.0223
2015-02-01,London food (shelf-front),-2.9,-0.0286
2015-03-01,London food (shelf-front),-3.5,-0.0347
2015-04-01,London food (shelf-front),-2.6,-0.0258
2015-05-01,London food (shelf-front),-2.2,-0.0218
2015-06-01,London food (shelf-front),-1.9,-0.0194
2015-07-01,London food (shelf-front),-2.0,-0.0199
2015-08-01,London food (shelf-front),-2.3,-0.0233
2015-09-01,London food (shelf-front),-2.5,-0.0245
2015-10-01,London food (shelf-front),-2.8,-0.0280
2015-11-01,London food (shelf-front),-2.3,-0.0232
2015-12-01,London food (shelf-front),-1.7,-0.0175
2016-01-01,London food (shelf-front),-1.7,-0.0169
2016-02-01,London food (shelf-front),-2.7,-0.0269
2016-03-01,London food (shelf-front),-2.2,-0.0218
2016-04-01,London food (shelf-front),-1.5,-0.0148
2016-05-01,London food (shelf-front),-1.4,-0.0140
2016-06-01,London food (shelf-front),-1.4,-0.0135
2016-07-01,London food (shelf-front),-1.5,-0.0153
2016-08-01,London food (shelf-front),-1.5,-0.0146
2016-09-01,London food (shelf-front),-1.1,-0.0107
2016-10-01,London food (shelf-front),-0.6,-0.0064
2016-11-01,London food (shelf-front),-0.3,-0.0031
2016-12-01,London food (shelf-front),-0.1,-0.0014
2017-01-01,London food (shelf-front),0.5,0.0047
2017-02-01,London food (shelf-front),0.6,0.0063
2017-03-01,London food (shelf-front),0.8,0.0076
2017-04-01,London food (shelf-front),0.9,0.0093
2017-05-01,London food (shelf-front),1.1,0.0113
2017-06-01,London food (shelf-front),1.4,0.0136
2017-07-01,London food (shelf-front),2.0,0.0204
2017-08-01,London food (shelf-front),1.7,0.0168
2017-09-01,London food (shelf-front),2.1,0.0213
2017-10-01,London food (shelf-front),2.0,0.0204
2017-11-01,London food (shelf-front),2.1,0.0207
2017-12-01,London food (shelf-front),2.2,0.0218
2018-01-01,London food (shelf-front),2.1,0.0212
2018-02-01,London food (shelf-front),1.4,0.0145
2018-03-01,London food (shelf-front),1.4,0.0139
2018-04-01,London food (shelf-front),1.1,0.0114
2018-05-01,London food (shelf-front),0.7,0.0071
2018-06-01,London food (shelf-front),1.0,0.0101
2018-07-01,London food (shelf-front),0.8,0.0085
2018-08-01,London food (shelf-front),1.0,0.0098
2018-09-01,London food (shelf-front),0.5,0.0046
2018-10-01,London food (shelf-front),0.4,0.0043
2018-11-01,London food (shelf-front),0.0,0.0002
2018-12-01,London food (shelf-front),-0.3,-0.0025
2019-01-01,London food (shelf-front),-0.5,-0.0045
2019-02-01,London food (shelf-front),-0.6,-0.0064
2019-03-01,London food (shelf-front),-0.3,-0.0033
2019-04-01,London food (shelf-front),0.4,0.0040
2019-05-01,London food (shelf-front),0.7,0.0073
2019-06-01,London food (shelf-front),0.8,0.0076
2019-07-01,London food (shelf-front),1.4,0.0137
2019-08-01,London food (shelf-front),1.3,0.0133
2019-09-01,London food (shelf-front),1.5,0.0150
2019-10-01,London food (shelf-front),0.8,0.0079
2019-11-01,London food (shelf-front),0.8,0.0081
2019-12-01,London food (shelf-front),1.3,0.0131
2020-01-01,London food (shelf-front),1.2,0.0120
2020-02-01,London food (shelf-front),2.2,0.0220
