date,metric,value
2012-01-01,Childminder hours,0.3734
2012-02-01,Childminder hours,0.3627
2012-03-01,Childminder hours,0.3406
2012-04-01,Childminder hours,0.3217
2012-05-01,Childminder hours,0.3213
2012-06-01,Childminder hours,0.3206
2012-07-01,Childminder hours,0.3204
2012-08-01,Childminder hours,0.3176
2012-09-01,Childminder hours,0.3191
2012-10-01,Childminder hours,0.3197
2012-11-01,Childminder hours,0.3195
2012-12-01,Childminder hours,0.3164
2013-01-01,Childminder hours,0.3161
2013-02-01,Childminder hours,0.3176
2013-03-01,Childminder hours,0.3196
2013-04-01,Childminder hours,0.3187
2013-05-01,Childminder hours,0.3173
2013-06-01,Childminder hours,0.3147
2013-07-01,Childminder hours,0.3120
2013-08-01,Childminder hours,0.3103
2013-09-01,Childminder hours,0.3115
2013-10-01,Childminder hours,0.3133
2013-11-01,Childminder hours,0.3153
2013-12-01,Childminder hours,0.3109
2014-01-01,Childminder hours,0.2882
2014-02-01,Childminder hours,0.2771
2014-03-01,Childminder hours,0.2611
2014-04-01,Childminder hours,0.2778
2014-05-01,Childminder hours,0.2765
2014-06-01,Childminder hours,0.2832
2014-07-01,Childminder hours,0.2761
2014-08-01,Childminder hours,0.2739
2014-09-01,Childminder hours,0.2763
2014-10-01,Childminder hours,0.2828
2014-11-01,Childminder hours,0.2911
2014-12-01,Childminder hours,0.2969
2015-01-01,Childminder hours,0.2999
2015-02-01,Childminder hours,0.2951
2015-03-01,Childminder hours,0.2887
2015-04-01,Childminder hours,0.2786
2015-05-01,Childminder hours,0.2781
2015-06-01,Childminder hours,0.2815
2015-07-01,Childminder hours,0.2847
2015-08-01,Childminder hours,0.2864
2015-09-01,Childminder hours,0.2853
2015-10-01,Childminder hours,0.2878
2015-11-01,Childminder hours,0.2881
2015-12-01,Childminder hours,0.2945
2016-01-01,Childminder hours,0.4196
2016-02-01,Childminder hours,0.5524
2016-03-01,Childminder hours,0.6749
2016-04-01,Childminder hours,0.6748
2016-05-01,Childminder hours,0.6646
2016-06-01,Childminder hours,0.5418
