date,metric,value,,
2018-02-01,Finance and business services,2.8,,
2018-03-01,Finance and business services,2.5,,
2018-04-01,Finance and business services,1.7,,
2018-05-01,Finance and business services,1,,
2018-06-01,Finance and business services,1.6,,
2018-07-01,Finance and business services,2.1,,
2018-08-01,Finance and business services,2.4,,
2018-09-01,Finance and business services,2.7,,
2018-10-01,Finance and business services,3.1,,
2018-11-01,Finance and business services,3.6,,
2018-12-01,Finance and business services,3.8,,
2019-01-01,Finance and business services,3.7,,
2019-02-01,Finance and business services,3.5,,
2019-03-01,Finance and business services,3.7,,
2019-04-01,Finance and business services,4.2,,
2019-05-01,Finance and business services,5.2,,
2019-06-01,Finance and business services,4.8,,
2019-07-01,Finance and business services,4.7,,
2019-08-01,Finance and business services,4.6,,
2019-09-01,Finance and business services,4.3,,
2019-10-01,Finance and business services,4,,
2019-11-01,Finance and business services,3.3,,
2019-12-01,Finance and business services,3.2,,
2020-01-01,Finance and business services,3,,
2020-02-01,Finance and business services,2,,
2020-03-01,Finance and business services,1,,
2020-04-01,Finance and business services,-0.2,,
2020-05-01,Finance and business services,-1,,
2020-06-01,Finance and business services,-1,,
2020-07-01,Finance and business services,0.4,,
2020-08-01,Finance and business services,2.4,,
2020-09-01,Finance and business services,4.3,,
2020-10-01,Finance and business services,5.7,,
2020-11-01,Finance and business services,6.6,,
2020-12-01,Finance and business services,7.8,,
2021-01-01,Finance and business services,6.9,,
2021-02-01,Finance and business services,6.5,,
2021-03-01,Finance and business services,7.5,,
2021-04-01,Finance and business services,9.9,,
2021-05-01,Finance and business services,12.3,,
2021-06-01,Finance and business services,12.3,,
2021-07-01,Finance and business services,11.1,,
2021-08-01,Finance and business services,9.3,,
2021-09-01,Finance and business services,7.9,,
2021-10-01,Finance and business services,7,,
2021-11-01,Finance and business services,8.9,,
2021-12-01,Finance and business services,8.7,,
2022-01-01,Finance and business services,10.2,,
2022-02-01,Finance and business services,10.5,,
2022-03-01,Finance and business services,10.6,,
2018-02-01,Manufacturing,2.8,,
2018-03-01,Manufacturing,2.8,,
2018-04-01,Manufacturing,2.9,,
2018-05-01,Manufacturing,2.6,,
2018-06-01,Manufacturing,2.3,,
2018-07-01,Manufacturing,2.1,,
2018-08-01,Manufacturing,2.1,,
2018-09-01,Manufacturing,2,,
2018-10-01,Manufacturing,1.8,,
2018-11-01,Manufacturing,1.6,,
2018-12-01,Manufacturing,1.8,,
2019-01-01,Manufacturing,1.9,,
2019-02-01,Manufacturing,1.7,,
2019-03-01,Manufacturing,1.8,,
2019-04-01,Manufacturing,2,,
2019-05-01,Manufacturing,2.6,,
2019-06-01,Manufacturing,2.5,,
2019-07-01,Manufacturing,2.8,,
2019-08-01,Manufacturing,2.6,,
2019-09-01,Manufacturing,2.8,,
2019-10-01,Manufacturing,2.7,,
2019-11-01,Manufacturing,2.6,,
2019-12-01,Manufacturing,2.2,,
2020-01-01,Manufacturing,2,,
2020-02-01,Manufacturing,1.8,,
2020-03-01,Manufacturing,0,,
2020-04-01,Manufacturing,-1.7,,
2020-05-01,Manufacturing,-3.4,,
2020-06-01,Manufacturing,-2.6,,
2020-07-01,Manufacturing,-1.7,,
2020-08-01,Manufacturing,-0.4,,
2020-09-01,Manufacturing,0.3,,
2020-10-01,Manufacturing,1.2,,
2020-11-01,Manufacturing,1.6,,
2020-12-01,Manufacturing,2,,
2021-01-01,Manufacturing,1.8,,
2021-02-01,Manufacturing,1.8,,
2021-03-01,Manufacturing,3.4,,
2021-04-01,Manufacturing,4.9,,
2021-05-01,Manufacturing,7,,
2021-06-01,Manufacturing,6.7,,
2021-07-01,Manufacturing,5.5,,
2021-08-01,Manufacturing,3.9,,
2021-09-01,Manufacturing,2.8,,
2021-10-01,Manufacturing,2.2,,
2021-11-01,Manufacturing,2.6,,
2021-12-01,Manufacturing,2.9,,
2022-01-01,Manufacturing,3.1,,
2022-02-01,Manufacturing,4.3,,
2022-03-01,Manufacturing,4.3,,
2018-02-01,Construction,4.7,,
2018-03-01,Construction,4.9,,
2018-04-01,Construction,5.7,,
2018-05-01,Construction,5.1,,
2018-06-01,Construction,4.5,,
2018-07-01,Construction,4.3,,
2018-08-01,Construction,3.6,,
2018-09-01,Construction,3.5,,
2018-10-01,Construction,3.4,,
2018-11-01,Construction,4.3,,
2018-12-01,Construction,4.4,,
2019-01-01,Construction,4.8,,
2019-02-01,Construction,4,,
2019-03-01,Construction,5,,
2019-04-01,Construction,5.3,,
2019-05-01,Construction,6.1,,
2019-06-01,Construction,6.3,,
2019-07-01,Construction,5.8,,
2019-08-01,Construction,6.1,,
2019-09-01,Construction,5.1,,
2019-10-01,Construction,4.6,,
2019-11-01,Construction,3.1,,
2019-12-01,Construction,2.9,,
2020-01-01,Construction,2.6,,
2020-02-01,Construction,2.2,,
2020-03-01,Construction,-2.8,,
2020-04-01,Construction,-7.2,,
2020-05-01,Construction,-10.2,,
2020-06-01,Construction,-8.3,,
2020-07-01,Construction,-5.6,,
2020-08-01,Construction,-4,,
2020-09-01,Construction,-2.3,,
2020-10-01,Construction,-0.9,,
2020-11-01,Construction,2.1,,
2020-12-01,Construction,2.7,,
2021-01-01,Construction,2.3,,
2021-02-01,Construction,1,,
2021-03-01,Construction,5,,
2021-04-01,Construction,9.9,,
2021-05-01,Construction,14.5,,
2021-06-01,Construction,12.2,,
2021-07-01,Construction,9.6,,
2021-08-01,Construction,7.1,,
2021-09-01,Construction,5.8,,
2021-10-01,Construction,4.6,,
2021-11-01,Construction,2.5,,
2021-12-01,Construction,2.9,,
2022-01-01,Construction,3.8,,
2022-02-01,Construction,7.2,,
