date,region,value
Oct-Dec 2019,London,14.2
Jan-March 2022,London,37
Oct-Dec 2019,South East,19.5
Jan-March 2022,South East,36.9
Oct-Dec 2019,East of England,16.3
Jan-March 2022,East of England,31.1
Oct-Dec 2019,South West,18.6
Jan-March 2022,South West,30.2
Oct-Dec 2019,East Midlands,14.3
Jan-March 2022,East Midlands,28.9
Oct-Dec 2019,North West,12
Jan-March 2022,North West,26.7
Oct-Dec 2019,West Midlands,12.8
Jan-March 2022,West Midlands,26.6
Oct-Dec 2019,Yorkshire & The Humber,14.3
Jan-March 2022,Yorkshire & The Humber,26.2
Oct-Dec 2019,North East,10.3
Jan-March 2022,North East,22.4
