Year ,CPI,,,
1209,0.082391852,,,
1210,0.084515293,,,
1211,0.094844827,,,
1212,0.083155722,,,
1213,0.080353745,,,
1214,0.077646182,,,
1215,0.082571273,,,
1216,0.087808763,,,
1217,0.101664042,,,
1218,0.11855983,,,
1219,0.114847983,,,
1220,0.100295197,,,
1221,0.112287659,,,
1222,0.094812489,,,
1223,0.080056955,,,
1224,0.088324063,,,
1225,0.132182929,,,
1226,0.119540378,,,
1227,0.119556054,,,
1228,0.117388649,,,
1229,0.115260537,,,
1230,0.113171005,,,
1231,0.111119353,,,
1232,0.109104896,,,
1233,0.102593099,,,
1234,0.10346125,,,
1235,0.104336747,,,
1236,0.101367216,,,
1237,0.111742018,,,
1238,0.108568221,,,
1239,0.105484569,,,
1240,0.102488502,,,
1241,0.099577532,,,
1242,0.096749242,,,
1243,0.094001283,,,
1244,0.091331375,,,
1245,0.088737299,,,
1246,0.102179612,,,
1247,0.135246531,,,
1248,0.133535629,,,
1249,0.098736614,,,
1250,0.108072633,,,
1251,0.100892143,,,
1252,0.103736799,,,
1253,0.119244509,,,
1254,0.091102596,,,
1255,0.09362314,,,
1256,0.119211453,,,
1257,0.138183119,,,
1258,0.135877807,,,
1259,0.129732005,,,
1260,0.115690728,,,
1261,0.122636947,,,
1262,0.12428885,,,
1263,0.111744834,,,
1264,0.113732851,,,
1265,0.117885544,,,
1266,0.118611188,,,
1267,0.127328173,,,
1268,0.10878147,,,
1269,0.129752644,,,
1270,0.127042495,,,
1271,0.160183417,,,
1272,0.1682916,,,
1273,0.139651256,,,
1274,0.158626592,,,
1275,0.155143103,,,
1276,0.138364321,,,
1277,0.156716603,,,
1278,0.135596691,,,
1279,0.125227959,,,
1280,0.141752629,,,
1281,0.132371303,,,
1282,0.152937474,,,
1283,0.14728309,,,
1284,0.148318848,,,
1285,0.124518815,,,
1286,0.134600455,,,
1287,0.121133351,,,
1288,0.099159704,,,
1289,0.107205532,,,
1290,0.12475278,,,
1291,0.146114291,,,
1292,0.136619631,,,
1293,0.137225105,,,
1294,0.159904393,,,
1295,0.166915523,,,
1296,0.158408589,,,
1297,0.136481219,,,
1298,0.147477872,,,
1299,0.147350429,,,
1300,0.151031013,,,
1301,0.142390289,,,
1302,0.135921187,,,
1303,0.128533541,,,
1304,0.123191475,,,
1305,0.137528418,,,
1306,0.139355527,,,
1307,0.133125117,,,
1308,0.148042927,,,
1309,0.171357751,,,
1310,0.180631674,,,
1311,0.182223918,,,
1312,0.148912034,,,
1313,0.145237604,,,
1314,0.15768305,,,
1315,0.168587064,,,
1316,0.238693151,,,
1317,0.242662028,,,
1318,0.180485181,,,
1319,0.135525123,,,
1320,0.152457175,,,
1321,0.163203092,,,
1322,0.220084561,,,
1323,0.189481494,,,
1324,0.161856923,,,
1325,0.174384884,,,
1326,0.147929618,,,
1327,0.128227548,,,
1328,0.140214249,,,
1329,0.155147708,,,
1330,0.156012262,,,
1331,0.16785334,,,
1332,0.171096371,,,
1333,0.141271305,,,
1334,0.133187378,,,
1335,0.13210603,,,
1336,0.138169773,,,
1337,0.129387649,,,
1338,0.116875921,,,
1339,0.107017157,,,
1340,0.139411358,,,
1341,0.118841697,,,
1342,0.124413584,,,
1343,0.121551021,,,
1344,0.135914319,,,
1345,0.120086912,,,
1346,0.12629773,,,
1347,0.15480774,,,
1348,0.154482875,,,
1349,0.12291669,,,
1350,0.147001555,,,
1351,0.175107181,,,
1352,0.199354965,,,
1353,0.157435833,,,
1354,0.149153646,,,
1355,0.155579041,,,
1356,0.163334644,,,
1357,0.168894137,,,
1358,0.170702531,,,
1359,0.16139532,,,
1360,0.162762262,,,
1361,0.161762784,,,
1362,0.154714855,,,
1363,0.179077058,,,
1364,0.191384445,,,
1365,0.17424638,,,
1366,0.15961978,,,
1367,0.162910788,,,
1368,0.178180495,,,
1369,0.17793721,,,
1370,0.248243567,,,
1371,0.183577081,,,
1372,0.16714149,,,
1373,0.183333641,,,
1374,0.160689091,,,
1375,0.190024426,,,
1376,0.18704451,,,
1377,0.146240229,,,
1378,0.137252436,,,
1379,0.131057937,,,
1380,0.15741685,,,
1381,0.159649327,,,
1382,0.147031368,,,
1383,0.145464273,,,
1384,0.146638057,,,
1385,0.140850365,,,
1386,0.149215727,,,
1387,0.139126228,,,
1388,0.129102982,,,
1389,0.1204424,,,
1390,0.153664523,,,
1391,0.180159489,,,
1392,0.14611908,,,
1393,0.126531358,,,
1394,0.130480077,,,
1395,0.134508283,,,
1396,0.135473986,,,
1397,0.159142747,,,
1398,0.155692561,,,
1399,0.148406124,,,
1400,0.152416227,,,
1401,0.163009006,,,
1402,0.183368669,,,
1403,0.161842073,,,
1404,0.143242918,,,
1405,0.140747582,,,
1406,0.131391477,,,
1407,0.141082888,,,
1408,0.154454418,,,
1409,0.16713717,,,
1410,0.181633773,,,
1411,0.156519258,,,
1412,0.144810232,,,
1413,0.145593323,,,
1414,0.141299262,,,
1415,0.143000631,,,
1416,0.160736436,,,
1417,0.175108868,,,
1418,0.152227118,,,
1419,0.160379038,,,
1420,0.142018768,,,
1421,0.153358165,,,
1422,0.145884993,,,
1423,0.135079401,,,
1424,0.136260683,,,
1425,0.146958648,,,
1426,0.141145915,,,
1427,0.134989876,,,
1428,0.137143371,,,
1429,0.171333799,,,
1430,0.170172966,,,
1431,0.151852311,,,
1432,0.134643571,,,
1433,0.16338324,,,
1434,0.148023977,,,
1435,0.141034618,,,
1436,0.150671626,,,
1437,0.147352008,,,
1438,0.192837465,,,
1439,0.202647044,,,
1440,0.168709516,,,
1441,0.127572754,,,
1442,0.13248463,,,
1443,0.134658093,,,
1444,0.132965277,,,
1445,0.126567227,,,
1446,0.145715168,,,
1447,0.150861591,,,
1448,0.138859138,,,
1449,0.144237372,,,
1450,0.140925439,,,
1451,0.146324921,,,
1452,0.148760018,,,
1453,0.144883905,,,
1454,0.139010748,,,
1455,0.131302977,,,
1456,0.138932247,,,
1457,0.140935532,,,
1458,0.14984153,,,
1459,0.14775135,,,
1460,0.146056016,,,
1461,0.164178582,,,
1462,0.165047483,,,
1463,0.131395905,,,
1464,0.122312031,,,
1465,0.135269934,,,
1466,0.138246293,,,
1467,0.145320836,,,
1468,0.151913168,,,
1469,0.149545153,,,
1470,0.153499863,,,
1471,0.15416923,,,
1472,0.149017274,,,
1473,0.134883242,,,
1474,0.134511997,,,
1475,0.135141831,,,
1476,0.142623745,,,
1477,0.14410214,,,
1478,0.155494843,,,
1479,0.15671802,,,
1480,0.145493665,,,
1481,0.146988374,,,
1482,0.167125036,,,
1483,0.187278602,,,
1484,0.166784133,,,
1485,0.146567258,,,
1486,0.145697693,,,
1487,0.152011666,,,
1488,0.148046631,,,
1489,0.151039308,,,
1490,0.149110071,,,
1491,0.158175371,,,
1492,0.153492061,,,
1493,0.141853819,,,
1494,0.141724048,,,
1495,0.138164675,,,
1496,0.126700126,,,
1497,0.153473041,,,
1498,0.143444132,,,
1499,0.146484114,,,
1500,0.137895663,,,
1501,0.162759589,,,
1502,0.169092662,,,
1503,0.157517271,,,
1504,0.160729988,,,
1505,0.148554591,,,
1506,0.143912465,,,
1507,0.149554474,,,
1508,0.148819689,,,
1509,0.124950121,,,
1510,0.129762902,,,
1511,0.133487085,,,
1512,0.151643713,,,
1513,0.17893222,,,
1514,0.154924395,,,
1515,0.155025061,,,
1516,0.167004598,,,
1517,0.145492591,,,
1518,0.162461338,,,
1519,0.162821336,,,
1520,0.184553998,,,
1521,0.196980372,,,
1522,0.176179802,,,
1523,0.175352928,,,
1524,0.169014302,,,
1525,0.153848331,,,
1526,0.150901394,,,
1527,0.170336597,,,
1528,0.238927925,,,
1529,0.192700176,,,
1530,0.192861637,,,
1531,0.196082396,,,
1532,0.199428035,,,
1533,0.196041802,,,
1534,0.172873701,,,
1535,0.195558367,,,
1536,0.203211374,,,
1537,0.205801472,,,
1538,0.180717411,,,
1539,0.172912049,,,
1540,0.181424137,,,
