date,bank,value
2007-01-03,Credit Suisse,68.47
2007-01-04,Credit Suisse,68.40
2007-01-05,Credit Suisse,67.16
2007-01-08,Credit Suisse,66.70
2007-01-09,Credit Suisse,66.19
2007-01-10,Credit Suisse,65.91
2007-01-11,Credit Suisse,66.26
2007-01-12,Credit Suisse,66.72
2007-01-16,Credit Suisse,67.19
2007-01-17,Credit Suisse,67.25
2007-01-18,Credit Suisse,67.06
2007-01-19,Credit Suisse,67.41
2007-01-22,Credit Suisse,67.35
2007-01-23,Credit Suisse,68.78
2007-01-24,Credit Suisse,69.29
2007-01-25,Credit Suisse,68.77
2007-01-26,Credit Suisse,68.23
2007-01-29,Credit Suisse,68.08
2007-01-30,Credit Suisse,69.02
2007-01-31,Credit Suisse,69.41
2007-02-01,Credit Suisse,69.67
2007-02-02,Credit Suisse,69.57
2007-02-05,Credit Suisse,68.95
2007-02-06,Credit Suisse,69.52
2007-02-07,Credit Suisse,70.05
2007-02-08,Credit Suisse,69.40
2007-02-09,Credit Suisse,68.67
2007-02-12,Credit Suisse,68.43
2007-02-13,Credit Suisse,69.41
2007-02-14,Credit Suisse,70.34
2007-02-15,Credit Suisse,72.72
2007-02-16,Credit Suisse,74.13
2007-02-20,Credit Suisse,74.01
2007-02-21,Credit Suisse,72.75
2007-02-22,Credit Suisse,72.85
2007-02-23,Credit Suisse,72.86
2007-02-26,Credit Suisse,71.74
2007-02-27,Credit Suisse,68.19
2007-02-28,Credit Suisse,67.64
2007-03-01,Credit Suisse,68.08
2007-03-02,Credit Suisse,66.90
2007-03-05,Credit Suisse,66.24
2007-03-06,Credit Suisse,67.89
2007-03-07,Credit Suisse,68.68
2007-03-08,Credit Suisse,69.69
2007-03-09,Credit Suisse,69.74
2007-03-12,Credit Suisse,69.90
2007-03-13,Credit Suisse,67.58
2007-03-14,Credit Suisse,67.29
2007-03-15,Credit Suisse,67.81
2007-03-16,Credit Suisse,67.84
2007-03-19,Credit Suisse,69.38
2007-03-20,Credit Suisse,70.07
2007-03-21,Credit Suisse,72.11
2007-03-22,Credit Suisse,72.22
2007-03-23,Credit Suisse,72.97
2007-03-26,Credit Suisse,72.29
2007-03-27,Credit Suisse,71.49
2007-03-28,Credit Suisse,70.13
2007-03-29,Credit Suisse,70.63
2007-03-30,Credit Suisse,70.15
2007-04-02,Credit Suisse,70.53
2007-04-03,Credit Suisse,70.91
2007-04-04,Credit Suisse,70.48
2007-04-05,Credit Suisse,70.61
2007-04-09,Credit Suisse,70.16
2007-04-10,Credit Suisse,71.27
2007-04-11,Credit Suisse,70.70
2007-04-12,Credit Suisse,71.39
2007-04-13,Credit Suisse,71.80
2007-04-16,Credit Suisse,73.54
2007-04-17,Credit Suisse,72.85
2007-04-18,Credit Suisse,73.25
2007-04-19,Credit Suisse,72.64
2007-04-20,Credit Suisse,74.44
2007-04-23,Credit Suisse,74.55
2007-04-24,Credit Suisse,75.16
2007-04-25,Credit Suisse,77.18
2007-04-26,Credit Suisse,76.77
2007-04-27,Credit Suisse,76.75
2007-04-30,Credit Suisse,76.66
2007-05-01,Credit Suisse,76.61
2007-05-02,Credit Suisse,76.94
2007-05-03,Credit Suisse,75.76
2007-05-04,Credit Suisse,76.32
2007-05-07,Credit Suisse,74.36
2007-05-08,Credit Suisse,74.08
2007-05-09,Credit Suisse,74.82
2007-05-10,Credit Suisse,73.08
2007-05-11,Credit Suisse,75.04
2007-05-14,Credit Suisse,74.53
2007-05-15,Credit Suisse,74.27
2007-05-16,Credit Suisse,74.33
2007-05-17,Credit Suisse,73.74
2007-05-18,Credit Suisse,74.01
2007-05-21,Credit Suisse,73.34
2007-05-22,Credit Suisse,73.41
2007-05-23,Credit Suisse,73.91
2007-05-24,Credit Suisse,72.83
2007-05-25,Credit Suisse,72.91
2007-05-29,Credit Suisse,72.85
2007-05-30,Credit Suisse,73.31
2007-05-31,Credit Suisse,74.15
2007-06-01,Credit Suisse,74.80
2007-06-04,Credit Suisse,74.84
2007-06-05,Credit Suisse,73.88
2007-06-06,Credit Suisse,72.91
2007-06-07,Credit Suisse,70.61
2007-06-08,Credit Suisse,70.53
2007-06-11,Credit Suisse,70.90
2007-06-12,Credit Suisse,69.45
2007-06-13,Credit Suisse,70.65
2007-06-14,Credit Suisse,71.63
2007-06-15,Credit Suisse,72.04
