Date,Nation,Cumulative cases per 100k
2022-01-09,England,21874.6
2022-01-08,England,21825.27388
2022-01-07,England,21726.36699
2022-01-06,England,21590.13926
2022-01-05,England,21381.23799
2022-01-04,England,21105.43328
2022-01-03,England,20746.43517
2022-01-02,England,20447.68093
2022-01-01,England,20216.54453
2021-12-31,England,20061.26645
2021-12-30,England,19821.29718
2021-12-29,England,19518.37672
2021-12-28,England,19164.85517
2021-12-27,England,18895.13886
2021-12-26,England,18648.22178
2021-12-25,England,18489.94636
2021-12-24,England,18393.38961
2021-12-23,England,18206.07979
2021-12-22,England,17988.7559
2021-12-21,England,17769.67252
2021-12-20,England,17563.22394
2021-12-19,England,17375.19794
2021-12-18,England,17248.85701
2021-12-17,England,17121.71148
2021-12-16,England,16985.23794
2021-12-15,England,16834.28346
2021-12-14,England,16673.4298
2021-12-13,England,16526.0509
2021-12-12,England,16399.82668
2021-12-11,England,16322.26898
2021-12-10,England,16251.61666
2021-12-09,England,16175.70352
2021-12-08,England,16093.22276
2021-12-07,England,16008.5581
2021-12-06,England,15926.75108
2021-12-05,England,15839.43921
2021-12-04,England,15779.34566
2021-12-03,England,15722.00718
2021-12-02,England,15654.46007
2021-12-01,England,15580.26399
2021-11-30,England,15498.83539
2021-11-29,England,15416.68531
2021-11-28,England,15334.04894
2021-11-27,England,15275.58226
2021-11-26,England,15226.40114
2021-11-25,England,15168.21563
2021-11-24,England,15104.08495
2021-11-23,England,15035.24872
2021-11-22,England,14964.32761
2021-11-21,England,14890.21641
2021-11-20,England,14835.31471
2021-11-19,England,14783.64907
2021-11-18,England,14726.22571
2021-11-17,England,14662.14455
2021-11-16,England,14595.95375
2021-11-15,England,14529.29788
2021-11-14,England,14455.85865
2021-11-13,England,14404.72352
2021-11-12,England,14357.31428
2021-11-11,England,14303.24723
2021-11-10,England,14245.05642
2021-11-09,England,14183.91954
2021-11-08,England,14123.98867
2021-11-07,England,14061.56975
2021-11-06,England,14017.56634
2021-11-05,England,13978.53904
2021-11-04,England,13936.38177
2021-11-03,England,13890.26342
2021-11-02,England,13839.97886
2021-11-01,England,13786.18237
2021-10-31,England,13721.17283
2021-10-30,England,13670.06422
2021-10-29,England,13621.10768
2021-10-28,England,13562.2891
2021-10-27,England,13501.53772
2021-10-26,England,13438.28237
2021-10-25,England,13377.1844
2021-10-24,England,13307.98743
2021-10-23,England,13255.8408
2021-10-22,England,13204.24413
2021-10-21,England,13144.4618
2021-10-20,England,13077.63794
2021-10-19,England,13001.38705
2021-10-18,England,12924.11052
2021-10-17,England,12838.79334
2021-10-16,England,12773.76434
2021-10-15,England,12718.87679
2021-10-14,England,12655.35442
2021-10-13,England,12587.33516
2021-10-12,England,12517.02236
2021-10-11,England,12446.17552
2021-10-10,England,12371.40119
2021-10-09,England,12316.71877
2021-10-08,England,12269.67204
2021-10-07,England,12217.91798
2021-10-06,England,12162.09674
2021-10-05,England,12105.65658
2021-10-04,England,12049.78583
2021-10-03,England,11986.49688
2021-10-02,England,11939.42009
2021-10-01,England,11901.50861
2021-09-30,England,11859.6555
2021-09-29,England,11813.22769
2021-09-28,England,11763.47186
2021-09-27,England,11712.18112
2021-09-26,England,11652.25379
2021-09-25,England,11605.80652
2021-09-24,England,11565.23546
2021-09-23,England,11520.6202
2021-09-22,England,11471.60708
2021-09-21,England,11421.75399
2021-09-20,England,11368.79039
2021-09-19,England,11313.16367
2021-09-18,England,11270.25663
2021-09-17,England,11233.96849
2021-09-16,England,11195.20821
2021-09-15,England,11156.768
2021-09-14,England,11117.92284
2021-09-13,England,11078.74346
2021-09-12,England,11035.15207
2021-09-11,England,11004.17603
2021-09-10,England,10974.81095
2021-09-09,England,10938.49451
2021-09-08,England,10896.2117
2021-09-07,England,10851.89352
2021-09-06,England,10803.52938
2021-09-05,England,10746.27578
2021-09-04,England,10705.6499
2021-09-03,England,10665.0417
2021-09-02,England,10615.32831
2021-09-01,England,10562.31166
2021-08-31,England,10507.5974
2021-08-30,England,10449.48262
2021-08-29,England,10406.33332
2021-08-28,England,10373.19813
2021-08-27,England,10338.37065
2021-08-26,England,10296.43089
2021-08-25,England,10250.62907
2021-08-24,England,10202.42938
2021-08-23,England,10153.69389
2021-08-22,England,10101.22719
2021-08-21,England,10062.39087
2021-08-20,England,10023.23448
2021-08-19,England,9978.999417
2021-08-18,England,9928.778514
2021-08-17,England,9874.485121
2021-08-16,England,9820.835404
2021-08-15,England,9767.500452
2021-08-14,England,9730.655286
2021-08-13,England,9693.6492
2021-08-12,England,9650.388491
2021-08-11,England,9602.505336
2021-08-10,England,9552.118209
2021-08-09,England,9504.383595
2021-08-08,England,9455.526084
2021-08-07,England,9420.666765
2021-08-06,England,9386.168188
2021-08-05,England,9343.190413
2021-08-04,England,9294.539798
2021-08-03,England,9244.582379
2021-08-02,England,9197.869866
2021-08-01,England,9151.92835
2021-07-31,England,9119.703861
2021-07-30,England,9087.866638
2021-07-29,England,9049.696984
2021-07-28,England,9005.84388
2021-07-27,England,8959.253383
2021-07-26,England,8914.266771
2021-07-25,England,8868.420746
2021-07-24,England,8834.406695
2021-07-23,England,8799.306882
2021-07-22,England,8756.847231
2021-07-21,England,8708.806693
2021-07-20,England,8653.894381
2021-07-19,England,8591.777844
2021-07-18,England,8516.727657
2021-07-17,England,8459.268932
2021-07-16,England,8398.006504
2021-07-15,England,8309.33655
2021-07-14,England,8209.633911
2021-07-13,England,8122.477657
2021-07-12,England,8047.648513
2021-07-11,England,7977.544377
2021-07-10,England,7929.910558
2021-07-09,England,7885.824033
2021-07-08,England,7835.493493
2021-07-07,England,7783.718219
2021-07-06,England,7724.454017
2021-07-05,England,7669.697318
2021-07-04,England,7617.476421
2021-07-03,England,7579.777146
2021-07-02,England,7544.044267
2021-07-01,England,7505.595214
2021-06-30,England,7463.823448
2021-06-29,England,7422.435412
2021-06-28,England,7382.329424
2021-06-27,England,7341.867999
2021-06-26,England,7315.272141
2021-06-25,England,7291.967166
2021-06-24,England,7266.292614
2021-06-23,England,7240.27854
2021-06-22,England,7214.816189
2021-06-21,England,7191.433408
2021-06-20,England,7169.488288
2021-06-19,England,7155.327408
2021-06-18,England,7143.049812
2021-06-17,England,7128.001225
2021-06-16,England,7111.728945
2021-06-15,England,7095.536241
2021-06-14,England,7079.856356
2021-06-13,England,7064.48593
2021-06-12,England,7054.035031
2021-06-11,England,7044.738859
2021-06-10,England,7033.525805
2021-06-09,England,7021.983839
2021-06-08,England,7010.102351
2021-06-07,England,6998.740756
2021-06-06,England,6987.078543
2021-06-05,England,6978.92472
2021-06-04,England,6972.097153
2021-06-03,England,6963.716982
2021-06-02,England,6954.919482
2021-06-01,England,6946.219242
2021-05-31,England,6938.551712
2021-05-30,England,6933.133513
2021-05-29,England,6928.652536
2021-05-28,England,6924.419126
2021-05-27,England,6919.423561
2021-05-26,England,6914.183965
2021-05-25,England,6908.756924
2021-05-24,England,6904.003622
2021-05-23,England,6899.370567
2021-05-22,England,6896.111513
2021-05-21,England,6893.393572
2021-05-20,England,6890.212325
2021-05-19,England,6886.827719
2021-05-18,England,6882.985113
2021-05-17,England,6879.199094
2021-05-16,England,6875.232703
2021-05-15,England,6872.543056
2021-05-14,England,6870.314945
2021-05-13,England,6867.738471
2021-05-12,England,6864.806561
2021-05-11,England,6861.671291
2021-05-10,England,6858.581998
2021-05-09,England,6854.732319
2021-05-08,England,6851.462655
2021-05-07,England,6849.333572
2021-05-06,England,6846.571422
2021-05-05,England,6843.367187
2021-05-04,England,6839.752697
2021-05-03,England,6836.138206
2021-05-02,England,6833.139099
2021-05-01,England,6830.988796
2021-04-30,England,6828.992338
2021-04-29,England,6826.493671
2021-04-28,England,6823.376085
2021-04-27,England,6819.807571
2021-04-26,England,6816.812001
2021-04-25,England,6813.107325
2021-04-24,England,6809.968519
2021-04-23,England,6807.841204
2021-04-22,England,6805.047224
2021-04-21,England,6801.715668
2021-04-20,England,6797.9491
2021-04-19,England,6794.511444
2021-04-18,England,6790.746645
2021-04-17,England,6786.980077
2021-04-16,England,6784.665318
2021-04-15,England,6781.459315
2021-04-14,England,6778.270995
2021-04-13,England,6774.828034
2021-04-12,England,6771.446964
2021-04-11,England,6767.489416
2021-04-10,England,6764.12603
2021-04-09,England,6760.787401
2021-04-08,England,6756.688385
2021-04-07,England,6752.299361
2021-04-06,England,6747.714051
2021-04-05,England,6743.176487
2021-04-04,England,6739.294977
2021-04-03,England,6735.890919
2021-04-02,England,6732.327711
2021-04-01,England,6728.562911
2021-03-31,England,6723.489539
2021-03-30,England,6717.919263
2021-03-29,England,6712.692045
2021-03-28,England,6707.036889
2021-03-27,England,6699.777846
2021-03-26,England,6694.566543
2021-03-25,England,6688.143927
2021-03-24,England,6680.269501
2021-03-23,England,6671.220897
2021-03-22,England,6663.528611
2021-03-21,England,6654.416347
2021-03-20,England,6646.423442
2021-03-19,England,6640.457058
2021-03-18,England,6633.125513
2021-03-17,England,6625.118462
2021-03-16,England,6616.542005
2021-03-15,England,6608.151224
2021-03-14,England,6598.522604
2021-03-13,England,6592.172489
2021-03-12,England,6586.057564
2021-03-11,England,6577.880752
2021-03-10,England,6569.585462
2021-03-09,England,6560.718997
2021-03-08,England,6551.482948
2021-03-07,England,6541.619139
2021-03-06,England,6535.346831
2021-03-05,England,6528.786283
2021-03-04,England,6520.735024
2021-03-03,England,6512.243447
2021-03-02,England,6503.214295
2021-03-01,England,6493.155968
2021-02-28,England,6482.722752
2021-02-27,England,6475.723656
2021-02-26,England,6468.455772
2021-02-25,England,6458.422201
2021-02-24,England,6446.703401
2021-02-23,England,6433.773287
2021-02-22,England,6419.35423
2021-02-21,England,6401.911308
2021-02-20,England,6389.884816
2021-02-19,England,6377.679722
2021-02-18,England,6361.971544
2021-02-17,England,6344.429595
2021-02-16,England,6326.684286
