Wealth category,Asset type,Percentage
0-250k (71%),Pension,31.052
250-500k (12%),Pension,38.117
500k-1m (9%),Pension,48.685
1-2m (4%),Pension,54.633
2-5m (0.9%),Pension,50.011
5-10m (0.1%),Pension,17.663
10m+ (0.03%),Pension,3.260
0-250k (71%),Financial,8.87
250-500k (12%),Financial,11.05
500k-1m (9%),Financial,11.52
1-2m (4%),Financial,13.67
2-5m (0.9%),Financial,13.53
5-10m (0.1%),Financial,28.40
10m+ (0.03%),Financial,12.79
0-250k (71%),Property,49.39
250-500k (12%),Property,45.58
500k-1m (9%),Property,35.33
1-2m (4%),Property,26.90
2-5m (0.9%),Property,27.03
5-10m (0.1%),Property,20.93
10m+ (0.03%),Property,23.50
0-250k (71%),Business,1.03
250-500k (12%),Business,1.09
500k-1m (9%),Business,1.66
1-2m (4%),Business,2.79
2-5m (0.9%),Business,7.71
5-10m (0.1%),Business,31.72
10m+ (0.03%),Business,59.68
0-250k (71%),Physical,9.60
250-500k (12%),Physical,4.18
500k-1m (9%),Physical,2.81
1-2m (4%),Physical,2.02
2-5m (0.9%),Physical,1.74
5-10m (0.1%),Physical,1.29
10m+ (0.03%),Physical,0.77
