Date,Year,Value,Detail
January,2019,8636822,Number of appointments
February,2019,7650679,
March,2019,8096535,
April,2019,7898057,
May,2019,8267388,
June,2019,7831232,
July,2019,8745684,
August,2019,7611047,
September,2019,8106956,
October,2019,8918336,
November,2019,8342470,
December,2019,7280493,
January,2020,8711845,
February,2020,7811062,
March,2020,6897428,
April,2020,4243204,
May,2020,4558840,
June,2020,5925653,
July,2020,6564391,
August,2020,5997385,
September,2020,7296180,
October,2020,7431622,
November,2020,7547649,
December,2020,6870137,
January,2021,6615100,
February,2021,6592424,
March,2021,8094863,
April,2021,7580146,
May,2021,7560333,
June,2021,8279430,
July,2021,7656230,
August,2021,null,
September,2021,null,
October,2021,null,
November,2021,null,
December,2021,null,
