date,value
2007-08-01,4.19
2007-09-01,4.00
2007-10-01,3.94
2007-11-01,3.92
2007-12-01,3.85
2008-01-01,3.51
2008-02-01,3.12
2008-03-01,3.06
2008-04-01,2.94
2008-05-01,2.87
2008-06-01,2.74
2008-07-01,2.64
2008-08-01,2.68
2008-09-01,2.63
2008-10-01,2.47
2008-11-01,2.43
2008-12-01,2.35
2009-01-01,2.30
2009-02-01,2.31
2009-03-01,2.36
2009-04-01,2.42
2009-05-01,2.44
2009-06-01,2.48
2009-07-01,2.48
2009-08-01,2.46
2009-09-01,2.43
2009-10-01,2.38
2009-11-01,2.34
2009-12-01,2.37
2010-01-01,2.32
2010-02-01,2.34
2010-03-01,2.42
2010-04-01,2.51
2010-05-01,2.57
2010-06-01,2.57
2010-07-01,2.66
2010-08-01,2.65
2010-09-01,2.59
2010-10-01,2.57
2010-11-01,2.53
2010-12-01,2.41
2011-01-01,2.37
2011-02-01,2.44
2011-03-01,2.46
2011-04-01,2.47
2011-05-01,2.54
2011-06-01,2.55
2011-07-01,2.61
2011-08-01,2.61
2011-09-01,2.60
2011-10-01,2.57
2011-11-01,2.50
2011-12-01,2.39
2012-01-01,2.36
2012-02-01,2.38
2012-03-01,2.41
2012-04-01,2.48
2012-05-01,2.56
2012-06-01,2.64
2012-07-01,2.68
2012-08-01,2.64
2012-09-01,2.64
2012-10-01,2.64
2012-11-01,2.59
2012-12-01,2.57
2013-01-01,2.54
2013-02-01,2.57
2013-03-01,2.66
2013-04-01,2.75
2013-05-01,2.85
2013-06-01,2.88
2013-07-01,2.91
2013-08-01,2.94
2013-09-01,2.90
2013-10-01,2.91
2013-11-01,2.88
2013-12-01,2.88
2014-01-01,2.91
2014-02-01,2.91
2014-03-01,2.91
2014-04-01,3.02
2014-05-01,3.10
2014-06-01,3.14
2014-07-01,3.07
2014-08-01,3.09
2014-09-01,2.99
2014-10-01,3.01
2014-11-01,2.99
2014-12-01,2.93
2015-01-01,2.92
2015-02-01,2.93
2015-03-01,3.01
2015-04-01,3.02
2015-05-01,3.17
2015-06-01,3.20
2015-07-01,3.26
2015-08-01,3.33
2015-09-01,3.31
2015-10-01,3.31
2015-11-01,3.31
2015-12-01,3.30
2016-01-01,3.29
2016-02-01,3.35
2016-03-01,3.50
2016-04-01,3.60
2016-05-01,3.66
2016-06-01,3.63
2016-07-01,3.66
2016-08-01,3.69
2016-09-01,3.70
2016-10-01,3.75
2016-11-01,3.72
2016-12-01,3.65
2017-01-01,3.62
2017-02-01,3.66
2017-03-01,3.73
2017-04-01,3.78
2017-05-01,3.81
2017-06-01,3.83
2017-07-01,3.85
2017-08-01,3.89
2017-09-01,3.83
2017-10-01,3.80
2017-11-01,3.72
2017-12-01,3.77
2018-01-01,3.73
2018-02-01,3.76
2018-03-01,3.85
2018-04-01,4.02
2018-05-01,4.09
2018-06-01,4.12
2018-07-01,4.14
2018-08-01,4.16
2018-09-01,4.13
2018-10-01,4.19
2018-11-01,4.15
2018-12-01,4.15
2019-01-01,4.17
2019-02-01,4.14
2019-03-01,4.23
2019-04-01,4.30
2019-05-01,4.39
2019-06-01,4.40
2019-07-01,4.37
2019-08-01,4.41
2019-09-01,4.42
2019-10-01,4.44
2019-11-01,4.41
2019-12-01,4.41
2020-01-01,4.42
2020-02-01,4.42
2020-03-01,4.24
2020-04-01,3.95
2020-05-01,3.85
2020-06-01,3.86
2020-07-01,4.05
2020-08-01,4.22
2020-09-01,4.35
2020-10-01,4.45
2020-11-01,4.46
2020-12-01,4.52
2021-01-01,4.59
2021-02-01,4.70
2021-03-01,4.95
2021-04-01,5.12
2021-05-01,5.31
2021-06-01,5.45
2021-07-01,5.61
2021-08-01,5.72
2021-09-01,5.83
2021-10-01,5.98
2021-11-01,6.00
2021-12-01,6.07
2022-01-01,6.10
,
