date,region,value,
2020-01-03,UK,-6.44,
2020-01-10,UK,-5.10,
2020-01-17,UK,-9.44,
2020-01-24,UK,-15.66,
2020-01-31,UK,-12.54,
2020-02-07,UK,-14.08,
2020-02-14,UK,-12.13,
2020-02-21,UK,-13.13,
2020-02-28,UK,-8.77,
2020-03-06,UK,-11.35,
2020-03-13,UK,-6.92,
2020-03-20,UK,-4.52,
2020-03-27,UK,2.63,
2020-04-03,UK,51.19,
2020-04-10,UK,68.90,
2020-04-17,UK,101.49,
2020-04-24,UK,98.67,
2020-05-01,UK,68.73,
2020-05-08,UK,24.88,
2020-05-15,UK,35.72,
2020-05-22,UK,17.01,
2020-05-29,UK,11.40,
2020-06-05,UK,1.45,
2020-06-12,UK,0.56,
2020-06-19,UK,-4.92,
2020-06-26,UK,-6.97,
2020-07-03,UK,-5.03,
2020-07-10,UK,-9.45,
2020-07-17,UK,-6.60,
2020-07-24,UK,-5.43,
2020-07-31,UK,-4.86,
2020-08-07,UK,-5.29,
2020-08-14,UK,-2.47,
2020-08-21,UK,0.63,
2020-08-28,UK,3.29,
2020-08-04,UK,-16.10,
2020-09-11,UK,-0.05,
2020-09-18,UK,-2.00,
2020-08-25,UK,-3.13,
2020-10-02,UK,0.04,
2020-10-09,UK,-3.06,
2020-10-16,UK,1.66,
2020-10-23,UK,5.08,
2020-10-30,UK,5.17,
2020-11-06,UK,9.02,
2020-11-13,UK,12.61,
2020-11-20,UK,15.29,
2020-11-27,UK,14.13,
2020-12-04,UK,9.24,
2020-12-11,UK,7.74,
2020-12-18,UK,6.45,
2020-12-25,UK,26.60,
2021-01-01,UK,14.83,
2020-01-03,Spain,-22.06,
2020-01-10,Spain,-19.64,
2020-01-17,Spain,-15.10,
2020-01-24,Spain,-11.29,
2020-01-31,Spain,-9.37,
2020-02-07,Spain,-15.26,
2020-02-14,Spain,-17.29,
2020-02-21,Spain,-19.09,
2020-02-28,Spain,-17.13,
2020-03-06,Spain,-12.16,
2020-03-13,Spain,3.76,
2020-03-20,Spain,46.97,
2020-03-27,Spain,129.26,
2020-04-03,Spain,142.89,
2020-04-10,Spain,100.93,
2020-04-17,Spain,56.34,
2020-04-24,Spain,24.97,
2020-05-01,Spain,10.32,
2020-05-08,Spain,3.53,
2020-05-15,Spain,-6.42,
2020-05-22,Spain,-4.55,
2020-05-29,Spain,-3.13,
2020-06-05,Spain,-9.22,
2020-06-12,Spain,-11.11,
2020-06-19,Spain,-11.96,
2020-06-26,Spain,-4.94,
2020-07-03,Spain,-3.96,
2020-07-10,Spain,-2.97,
2020-07-17,Spain,-3.09,
2020-07-24,Spain,0.76,
2020-07-31,Spain,8.08,
2020-08-07,Spain,8.05,
2020-08-14,Spain,7.98,
2020-08-21,Spain,6.34,
2020-08-28,Spain,7.82,
2020-08-04,Spain,6.85,
2020-09-11,Spain,11.81,
2020-09-18,Spain,10.70,
2020-08-25,Spain,8.70,
2020-10-02,Spain,8.66,
2020-10-09,Spain,12.96,
2020-10-16,Spain,11.99,
2020-10-23,Spain,20.97,
2020-10-30,Spain,21.31,
2020-11-06,Spain,27.98,
2020-11-13,Spain,21.50,
2020-11-20,Spain,16.76,
2020-11-27,Spain,12.90,
2020-12-04,Spain,11.48,
2020-12-11,Spain,7.05,
2020-12-18,Spain,1.79,
2020-12-25,Spain,-5.21,
2021-01-01,Spain,-3.48,
2020-01-03,France,-14.84,
2020-01-10,France,-11.21,
2020-01-17,France,-13.07,
2020-01-24,France,-14.04,
2020-01-31,France,-12.41,
2020-02-07,France,-14.19,
2020-02-14,France,-13.85,
2020-02-21,France,-16.10,
2020-02-28,France,-15.74,
2020-03-06,France,-10.76,
2020-03-13,France,-3.19,
2020-03-20,France,10.43,
2020-03-27,France,28.84,
2020-04-03,France,51.39,
2020-04-10,France,43.06,
2020-04-17,France,27.61,
2020-04-24,France,7.97,
2020-05-01,France,-2.91,
2020-05-08,France,-3.26,
2020-05-15,France,-3.87,
2020-05-22,France,-0.93,
2020-05-29,France,-4.29,
2020-06-05,France,-4.26,
2020-06-12,France,-3.69,
2020-06-19,France,-5.78,
2020-06-26,France,-0.46,
2020-07-03,France,-12.39,
2020-07-10,France,-5.43,
2020-07-17,France,-8.39,
2020-07-24,France,-5.31,
2020-07-31,France,0.11,
2020-08-07,France,-1.95,
2020-08-14,France,8.89,
2020-08-21,France,-4.38,
2020-08-28,France,-3.73,
2020-08-04,France,-1.38,
2020-09-11,France,0.72,
2020-09-18,France,4.11,
2020-08-25,France,-3.59,
2020-10-02,France,1.60,
2020-10-09,France,-0.49,
2020-10-16,France,2.75,
2020-10-23,France,13.21,
2020-10-30,France,20.43,
2020-11-06,France,27.85,
2020-11-13,France,26.58,
2020-11-20,France,21.57,
2020-11-27,France,18.19,
2020-12-04,France,16.13,
2020-12-11,France,12.70,
2020-12-18,France,6.52,
2020-12-25,France,1.36,
2021-01-01,France,4.06,
2020-01-03,Italy,-22.44,
2020-01-10,Italy,-21.93,
2020-01-17,Italy,-19.42,
2020-01-24,Italy,-15.56,
2020-01-31,Italy,-15.04,
2020-02-07,Italy,-14.15,
2020-02-14,Italy,-11.47,
2020-02-21,Italy,-12.11,
2020-02-28,Italy,-8.01,
2020-03-06,Italy,1.77,
2020-03-13,Italy,31.77,
2020-03-20,Italy,64.03,
2020-03-27,Italy,75.92,
2020-04-03,Italy,58.15,
2020-04-10,Italy,44.60,
2020-04-17,Italy,29.84,
2020-04-24,Italy,16.23,
2020-05-01,Italy,5.33,
2020-05-08,Italy,1.83,
2020-05-15,Italy,-0.47,
2020-05-22,Italy,-5.20,
2020-05-29,Italy,-7.12,
2020-06-05,Italy,-7.78,
2020-06-12,Italy,-10.45,
2020-06-19,Italy,-6.20,
2020-06-26,Italy,0.78,
2020-07-03,Italy,0.63,
2020-07-10,Italy,-8.47,
2020-07-17,Italy,-11.55,
2020-07-24,Italy,-10.54,
2020-07-31,Italy,0.39,
2020-08-07,Italy,-7.13,
2020-08-14,Italy,1.28,
2020-08-21,Italy,0.95,
2020-08-28,Italy,-0.38,
2020-08-04,Italy,-2.05,
2020-09-11,Italy,0.24,
