date,job,value
2019,Managers/directors/senior officials,16.3
2020,Managers/directors/senior officials,9.3
2021,Managers/directors/senior officials,10.2
2019,Professional,10.2
2020,Professional,10.1
2021,Professional,9.2
2019,Associate professional/technical,11
2020,Associate professional/technical,11
2021,Associate professional/technical,10.9
2019,Skilled trades ,4.9
2020,Skilled trades ,5.7
2021,Skilled trades ,5.8
2019,Administrative/secretarial,22.3
2020,Administrative/secretarial,19.7
2021,Administrative/secretarial,21.9
2019,Process plant/machine,8
2020,Process plant/machine,6.5
2021,Process plant/machine,6.7
2019,Sales/customer service,4.3
2020,Sales/customer service,0.8
2021,Sales/customer service,2.9
2019,Care/leisure/other service,18.1
2020,Care/leisure/other service,14.1
2021,Care/leisure/other service,16.1
2019,Elementary,11
2020,Elementary,8.3
2021,Elementary,11
