group,time,value,value2
Human health and social work activities,Just day,8.88,0.0888
Accommodation and food service activities,Just day,1.99,0.0199
Wholesale and retail trade; repair of motor vehicles and motorcycles,Just day,7.82,0.0782
Transportation and storage,Just day,2.68,0.0268
Eduction,Just day,8.46,0.0846
Public administration and defence; compulsory social security,Just day,5.76,0.0576
Manufacturing,Just day,6.62,0.0662
Professional scientific and technical activities,Just day,6.85,0.0685
Arts entertainment and recreation,Just day,1.45,0.0145
Administrative and support service activities,Just day,3.29,0.0329
Information and communication,Just day,4.07,0.0407
Construction,Just day,6.05,0.0605
Other service activities,Just day,1.95,0.0195
Financial and insurance activities,Just day,3.80,0.038
Agriculture forestry and fishing,Just day,0.45,0.0045
Real estate activities,Just day,1.14,0.0114
Electricity gas steam and air conditioning supply,Just day,0.42,0.0042
Mining and quarrying,Just day,0.27,0.0027
Water supply sewerage waste,Just day,0.70,0.007
Human health and social work activities,Night or evening (and day),3.53,0.0353
Accommodation and food service activities,Night or evening (and day),1.91,0.0191
Wholesale and retail trade; repair of motor vehicles and motorcycles,Night or evening (and day),1.97,0.0197
Transportation and storage,Night or evening (and day),1.28,0.0128
Eduction,Night or evening (and day),1.50,0.015
Public administration and defence; compulsory social security,Night or evening (and day),1.47,0.0147
Manufacturing,Night or evening (and day),1.21,0.0121
Professional scientific and technical activities,Night or evening (and day),1.34,0.0134
Arts entertainment and recreation,Night or evening (and day),0.87,0.0087
Administrative and support service activities,Night or evening (and day),0.71,0.0071
Information and communication,Night or evening (and day),0.81,0.0081
Construction,Night or evening (and day),0.57,0.0057
Other service activities,Night or evening (and day),0.52,0.0052
Financial and insurance activities,Night or evening (and day),0.50,0.005
Agriculture forestry and fishing,Night or evening (and day),0.24,0.0024
Real estate activities,Night or evening (and day),0.10,0.001
Electricity gas steam and air conditioning supply,Night or evening (and day),0.10,0.001
Mining and quarrying,Night or evening (and day),0.09,0.0009
Water supply sewerage waste,Night or evening (and day),0.07,0.0007
Human health and social work activities,Night or evening (no day),0.73,0.0073
Accommodation and food service activities,Night or evening (no day),0.82,0.0082
Wholesale and retail trade; repair of motor vehicles and motorcycles,Night or evening (no day),0.68,0.0068
Transportation and storage,Night or evening (no day),0.53,0.0053
Eduction,Night or evening (no day),0.15,0.0015
Public administration and defence; compulsory social security,Night or evening (no day),0.09,0.0009
Manufacturing,Night or evening (no day),0.31,0.0031
Professional scientific and technical activities,Night or evening (no day),0.06,0.0006
Arts entertainment and recreation,Night or evening (no day),0.09,0.0009
Administrative and support service activities,Night or evening (no day),0.24,0.0024
Information and communication,Night or evening (no day),0.03,0.0003
Construction,Night or evening (no day),0.04,0.0004
Other service activities,Night or evening (no day),0.06,0.0006
Financial and insurance activities,Night or evening (no day),0.02,0.0002
Agriculture forestry and fishing,Night or evening (no day),0.00,0
Real estate activities,Night or evening (no day),0.02,0.0002
Electricity gas steam and air conditioning supply,Night or evening (no day),0.00,0
Mining and quarrying,Night or evening (no day),0.01,0.0001
Water supply sewerage waste,Night or evening (no day),0.00,0
