group,pay,value,value2
Night-time cultural & leisure activities,High earners,5.30,0.053
Activities which support night-time cultural & leisure activities,High earners,9.74,0.0974
All night-time industries,High earners,16.14,0.1614
All industries,High earners,23.73,0.2373
Activities which support wider social & economic activities,High earners,17.77,0.1777
24-hour health & personal services,High earners,22.68,0.2268
Night-time cultural & leisure activities,Middle earners,56.23,0.5623
Activities which support night-time cultural & leisure activities,Middle earners,69.44,0.6944
All night-time industries,Middle earners,68.73,0.6873
All industries,Middle earners,65.78,0.6578
Activities which support wider social & economic activities,Middle earners,71.76,0.7176
24-hour health & personal services,Middle earners,71.96,0.7196
Night-time cultural & leisure activities,Low earners,38.47,0.3847
Activities which support night-time cultural & leisure activities,Low earners,20.82,0.2082
All night-time industries,Low earners,15.12,0.1512
All industries,Low earners,10.49,0.1049
Activities which support wider social & economic activities,Low earners,10.47,0.1047
24-hour health & personal services,Low earners,5.35,0.0535
