Nation,Date,Cases by date per million
England,2021-02-09,28.19328478
England,2021-02-08,194.6704566
England,2021-02-07,172.6772073
England,2021-02-06,182.1282643
England,2021-02-05,246.7400959
England,2021-02-04,285.6990584
England,2021-02-03,309.2378753
England,2021-02-02,313.7857524
England,2021-02-01,358.1097886
England,2021-01-31,244.3950968
England,2021-01-30,266.4771718
England,2021-01-29,350.2931249
England,2021-01-28,388.8079588
England,2021-01-27,413.6969266
England,2021-01-26,435.210517
England,2021-01-25,482.8388701
England,2021-01-24,275.3952745
England,2021-01-23,353.7573281
England,2021-01-22,479.2325457
England,2021-01-21,511.9559424
England,2021-01-20,565.1625511
England,2021-01-19,640.1314621
England,2021-01-18,724.5869604
England,2021-01-17,466.0685735
England,2021-01-16,491.6326168
England,2021-01-15,654.0060401
England,2021-01-14,685.2371647
England,2021-01-13,731.9772606
England,2021-01-12,794.7948126
England,2021-01-11,925.2620359
England,2021-01-10,583.8337182
England,2021-01-09,629.6677918
England,2021-01-08,752.7447149
England,2021-01-07,832.7056316
England,2021-01-06,912.2224196
England,2021-01-05,1032.066086
England,2021-01-04,1227.926808
England,2021-01-03,880.0675076
England,2021-01-02,962.7642565
England,2021-01-01,501.2613253
England,2020-12-31,829.2947238
England,2020-12-30,1117.658554
England,2020-12-29,1288.417126
England,2020-12-28,711.1742761
England,2020-12-27,754.3080476
England,2020-12-26,651.7853971
England,2020-12-25,225.1376799
England,2020-12-24,510.2504885
England,2020-12-23,669.8703144
England,2020-12-22,726.9852549
England,2020-12-21,757.0438799
England,2020-12-20,514.354237
England,2020-12-19,386.2497779
England,2020-12-18,565.6599751
England,2020-12-17,525.8482857
England,2020-12-16,535.1394564
England,2020-12-15,517.303251
England,2020-12-14,524.4448392
England,2020-12-13,322.1353704
England,2020-12-12,284.9529224
England,2020-12-11,353.2421389
England,2020-12-10,329.8632084
England,2020-12-09,310.9788595
England,2020-12-08,296.4825013
England,2020-12-07,309.3622313
England,2020-12-06,193.622313
England,2020-12-05,180.8669391
England,2020-12-04,229.330254
England,2020-12-03,222.7749156
England,2020-12-02,238.9234322
England,2020-12-01,240.1669924
England,2020-11-30,267.3298987
England,2020-11-29,158.3940309
England,2020-11-28,163.4570972
England,2020-11-27,218.1737431
England,2020-11-26,218.0849174
England,2020-11-25,247.3441109
England,2020-11-24,249.2982768
England,2020-11-23,287.8841713
England,2020-11-22,178.4153491
England,2020-11-21,188.5237165
England,2020-11-20,261.0055072
England,2020-11-19,275.5018653
England,2020-11-18,323.805294
England,2020-11-17,361.5562267
England,2020-11-16,421.5491206
England,2020-11-15,252.7091846
England,2020-11-14,284.8818618
England,2020-11-13,384.7397406
England,2020-11-12,390.2291704
England,2020-11-11,437.9285841
England,2020-11-10,434.9085095
England,2020-11-09,499.2360988
England,2020-11-08,319.1330609
England,2020-11-07,295.3100018
England,2020-11-06,369.9769053
England,2020-11-05,370.8473974
England,2020-11-04,367.6852016
England,2020-11-03,396.4292059
England,2020-11-02,496.1627287
England,2020-11-01,237.5199858
England,2020-10-31,255.0719488
England,2020-10-30,349.1383905
England,2020-10-29,355.0008883
England,2020-10-28,359.6198259
England,2020-10-27,364.2742938
England,2020-10-26,404.4057559
England,2020-10-25,233.9136614
England,2020-10-24,240.1847575
England,2020-10-23,322.0110144
England,2020-10-22,348.5521407
England,2020-10-21,382.0927341
England,2020-10-20,379.1614852
England,2020-10-19,392.9294724
England,2020-10-18,210.6413217
England,2020-10-17,219.5594244
England,2020-10-16,258.6427429
England,2020-10-15,270.8651626
England,2020-10-14,292.3787529
England,2020-10-13,274.5247824
England,2020-10-12,287.8841713
England,2020-10-11,171.6290638
England,2020-10-10,180.4050453
England,2020-10-09,231.1422988
England,2020-10-08,271.3092912
England,2020-10-07,270.0834962
England,2020-10-06,254.0593356
England,2020-10-05,249.4936934
England,2020-10-04,174.6491384
England,2020-10-03,172.4817907
England,2020-10-02,205.6848463
England,2020-10-01,200.8882572
England,2020-09-30,186.9070883
England,2020-09-29,155.0008883
England,2020-09-28,152.4604726
England,2020-09-27,107.0527625
England,2020-09-26,100.4441286
England,2020-09-25,107.4435957
England,2020-09-24,111.8138213
England,2020-09-23,104.7077634
England,2020-09-22,95.31000178
England,2020-09-21,83.51394564
England,2020-09-20,82.19932492
England,2020-09-19,74.25830521
England,2020-09-18,75.92822882
England,2020-09-17,70.0124356
England,2020-09-16,66.63705809
England,2020-09-15,54.11263102
England,2020-09-14,51.51891988
England,2020-09-13,30.43169302
England,2020-09-12,39.31426541
England,2020-09-11,50.75501865
England,2020-09-10,55.10747913
England,2020-09-09,50.66619293
England,2020-09-08,53.41979037
England,2020-09-07,61.53846154
England,2020-09-06,36.6139634
England,2020-09-05,38.90566708
England,2020-09-04,46.04725529
England,2020-09-03,47.361876
England,2020-09-02,46.52691419
England,2020-09-01,34.25119915
England,2020-08-31,22.38408243
England,2020-08-30,17.3743116
England,2020-08-29,18.45798543
England,2020-08-28,24.55143009
England,2020-08-27,23.5210517
England,2020-08-26,20.21673477
England,2020-08-25,18.81328833
England,2020-08-24,20.09237875
England,2020-08-23,12.34677563
England,2020-08-22,12.68431338
England,2020-08-21,17.87173565
England,2020-08-20,21.69124178
England,2020-08-19,19.00870492
England,2020-08-18,16.43275893
England,2020-08-17,20.21673477
England,2020-08-16,9.379996447
England,2020-08-15,11.44075324
England,2020-08-14,18.42245514
England,2020-08-13,18.08491739
England,2020-08-12,19.47059869
England,2020-08-11,21.51359034
England,2020-08-10,24.01847575
England,2020-08-09,9.895185646
England,2020-08-08,11.29863208
England,2020-08-07,15.38461538
England,2020-08-06,17.39207675
England,2020-08-05,16.71700124
England,2020-08-04,16.32616806
England,2020-08-03,16.66370581
England,2020-08-02,9.09575413
England,2020-08-01,8.758216379
England,2020-07-31,11.08545035
England,2020-07-30,15.18919879
England,2020-07-29,17.26772073
England,2020-07-28,13.87457808
England,2020-07-27,14.38976728
England,2020-07-26,9.149049565
England,2020-07-25,8.740451235
England,2020-07-24,12.64878309
England,2020-07-23,13.02185113
England,2020-07-22,13.32385859
England,2020-07-21,12.2579499
England,2020-07-20,13.39491917
England,2020-07-19,7.337004797
England,2020-07-18,8.296322615
England,2020-07-17,9.717534198
England,2020-07-16,11.35192752
England,2020-07-15,12.86196483
England,2020-07-14,11.60063955
England,2020-07-13,12.22241961
England,2020-07-12,6.271096109
England,2020-07-11,7.443595665
England,2020-07-10,9.220110144
England,2020-07-09,12.0980636
England,2020-07-08,11.97370759
England,2020-07-07,9.930715935
England,2020-07-06,11.65393498
England,2020-07-05,9.57541304
England,2020-07-04,6.804050453
England,2020-07-03,9.50435246
England,2020-07-02,9.912950791
England,2020-07-01,10.73014745
England,2020-06-30,10.12613253
England,2020-06-29,11.81382128
England,2020-06-28,7.301474507
England,2020-06-27,8.935867827
England,2020-06-26,11.44075324
England,2020-06-25,11.33416237
England,2020-06-24,12.9330254
England,2020-06-23,12.95079055
England,2020-06-22,14.42529757
England,2020-06-21,9.788594777
England,2020-06-20,11.12098064
England,2020-06-19,14.40753242
England,2020-06-18,16.78806182
England,2020-06-17,16.1840469
England,2020-06-16,17.65855392
England,2020-06-15,16.73476639
England,2020-06-14,13.23503287
England,2020-06-13,13.92787351
England,2020-06-12,16.66370581
England,2020-06-11,16.27287262
England,2020-06-10,19.20412151
England,2020-06-09,18.81328833
England,2020-06-08,17.5341979
England,2020-06-07,11.77829099
England,2020-06-06,12.82643454
England,2020-06-05,18.10268254
England,2020-06-04,20.4299165
England,2020-06-03,22.11760526
England,2020-06-02,24.01847575
England,2020-06-01,23.3256351
England,2020-05-31,17.5341979
England,2020-05-30,17.7296145
England,2020-05-29,24.37377865
England,2020-05-28,27.94457275
England,2020-05-27,28.63741339
England,2020-05-26,25.84828566
England,2020-05-25,24.5158998
England,2020-05-24,21.3004086
England,2020-05-23,23.13021851
England,2020-05-22,31.90620004
England,2020-05-21,40.43346953
England,2020-05-20,41.69479481
England,2020-05-19,46.011725
England,2020-05-18,39.33203056
England,2020-05-17,28.21104992
England,2020-05-16,31.51536685
England,2020-05-15,37.87528868
England,2020-05-14,39.27873512
England,2020-05-13,51.19914727
England,2020-05-12,51.90975306
England,2020-05-11,54.48569906
England,2020-05-10,35.70794102
England,2020-05-09,31.83513946
England,2020-05-08,46.54467934
England,2020-05-07,56.8839936
England,2020-05-06,58.03872802
England,2020-05-05,55.78255463
England,2020-05-04,50.47077634
England,2020-05-03,46.72233079
England,2020-05-02,48.81861787
England,2020-05-01,72.65944217
England,2020-04-30,76.60330432
England,2020-04-29,84.04689998
England,2020-04-28,73.13910108
England,2020-04-27,71.5580032
England,2020-04-26,55.67596376
England,2020-04-25,59.93959851
England,2020-04-24,77.29614496
England,2020-04-23,81.00906022
England,2020-04-22,85.37928584
England,2020-04-21,70.6875111
England,2020-04-20,65.4112631
England,2020-04-19,61.78717357
England,2020-04-18,73.13910108
England,2020-04-17,72.26860899
England,2020-04-16,77.31391011
England,2020-04-15,74.91561556
England,2020-04-14,62.88861254
England,2020-04-13,61.05880263
England,2020-04-12,52.2828211
England,2020-04-11,54.41463848
England,2020-04-10,63.58145319
England,2020-04-09,72.0731924
England,2020-04-08,76.35459229
England,2020-04-07,81.11565109
England,2020-04-06,77.65144786
England,2020-04-05,54.71664594
