Nation,Date,Cases by date
England,2021-02-09,1587
England,2021-02-08,10958
England,2021-02-07,9720
England,2021-02-06,10252
England,2021-02-05,13889
England,2021-02-04,16082
England,2021-02-03,17407
England,2021-02-02,17663
England,2021-02-01,20158
England,2021-01-31,13757
England,2021-01-30,15000
England,2021-01-29,19718
England,2021-01-28,21886
England,2021-01-27,23287
England,2021-01-26,24498
England,2021-01-25,27179
England,2021-01-24,15502
England,2021-01-23,19913
England,2021-01-22,26976
England,2021-01-21,28818
England,2021-01-20,31813
England,2021-01-19,36033
England,2021-01-18,40787
England,2021-01-17,26235
England,2021-01-16,27674
England,2021-01-15,36814
England,2021-01-14,38572
England,2021-01-13,41203
England,2021-01-12,44739
England,2021-01-11,52083
England,2021-01-10,32864
England,2021-01-09,35444
England,2021-01-08,42372
England,2021-01-07,46873
England,2021-01-06,51349
England,2021-01-05,58095
England,2021-01-04,69120
England,2021-01-03,49539
England,2021-01-02,54194
England,2021-01-01,28216
England,2020-12-31,46681
England,2020-12-30,62913
England,2020-12-29,72525
England,2020-12-28,40032
England,2020-12-27,42460
England,2020-12-26,36689
England,2020-12-25,12673
England,2020-12-24,28722
England,2020-12-23,37707
England,2020-12-22,40922
England,2020-12-21,42614
England,2020-12-20,28953
England,2020-12-19,21742
England,2020-12-18,31841
England,2020-12-17,29600
England,2020-12-16,30123
England,2020-12-15,29119
England,2020-12-14,29521
England,2020-12-13,18133
England,2020-12-12,16040
England,2020-12-11,19884
England,2020-12-10,18568
England,2020-12-09,17505
England,2020-12-08,16689
England,2020-12-07,17414
England,2020-12-06,10899
England,2020-12-05,10181
England,2020-12-04,12909
England,2020-12-03,12540
England,2020-12-02,13449
England,2020-12-01,13519
England,2020-11-30,15048
England,2020-11-29,8916
England,2020-11-28,9201
England,2020-11-27,12281
England,2020-11-26,12276
England,2020-11-25,13923
England,2020-11-24,14033
England,2020-11-23,16205
England,2020-11-22,10043
England,2020-11-21,10612
England,2020-11-20,14692
England,2020-11-19,15508
England,2020-11-18,18227
England,2020-11-17,20352
England,2020-11-16,23729
England,2020-11-15,14225
England,2020-11-14,16036
England,2020-11-13,21657
England,2020-11-12,21966
England,2020-11-11,24651
England,2020-11-10,24481
England,2020-11-09,28102
England,2020-11-08,17964
England,2020-11-07,16623
England,2020-11-06,20826
England,2020-11-05,20875
England,2020-11-04,20697
England,2020-11-03,22315
England,2020-11-02,27929
England,2020-11-01,13370
England,2020-10-31,14358
England,2020-10-30,19653
England,2020-10-29,19983
England,2020-10-28,20243
England,2020-10-27,20505
England,2020-10-26,22764
England,2020-10-25,13167
England,2020-10-24,13520
England,2020-10-23,18126
England,2020-10-22,19620
England,2020-10-21,21508
England,2020-10-20,21343
England,2020-10-19,22118
England,2020-10-18,11857
England,2020-10-17,12359
England,2020-10-16,14559
England,2020-10-15,15247
England,2020-10-14,16458
England,2020-10-13,15453
England,2020-10-12,16205
England,2020-10-11,9661
England,2020-10-10,10155
England,2020-10-09,13011
England,2020-10-08,15272
England,2020-10-07,15203
England,2020-10-06,14301
England,2020-10-05,14044
England,2020-10-04,9831
England,2020-10-03,9709
England,2020-10-02,11578
England,2020-10-01,11308
England,2020-09-30,10521
England,2020-09-29,8725
England,2020-09-28,8582
England,2020-09-27,6026
England,2020-09-26,5654
England,2020-09-25,6048
England,2020-09-24,6294
England,2020-09-23,5894
England,2020-09-22,5365
England,2020-09-21,4701
England,2020-09-20,4627
England,2020-09-19,4180
England,2020-09-18,4274
England,2020-09-17,3941
England,2020-09-16,3751
England,2020-09-15,3046
England,2020-09-14,2900
England,2020-09-13,1713
England,2020-09-12,2213
England,2020-09-11,2857
England,2020-09-10,3102
England,2020-09-09,2852
England,2020-09-08,3007
England,2020-09-07,3464
England,2020-09-06,2061
England,2020-09-05,2190
England,2020-09-04,2592
England,2020-09-03,2666
England,2020-09-02,2619
England,2020-09-01,1928
England,2020-08-31,1260
England,2020-08-30,978
England,2020-08-29,1039
England,2020-08-28,1382
England,2020-08-27,1324
England,2020-08-26,1138
England,2020-08-25,1059
England,2020-08-24,1131
England,2020-08-23,695
England,2020-08-22,714
England,2020-08-21,1006
England,2020-08-20,1221
England,2020-08-19,1070
England,2020-08-18,925
England,2020-08-17,1138
England,2020-08-16,528
England,2020-08-15,644
England,2020-08-14,1037
England,2020-08-13,1018
England,2020-08-12,1096
England,2020-08-11,1211
England,2020-08-10,1352
England,2020-08-09,557
England,2020-08-08,636
England,2020-08-07,866
England,2020-08-06,979
England,2020-08-05,941
England,2020-08-04,919
England,2020-08-03,938
England,2020-08-02,512
England,2020-08-01,493
England,2020-07-31,624
England,2020-07-30,855
England,2020-07-29,972
England,2020-07-28,781
England,2020-07-27,810
England,2020-07-26,515
England,2020-07-25,492
England,2020-07-24,712
England,2020-07-23,733
England,2020-07-22,750
England,2020-07-21,690
England,2020-07-20,754
England,2020-07-19,413
England,2020-07-18,467
England,2020-07-17,547
England,2020-07-16,639
England,2020-07-15,724
England,2020-07-14,653
England,2020-07-13,688
England,2020-07-12,353
England,2020-07-11,419
England,2020-07-10,519
England,2020-07-09,681
England,2020-07-08,674
England,2020-07-07,559
England,2020-07-06,656
England,2020-07-05,539
England,2020-07-04,383
England,2020-07-03,535
England,2020-07-02,558
England,2020-07-01,604
England,2020-06-30,570
England,2020-06-29,665
England,2020-06-28,411
England,2020-06-27,503
England,2020-06-26,644
England,2020-06-25,638
England,2020-06-24,728
England,2020-06-23,729
England,2020-06-22,812
England,2020-06-21,551
England,2020-06-20,626
England,2020-06-19,811
England,2020-06-18,945
England,2020-06-17,911
England,2020-06-16,994
England,2020-06-15,942
England,2020-06-14,745
England,2020-06-13,784
England,2020-06-12,938
England,2020-06-11,916
England,2020-06-10,1081
England,2020-06-09,1059
England,2020-06-08,987
England,2020-06-07,663
England,2020-06-06,722
England,2020-06-05,1019
England,2020-06-04,1150
England,2020-06-03,1245
England,2020-06-02,1352
England,2020-06-01,1313
England,2020-05-31,987
England,2020-05-30,998
England,2020-05-29,1372
England,2020-05-28,1573
England,2020-05-27,1612
England,2020-05-26,1455
England,2020-05-25,1380
England,2020-05-24,1199
England,2020-05-23,1302
England,2020-05-22,1796
England,2020-05-21,2276
England,2020-05-20,2347
England,2020-05-19,2590
England,2020-05-18,2214
England,2020-05-17,1588
England,2020-05-16,1774
England,2020-05-15,2132
England,2020-05-14,2211
England,2020-05-13,2882
England,2020-05-12,2922
England,2020-05-11,3067
England,2020-05-10,2010
England,2020-05-09,1792
England,2020-05-08,2620
England,2020-05-07,3202
England,2020-05-06,3267
England,2020-05-05,3140
England,2020-05-04,2841
England,2020-05-03,2630
England,2020-05-02,2748
England,2020-05-01,4090
England,2020-04-30,4312
England,2020-04-29,4731
England,2020-04-28,4117
England,2020-04-27,4028
England,2020-04-26,3134
England,2020-04-25,3374
England,2020-04-24,4351
England,2020-04-23,4560
England,2020-04-22,4806
England,2020-04-21,3979
England,2020-04-20,3682
England,2020-04-19,3478
England,2020-04-18,4117
England,2020-04-17,4068
England,2020-04-16,4352
England,2020-04-15,4217
England,2020-04-14,3540
England,2020-04-13,3437
England,2020-04-12,2943
England,2020-04-11,3063
England,2020-04-10,3579
England,2020-04-09,4057
England,2020-04-08,4298
England,2020-04-07,4566
England,2020-04-06,4371
England,2020-04-05,3080
England,2020-04-04,3374
England,2020-04-03,4080
England,2020-04-02,4073
England,2020-04-01,4125
England,2020-03-31,3783
England,2020-03-30,3520
England,2020-03-29,2441
England,2020-03-28,2368
England,2020-03-27,2655
England,2020-03-26,2608
