Nation,Date,Cumulative cases
England,2021-02-09,3491698
England,2021-02-08,3490111
England,2021-02-07,3479153
England,2021-02-06,3469433
England,2021-02-05,3459181
England,2021-02-04,3445292
England,2021-02-03,3429210
England,2021-02-02,3411803
England,2021-02-01,3394140
England,2021-01-31,3373982
England,2021-01-30,3360225
England,2021-01-29,3345225
England,2021-01-28,3325507
England,2021-01-27,3303621
England,2021-01-26,3280334
England,2021-01-25,3255836
England,2021-01-24,3228657
England,2021-01-23,3213155
England,2021-01-22,3193242
England,2021-01-21,3166266
England,2021-01-20,3137448
England,2021-01-19,3105635
England,2021-01-18,3069602
England,2021-01-17,3028815
England,2021-01-16,3002580
England,2021-01-15,2974906
England,2021-01-14,2938092
England,2021-01-13,2899520
England,2021-01-12,2858317
England,2021-01-11,2813578
England,2021-01-10,2761495
England,2021-01-09,2728631
England,2021-01-08,2693187
England,2021-01-07,2650815
England,2021-01-06,2603942
England,2021-01-05,2552593
England,2021-01-04,2494498
England,2021-01-03,2425378
England,2021-01-02,2375839
England,2021-01-01,2321645
England,2020-12-31,2293429
England,2020-12-30,2246748
England,2020-12-29,2183835
England,2020-12-28,2111310
England,2020-12-27,2071278
England,2020-12-26,2028818
England,2020-12-25,1992129
England,2020-12-24,1979456
England,2020-12-23,1950734
England,2020-12-22,1913027
England,2020-12-21,1872105
England,2020-12-20,1829491
England,2020-12-19,1800538
England,2020-12-18,1778796
England,2020-12-17,1746955
England,2020-12-16,1717355
England,2020-12-15,1687232
England,2020-12-14,1658113
England,2020-12-13,1628592
England,2020-12-12,1610459
England,2020-12-11,1594419
England,2020-12-10,1574535
England,2020-12-09,1555967
England,2020-12-08,1538462
England,2020-12-07,1521773
England,2020-12-06,1504359
England,2020-12-05,1493460
England,2020-12-04,1483279
England,2020-12-03,1470370
England,2020-12-02,1457830
England,2020-12-01,1444381
England,2020-11-30,1430862
England,2020-11-29,1415814
England,2020-11-28,1406898
England,2020-11-27,1397697
England,2020-11-26,1385416
England,2020-11-25,1373140
England,2020-11-24,1359217
England,2020-11-23,1345184
England,2020-11-22,1328979
England,2020-11-21,1318936
England,2020-11-20,1308324
England,2020-11-19,1293632
England,2020-11-18,1278124
England,2020-11-17,1259897
England,2020-11-16,1239545
England,2020-11-15,1215816
England,2020-11-14,1201591
England,2020-11-13,1185555
England,2020-11-12,1163898
England,2020-11-11,1141932
England,2020-11-10,1117281
England,2020-11-09,1092800
England,2020-11-08,1064698
England,2020-11-07,1046734
England,2020-11-06,1030111
England,2020-11-05,1009285
England,2020-11-04,988410
England,2020-11-03,967713
England,2020-11-02,945398
England,2020-11-01,917469
England,2020-10-31,904099
England,2020-10-30,889741
England,2020-10-29,870088
England,2020-10-28,850105
England,2020-10-27,829862
England,2020-10-26,809357
England,2020-10-25,786593
England,2020-10-24,773426
England,2020-10-23,759906
England,2020-10-22,741780
England,2020-10-21,722160
England,2020-10-20,700652
England,2020-10-19,679309
England,2020-10-18,657191
England,2020-10-17,645334
England,2020-10-16,632975
England,2020-10-15,618416
England,2020-10-14,603169
England,2020-10-13,586711
England,2020-10-12,571258
England,2020-10-11,555053
England,2020-10-10,545392
England,2020-10-09,535237
England,2020-10-08,522226
England,2020-10-07,506954
England,2020-10-06,491751
England,2020-10-05,477450
England,2020-10-04,463406
England,2020-10-03,453575
England,2020-10-02,443866
England,2020-10-01,432288
England,2020-09-30,420980
England,2020-09-29,410459
England,2020-09-28,401734
England,2020-09-27,393152
England,2020-09-26,387126
England,2020-09-25,381472
England,2020-09-24,375424
England,2020-09-23,369130
England,2020-09-22,363236
England,2020-09-21,357871
England,2020-09-20,353170
England,2020-09-19,348543
England,2020-09-18,344363
England,2020-09-17,340089
England,2020-09-16,336148
England,2020-09-15,332397
England,2020-09-14,329351
England,2020-09-13,326451
England,2020-09-12,324738
England,2020-09-11,322525
England,2020-09-10,319668
England,2020-09-09,316566
England,2020-09-08,313714
England,2020-09-07,310707
England,2020-09-06,307243
England,2020-09-05,305182
England,2020-09-04,302992
England,2020-09-03,300400
England,2020-09-02,297734
England,2020-09-01,295115
England,2020-08-31,293187
England,2020-08-30,291927
England,2020-08-29,290949
England,2020-08-28,289910
England,2020-08-27,288528
England,2020-08-26,287204
England,2020-08-25,286066
England,2020-08-24,285007
England,2020-08-23,283876
England,2020-08-22,283181
England,2020-08-21,282467
England,2020-08-20,281461
England,2020-08-19,280240
England,2020-08-18,279170
England,2020-08-17,278245
England,2020-08-16,277107
England,2020-08-15,276579
England,2020-08-14,275935
England,2020-08-13,274898
England,2020-08-12,273880
England,2020-08-11,272784
England,2020-08-10,271573
England,2020-08-09,270221
England,2020-08-08,269664
England,2020-08-07,269028
England,2020-08-06,268162
England,2020-08-05,267183
England,2020-08-04,266242
England,2020-08-03,265323
England,2020-08-02,264385
England,2020-08-01,263873
England,2020-07-31,263380
England,2020-07-30,262756
England,2020-07-29,261901
England,2020-07-28,260929
England,2020-07-27,260148
England,2020-07-26,259338
England,2020-07-25,258823
England,2020-07-24,258331
England,2020-07-23,257619
England,2020-07-22,256886
England,2020-07-21,256136
England,2020-07-20,255446
England,2020-07-19,254692
England,2020-07-18,254279
England,2020-07-17,253812
England,2020-07-16,253265
England,2020-07-15,252626
England,2020-07-14,251902
England,2020-07-13,251249
England,2020-07-12,250561
England,2020-07-11,250208
England,2020-07-10,249789
England,2020-07-09,249270
England,2020-07-08,248589
England,2020-07-07,247915
England,2020-07-06,247356
England,2020-07-05,246700
England,2020-07-04,246161
England,2020-07-03,245778
England,2020-07-02,245243
England,2020-07-01,244685
England,2020-06-30,244081
England,2020-06-29,243511
England,2020-06-28,242846
England,2020-06-27,242435
England,2020-06-26,241932
England,2020-06-25,241288
England,2020-06-24,240650
England,2020-06-23,239922
England,2020-06-22,239193
England,2020-06-21,238381
England,2020-06-20,237830
England,2020-06-19,237204
England,2020-06-18,236393
England,2020-06-17,235448
England,2020-06-16,234537
England,2020-06-15,233543
England,2020-06-14,232601
England,2020-06-13,231856
England,2020-06-12,231072
England,2020-06-11,230134
England,2020-06-10,229218
England,2020-06-09,228137
England,2020-06-08,227078
England,2020-06-07,226091
England,2020-06-06,225428
England,2020-06-05,224706
England,2020-06-04,223687
England,2020-06-03,222537
England,2020-06-02,221292
England,2020-06-01,219940
England,2020-05-31,218627
England,2020-05-30,217640
England,2020-05-29,216642
England,2020-05-28,215270
England,2020-05-27,213697
England,2020-05-26,212085
England,2020-05-25,210630
England,2020-05-24,209250
England,2020-05-23,208051
England,2020-05-22,206749
England,2020-05-21,204953
England,2020-05-20,202677
England,2020-05-19,200330
England,2020-05-18,197740
England,2020-05-17,195526
England,2020-05-16,193938
England,2020-05-15,192164
England,2020-05-14,190032
England,2020-05-13,187821
England,2020-05-12,184939
England,2020-05-11,182017
England,2020-05-10,178950
England,2020-05-09,176940
England,2020-05-08,175148
England,2020-05-07,172528
England,2020-05-06,169326
England,2020-05-05,166059
England,2020-05-04,162919
England,2020-05-03,160078
England,2020-05-02,157448
England,2020-05-01,154700
England,2020-04-30,150610
England,2020-04-29,146298
England,2020-04-28,141567
England,2020-04-27,137450
England,2020-04-26,133422
England,2020-04-25,130288
England,2020-04-24,126914
England,2020-04-23,122563
England,2020-04-22,118003
England,2020-04-21,113197
England,2020-04-20,109218
England,2020-04-19,105536
England,2020-04-18,102058
England,2020-04-17,97941
England,2020-04-16,93873
England,2020-04-15,89521
England,2020-04-14,85304
England,2020-04-13,81764
England,2020-04-12,78327
England,2020-04-11,75384
England,2020-04-10,72321
England,2020-04-09,68742
England,2020-04-08,64685
England,2020-04-07,60387
England,2020-04-06,55821
England,2020-04-05,51450
England,2020-04-04,48370
England,2020-04-03,44996
England,2020-04-02,40916
England,2020-04-01,36843
England,2020-03-31,32718
England,2020-03-30,28935
England,2020-03-29,25415
England,2020-03-28,22974
England,2020-03-27,20606
England,2020-03-26,17951
England,2020-03-25,15343
England,2020-03-24,13087
England,2020-03-23,11056
England,2020-03-22,9039
England,2020-03-21,7833
England,2020-03-20,6800
England,2020-03-19,5719
England,2020-03-18,4791
England,2020-03-17,3884
England,2020-03-16,3204
England,2020-03-15,2659
England,2020-03-14,2263
England,2020-03-13,1948
England,2020-03-12,1555
England,2020-03-11,1141
England,2020-03-10,788
England,2020-03-09,561
England,2020-03-08,436
England,2020-03-07,386
England,2020-03-06,331
England,2020-03-05,258
England,2020-03-04,212
England,2020-03-03,163
England,2020-03-02,109
England,2020-03-01,71
England,2020-02-29,51
England,2020-02-28,46
England,2020-02-27,35
England,2020-02-26,28
England,2020-02-25,24
England,2020-02-24,19
England,2020-02-23,17
England,2020-02-22,16
England,2020-02-21,16
England,2020-02-20,15
England,2020-02-19,15
England,2020-02-18,15
England,2020-02-17,15
England,2020-02-16,15
England,2020-02-15,15
England,2020-02-14,15
England,2020-02-13,15
England,2020-02-12,15
England,2020-02-11,15
England,2020-02-10,14
England,2020-02-09,14
England,2020-02-08,13
England,2020-02-07,8
England,2020-02-06,8
England,2020-02-05,8
England,2020-02-04,7
England,2020-02-03,6
England,2020-02-02,6
England,2020-02-01,5
