Nation,Date,Cumulative deaths per million
England,2021-02-09,1799.804583
England,2021-02-08,1797.530645
England,2021-02-07,1789.500799
England,2021-02-06,1781.59531
England,2021-02-05,1773.014745
England,2021-02-04,1763.084029
England,2021-02-03,1752.76248
England,2021-02-02,1739.989341
England,2021-02-01,1727.269497
England,2021-01-31,1713.572571
England,2021-01-30,1699.893409
England,2021-01-29,1685.87671
England,2021-01-28,1669.426186
England,2021-01-27,1651.803162
England,2021-01-26,1634.126843
England,2021-01-25,1617.356546
England,2021-01-24,1598.561023
England,2021-01-23,1580.405045
England,2021-01-22,1561.804939
England,2021-01-21,1542.121158
England,2021-01-20,1522.06431
England,2021-01-19,1501.545568
England,2021-01-18,1479.587849
England,2021-01-17,1458.926985
England,2021-01-16,1438.319417
England,2021-01-15,1417.694084
England,2021-01-14,1398.241251
England,2021-01-13,1379.037129
England,2021-01-12,1359.584296
England,2021-01-11,1340.273583
England,2021-01-10,1322.472908
England,2021-01-09,1305.187422
England,2021-01-08,1288.754663
England,2021-01-07,1272.99698
England,2021-01-06,1257.310357
England,2021-01-05,1242.742938
England,2021-01-04,1228.139989
England,2021-01-03,1214.7806
England,2021-01-02,1203.286552
England,2021-01-01,1191.490496
England,2020-12-31,1180.120803
England,2020-12-30,1168.644519
England,2020-12-29,1157.559069
England,2020-12-28,1147.255285
England,2020-12-27,1136.827145
England,2020-12-26,1126.754308
England,2020-12-25,1116.663706
England,2020-12-24,1107.159353
England,2020-12-23,1098.507728
England,2020-12-22,1089.927163
England,2020-12-21,1081.275537
England,2020-12-20,1072.481791
England,2020-12-19,1064.878309
England,2020-12-18,1057.594599
England,2020-12-17,1049.866761
England,2020-12-16,1042.121158
England,2020-12-15,1035.796767
England,2020-12-14,1028.939421
England,2020-12-13,1021.620181
England,2020-12-12,1015.118138
England,2020-12-11,1008.473974
England,2020-12-10,1001.421212
England,2020-12-09,994.7415171
England,2020-12-08,988.1328833
England,2020-12-07,981.4887191
England,2020-12-06,975.1820927
England,2020-12-05,968.8754663
England,2020-12-04,962.7464914
England,2020-12-03,955.4272517
England,2020-12-02,948.2678984
England,2020-12-01,942.2810446
England,2020-11-30,936.0632439
England,2020-11-29,929.6677918
England,2020-11-28,922.5617339
England,2020-11-27,915.7754486
England,2020-11-26,909.326701
England,2020-11-25,902.700302
England,2020-11-24,895.2034109
England,2020-11-23,888.0262924
England,2020-11-22,880.9379996
England,2020-11-21,873.7253509
England,2020-11-20,866.6903535
England,2020-11-19,859.8152425
England,2020-11-18,852.7802452
England,2020-11-17,845.0168769
England,2020-11-16,838.5858945
England,2020-11-15,832.2259726
England,2020-11-14,825.4752176
England,2020-11-13,819.1330609
England,2020-11-12,812.8086694
England,2020-11-11,806.5908687
England,2020-11-10,801.0836738
England,2020-11-09,795.4343578
England,2020-11-08,788.2750044
England,2020-11-07,782.2348552
England,2020-11-06,776.3368271
England,2020-11-05,770.3855036
England,2020-11-04,765.0737254
England,2020-11-03,760.1350151
England,2020-11-02,754.9298277
England,2020-11-01,749.937822
England,2020-10-31,744.8569906
England,2020-10-30,739.9538106
England,2020-10-29,734.9795701
England,2020-10-28,730.556049
England,2020-10-27,726.3279446
England,2020-10-26,722.455143
England,2020-10-25,718.5112809
England,2020-10-24,714.8871913
England,2020-10-23,711.8493516
England,2020-10-22,708.5095044
England,2020-10-21,705.2229526
England,2020-10-20,701.8120448
England,2020-10-19,698.774205
England,2020-10-18,695.949547
England,2020-10-17,693.8177296
England,2020-10-16,690.9753064
England,2020-10-15,688.7901936
England,2020-10-14,686.5873157
England,2020-10-13,684.7930361
England,2020-10-12,683.2652336
England,2020-10-11,681.5597797
England,2020-10-10,679.7299698
England,2020-10-09,678.1311068
England,2020-10-08,676.9408421
England,2020-10-07,675.6084562
England,2020-10-06,674.1694795
England,2020-10-05,673.0680405
England,2020-10-04,672.019897
England,2020-10-03,671.0605791
England,2020-10-02,670.0834962
England,2020-10-01,668.9642921
England,2020-09-30,667.969444
England,2020-09-29,667.116717
England,2020-09-28,666.3528158
England,2020-09-27,665.517854
England,2020-09-26,664.7717179
England,2020-09-25,664.1499378
England,2020-09-24,663.6347486
England,2020-09-23,663.0484988
England,2020-09-22,662.1247113
England,2020-09-21,661.5206964
England,2020-09-20,661.0943329
England,2020-09-19,660.614674
England,2020-09-18,660.2949014
England,2020-09-17,659.9218334
England,2020-09-16,659.4954699
England,2020-09-15,659.1046367
England,2020-09-14,658.8381595
England,2020-09-13,658.5361521
England,2020-09-12,658.28744
England,2020-09-11,657.9676674
England,2020-09-10,657.790016
England,2020-09-09,657.5768343
England,2020-09-08,657.4169479
England,2020-09-07,657.2570616
England,2020-09-06,657.0261148
England,2020-09-05,656.8839936
England,2020-09-04,656.6708119
England,2020-09-03,656.564221
England,2020-09-02,656.4576301
England,2020-09-01,656.315509
England,2020-08-31,656.2799787
England,2020-08-30,656.1556227
England,2020-08-29,656.0490318
England,2020-08-28,655.9602061
England,2020-08-27,655.8180849
England,2020-08-26,655.6759638
England,2020-08-25,655.4805472
England,2020-08-24,655.2851306
England,2020-08-23,655.1963048
England,2020-08-22,654.965358
England,2020-08-21,654.8587671
England,2020-08-20,654.7344111
