Year,Value,Detail
1980,1.75,Home/away wins ratio
1981,3.67,
1982,2.4,
1983,2,
1984,0.91,
1985,2.75,
1986,1.29,
1987,1.25,
1988,0.78,
1989,1.25,
1990,7,
1991,2.67,
1992,1.33,
1993,1.3,
1994,1.6,
1995,0.87,
1996,2.8,
1997,1.56,
1998,2.4,
1999,1.9,
2000,1.13,
2001,1.69,
2002,2.31,
2003,1.46,
2004,1.11,
2005,2,
2006,1.62,
2007,3.4,
2008,1.25,
2009,1.89,
2010,1.14,
2011,1.08,
2012,1.67,
2013,10,
2014,2,
2015,1.83,
2016,1.67,
2017,1.86,
2018,1.87,
2019,2.5,
2020,2.17,
2021,0.75,
