date,effect,value
2019,Full-time furlough (DMP),0
Apr-20,Full-time furlough (DMP),37
May-20,Full-time furlough (DMP),37
Jun-20,Full-time furlough (DMP),30
Jul-20,Full-time furlough (DMP),18
Aug-20,Full-time furlough (DMP),12
Sep-20,Full-time furlough (DMP),7
Oct-20,Full-time furlough (DMP),5
Nov-20,Full-time furlough (DMP),11
Dec-20,Full-time furlough (DMP),8
Jan-21,Full-time furlough (DMP),14
Feb-21,Full-time furlough (DMP),15
Mar-21,Full-time furlough (DMP),14
Apr-21,Full-time furlough (DMP),9
May-21,Full-time furlough (DMP),6
Jun-21,Full-time furlough (DMP),3
Jul-21,Full-time furlough (DMP),2
Aug-21,Full-time furlough (DMP),2
Sep-21,Full-time furlough (DMP),1
Oct-21,Full-time furlough (DMP),0
Nov-21,Full-time furlough (DMP),0
Dec-21,Full-time furlough (DMP),0
Jan-22,Full-time furlough (DMP),0
Feb-22,Full-time furlough (DMP),0
2022Q1,Full-time furlough (DMP),0
2022Q2,Full-time furlough (DMP),0
2023+,Full-time furlough (DMP),0
2019,Unable to work,0
Apr-20,Unable to work,4
May-20,Unable to work,2
Jun-20,Unable to work,3
Jul-20,Unable to work,2
Aug-20,Unable to work,2
Sep-20,Unable to work,2
Oct-20,Unable to work,2
Nov-20,Unable to work,2
Dec-20,Unable to work,2
Jan-21,Unable to work,3
Feb-21,Unable to work,2
Mar-21,Unable to work,2
Apr-21,Unable to work,1
May-21,Unable to work,1
Jun-21,Unable to work,1
Jul-21,Unable to work,2
Aug-21,Unable to work,2
Sep-21,Unable to work,2
Oct-21,Unable to work,2
Nov-21,Unable to work,3
Dec-21,Unable to work,4
Jan-22,Unable to work,6
Feb-22,Unable to work,4
2022Q1,Unable to work,4
2022Q2,Unable to work,3
2023+,Unable to work,2
2019,On premises,93
Apr-20,On premises,23
May-20,On premises,26
Jun-20,On premises,33
Jul-20,On premises,46
Aug-20,On premises,54
Sep-20,On premises,63
Oct-20,On premises,59
Nov-20,On premises,53
Dec-20,On premises,55
Jan-21,On premises,42
Feb-21,On premises,44
Mar-21,On premises,47
Apr-21,On premises,54
May-21,On premises,58
Jun-21,On premises,64
Jul-21,On premises,64
Aug-21,On premises,66
Sep-21,On premises,70
Oct-21,On premises,74
Nov-21,On premises,71
Dec-21,On premises,66
Jan-22,On premises,64
Feb-22,On premises,72
2022Q1,On premises,68
2022Q2,On premises,77
2023+,On premises,80
2019,Work from home,7
Apr-20,Work from home,36
May-20,Work from home,35
Jun-20,Work from home,34
Jul-20,Work from home,33
Aug-20,Work from home,32
Sep-20,Work from home,28
Oct-20,Work from home,34
Nov-20,Work from home,34
Dec-20,Work from home,35
Jan-21,Work from home,40
Feb-21,Work from home,38
Mar-21,Work from home,37
Apr-21,Work from home,36
May-21,Work from home,35
Jun-21,Work from home,31
Jul-21,Work from home,32
Aug-21,Work from home,30
Sep-21,Work from home,26
Oct-21,Work from home,24
Nov-21,Work from home,25
Dec-21,Work from home,30
Jan-22,Work from home,30
Feb-22,Work from home,24
2022Q1,Work from home,28
2022Q2,Work from home,20
2023+,Work from home,17
