date,metric,value
2019-05-01,Three-month,99.90
2019-06-01,Three-month,100.00
2019-07-01,Three-month,100.30
2019-08-01,Three-month,100.80
2019-09-01,Three-month,100.70
2019-10-01,Three-month,100.50
2019-11-01,Three-month,100.30
2019-12-01,Three-month,99.80
2020-01-01,Three-month,99.70
2020-02-01,Three-month,99.50
2020-03-01,Three-month,97.70
2020-04-01,Three-month,90.40
2020-05-01,Three-month,86.60
2020-06-01,Three-month,88.40
2020-07-01,Three-month,96.30
2020-08-01,Three-month,101.50
2020-09-01,Three-month,103.90
2020-10-01,Three-month,105.00
2020-11-01,Three-month,104.30
2020-12-01,Three-month,103.30
2021-01-01,Three-month,99.60
2021-02-01,Three-month,97.90
2021-03-01,Three-month,97.30
2021-04-01,Three-month,101.60
2021-05-01,Three-month,105.00
2021-06-01,Three-month,107.60
2021-07-01,Three-month,106.30
2021-08-01,Three-month,105.60
2021-09-01,Three-month,104.40
2021-10-01,Three-month,104.60
2021-11-01,Three-month,104.70
2021-12-01,Three-month,104.40
2022-01-01,Three-month,104.00
2022-02-01,Three-month,103.40
2022-03-01,Three-month,102.90
2022-04-01,Three-month,102.50
2022-05-01,Three-month,102.10
2019-05-01,Month,99.3
2019-06-01,Month,100.40
2019-07-01,Month,101.20
2019-08-01,Month,100.70
2019-09-01,Month,100.30
2019-10-01,Month,100.30
2019-11-01,Month,100.10
2019-12-01,Month,99.00
2020-01-01,Month,100.00
2020-02-01,Month,99.30
2020-03-01,Month,94.10
2020-04-01,Month,76.90
2020-05-01,Month,87.00
2020-06-01,Month,98.60
2020-07-01,Month,102.60
2020-08-01,Month,103.80
2020-09-01,Month,104.90
2020-10-01,Month,106.40
2020-11-01,Month,101.50
2020-12-01,Month,102.20
2021-01-01,Month,94.40
2021-02-01,Month,96.00
2021-03-01,Month,100.50
2021-04-01,Month,108.60
2021-05-01,Month,106.90
2021-06-01,Month,107.40
2021-07-01,Month,104.50
2021-08-01,Month,104.60
2021-09-01,Month,104.20
2021-10-01,Month,105.20
2021-11-01,Month,104.90
2021-12-01,Month,103.50
2022-01-01,Month,103.60
2022-02-01,Month,103.20
2022-03-01,Month,102.00
2022-04-01,Month,102.40
2022-05-01,Month,101.90
