date,value,note
2021-02-01,48.29,gas
2021-02-08,48.95,
2021-02-15,47.16,
2021-02-22,46.17,
2021-03-01,46.42,
2021-03-08,46.65,
2021-03-15,46.76,
2021-03-22,47.72,
2021-03-29,51.05,
2021-04-05,52.55,
2021-04-12,53.99,
2021-04-19,52.37,
2021-04-26,57.1,
2021-05-03,62.48,
2021-05-10,65.91,
2021-05-17,60.86,
2021-05-24,61.75,
2021-05-31,61.45,
2021-06-07,68.47,
2021-06-14,70.83,
2021-06-21,69.28,
2021-06-28,74.37,
2021-07-05,84.32,
2021-07-12,82.43,
2021-07-19,74.47,
2021-07-26,83.26,
2021-08-02,64.39,
2021-08-09,74.48,
2021-08-16,72.14,
2021-08-23,74.25,
2021-08-30,76.34,
2021-09-06,80.25,
2021-09-13,83.53,
2021-09-20,91.13,
2021-09-27,112.39,
2021-10-04,115.03,
2021-10-11,106.87,
2021-10-18,114.79,
2021-10-25,112.52,
2021-11-01,105.66,
2021-11-08,103.79,
2021-11-15,110.76,
2021-11-22,111.68,
2021-11-29,115.75,
2021-12-06,150.25,
2021-12-13,189.87,
2021-12-20,270.12,
2021-12-27,184.57,
2022-01-03,208.42,
2022-01-10,182.89,
2022-01-17,158.11,
2022-01-24,210.29,
2022-01-31,175.96,
2022-02-07,172.34,
2022-02-14,161.13,
2022-02-21,194.11,
2022-02-28,294.5,
2022-03-07,314.52,
2022-03-14,219.95,
2022-03-21,228.58,
2022-03-28,230.68,
2022-04-04,259.1,
2022-04-11,236.71,
2022-04-18,226.32,
2022-04-25,219.46,
2022-05-02,224.21,
2022-05-09,220.78,
2022-05-16,223.17,
2022-05-23,215.44,
2022-05-30,228.53,
2022-06-06,223.81,
2022-06-13,248.15,
2022-06-20,264.64,
2022-06-27,271.45,
2022-07-04,352.22,
2022-07-11,399.12,
2022-07-18,369.12,
2022-07-25,420.86,
