date,metric,value
01/01/2001,Real wages (total),4.2
01/02/2001,Real wages (total),7
01/03/2001,Real wages (total),3.5
01/04/2001,Real wages (total),4.3
01/05/2001,Real wages (total),3.1
01/06/2001,Real wages (total),3.7
01/07/2001,Real wages (total),3.1
01/08/2001,Real wages (total),2.9
01/09/2001,Real wages (total),2.7
01/10/2001,Real wages (total),3.2
01/11/2001,Real wages (total),3
01/12/2001,Real wages (total),2
01/01/2002,Real wages (total),1.9
01/02/2002,Real wages (total),1
01/03/2002,Real wages (total),1.4
01/04/2002,Real wages (total),1.5
01/05/2002,Real wages (total),2.4
01/06/2002,Real wages (total),2.5
01/07/2002,Real wages (total),2.5
01/08/2002,Real wages (total),1.8
01/09/2002,Real wages (total),1.7
01/10/2002,Real wages (total),1.2
01/11/2002,Real wages (total),1.2
01/12/2002,Real wages (total),0.8
01/01/2003,Real wages (total),1
01/02/2003,Real wages (total),0.5
01/03/2003,Real wages (total),2.5
01/04/2003,Real wages (total),1.6
01/05/2003,Real wages (total),1.5
01/06/2003,Real wages (total),1.3
01/07/2003,Real wages (total),1.4
01/08/2003,Real wages (total),1.9
01/09/2003,Real wages (total),2.3
01/10/2003,Real wages (total),2.7
01/11/2003,Real wages (total),2.4
01/12/2003,Real wages (total),2.7
01/01/2004,Real wages (total),2.8
01/02/2004,Real wages (total),2.3
01/03/2004,Real wages (total),2.7
01/04/2004,Real wages (total),3
01/05/2004,Real wages (total),2.8
01/06/2004,Real wages (total),2.8
01/07/2004,Real wages (total),2.9
01/08/2004,Real wages (total),3.1
01/09/2004,Real wages (total),3.1
01/10/2004,Real wages (total),3.2
01/11/2004,Real wages (total),3.1
01/12/2004,Real wages (total),3.1
01/01/2005,Real wages (total),2.9
01/02/2005,Real wages (total),3.8
01/03/2005,Real wages (total),2.4
01/04/2005,Real wages (total),2.1
01/05/2005,Real wages (total),2.5
01/06/2005,Real wages (total),2.3
01/07/2005,Real wages (total),2.4
01/08/2005,Real wages (total),2.7
01/09/2005,Real wages (total),2.2
