date,metric,value
2019 Q4,1st quarterly estimate ,100
2020 Q1,1st quarterly estimate ,97.4
2020 Q2,1st quarterly estimate ,78.4
2020 Q3,1st quarterly estimate ,92.2
2020 Q4,1st quarterly estimate ,93.6
2021 Q1,1st quarterly estimate ,92.5
2021 Q2,1st quarterly estimate ,97.7
2021 Q3,1st quarterly estimate ,98.7
2021 Q4,1st quarterly estimate ,99.6
2019 Q4,1st quarterly estimate ,100
2020 Q1,Quarterly national accounts,97.5
2020 Q2,Quarterly national accounts,78.5
2020 Q3,Quarterly national accounts,92.4
2020 Q4,Quarterly national accounts,93.7
2021 Q1,Quarterly national accounts,92.6
2021 Q2,Quarterly national accounts,97.8
2021 Q3,Quarterly national accounts,98.7
2021 Q4,Quarterly national accounts,99.9
