year,driver,value
2020-01-01,Food/non-alcoholic drinks,0.12
2020-02-01,Food/non-alcoholic drinks,0.1
2020-03-01,Food/non-alcoholic drinks,0.11
2020-04-01,Food/non-alcoholic drinks,0.12
2020-05-01,Food/non-alcoholic drinks,0.15
2020-06-01,Food/non-alcoholic drinks,0.1
2020-07-01,Food/non-alcoholic drinks,0.07
2020-08-01,Food/non-alcoholic drinks,0.04
2020-09-01,Food/non-alcoholic drinks,0
2020-10-01,Food/non-alcoholic drinks,0.05
2020-11-01,Food/non-alcoholic drinks,-0.03
2020-12-01,Food/non-alcoholic drinks,-0.11
2021-01-01,Food/non-alcoholic drinks,-0.05
2021-02-01,Food/non-alcoholic drinks,-0.04
2021-03-01,Food/non-alcoholic drinks,-0.11
2021-04-01,Food/non-alcoholic drinks,-0.03
2021-05-01,Food/non-alcoholic drinks,-0.1
2021-06-01,Food/non-alcoholic drinks,-0.04
2021-07-01,Food/non-alcoholic drinks,-0.04
2021-08-01,Food/non-alcoholic drinks,0.05
2021-09-01,Food/non-alcoholic drinks,0.08
2021-10-01,Food/non-alcoholic drinks,0.12
2021-11-01,Food/non-alcoholic drinks,0.23
2021-12-01,Food/non-alcoholic drinks,0.37
2022-01-01,Food/non-alcoholic drinks,0.39
2020-01-01,Alcohol and tobacco,0.05
2020-02-01,Alcohol and tobacco,0.02
2020-03-01,Alcohol and tobacco,0.05
2020-04-01,Alcohol and tobacco,0.08
2020-05-01,Alcohol and tobacco,0.08
2020-06-01,Alcohol and tobacco,0.07
2020-07-01,Alcohol and tobacco,0.08
2020-08-01,Alcohol and tobacco,0.06
2020-09-01,Alcohol and tobacco,0.07
2020-10-01,Alcohol and tobacco,0.06
2020-11-01,Alcohol and tobacco,0.06
2020-12-01,Alcohol and tobacco,0.11
2021-01-01,Alcohol and tobacco,0.11
2021-02-01,Alcohol and tobacco,0.1
2021-03-01,Alcohol and tobacco,0.08
2021-04-01,Alcohol and tobacco,0.08
2021-05-01,Alcohol and tobacco,0.06
2021-06-01,Alcohol and tobacco,0.09
2021-07-01,Alcohol and tobacco,0.06
2021-08-01,Alcohol and tobacco,0.09
2021-09-01,Alcohol and tobacco,0.1
2021-10-01,Alcohol and tobacco,0.07
2021-11-01,Alcohol and tobacco,0.17
2021-12-01,Alcohol and tobacco,0.14
2022-01-01,Alcohol and tobacco,0.12
2020-01-01,Clothing and footwear,0.02
2020-02-01,Clothing and footwear,0.02
2020-03-01,Clothing and footwear,-0.06
2020-04-01,Clothing and footwear,-0.14
2020-05-01,Clothing and footwear,-0.15
2020-06-01,Clothing and footwear,-0.1
2020-07-01,Clothing and footwear,0.02
2020-08-01,Clothing and footwear,-0.06
2020-09-01,Clothing and footwear,-0.07
2020-10-01,Clothing and footwear,0
2020-11-01,Clothing and footwear,-0.19
2020-12-01,Clothing and footwear,-0.09
2021-01-01,Clothing and footwear,-0.22
2021-02-01,Clothing and footwear,-0.35
2021-03-01,Clothing and footwear,-0.24
2021-04-01,Clothing and footwear,-0.02
2021-05-01,Clothing and footwear,0.11
2021-06-01,Clothing and footwear,0.16
2021-07-01,Clothing and footwear,0.07
2021-08-01,Clothing and footwear,0.06
2021-09-01,Clothing and footwear,0.04
2021-10-01,Clothing and footwear,0.01
2021-11-01,Clothing and footwear,0.22
2021-12-01,Clothing and footwear,0.26
2022-01-01,Clothing and footwear,0.41
2020-01-01,Housing/household services,0.55
2020-02-01,Housing/household services,0.52
2020-03-01,Housing/household services,0.51
2020-04-01,Housing/household services,0.16
2020-05-01,Housing/household services,0.16
2020-06-01,Housing/household services,0.17
2020-07-01,Housing/household services,0.19
2020-08-01,Housing/household services,0.2
2020-09-01,Housing/household services,0.2
2020-10-01,Housing/household services,0.16
2020-11-01,Housing/household services,0.15
2020-12-01,Housing/household services,0.18
2021-01-01,Housing/household services,0.19
2021-02-01,Housing/household services,0.24
2021-03-01,Housing/household services,0.24
2021-04-01,Housing/household services,0.57
2021-05-01,Housing/household services,0.6
2021-06-01,Housing/household services,0.63
2021-07-01,Housing/household services,0.63
2021-08-01,Housing/household services,0.65
2021-09-01,Housing/household services,0.69
2021-10-01,Housing/household services,1.23
2021-11-01,Housing/household services,1.28
2021-12-01,Housing/household services,1.31
2022-01-01,Housing/household services,1.37
2020-01-01,Furniture/household goods,0.03
2020-02-01,Furniture/household goods,0.02
2020-03-01,Furniture/household goods,0.01
2020-04-01,Furniture/household goods,0
2020-05-01,Furniture/household goods,-0.02
2020-06-01,Furniture/household goods,-0.02
2020-07-01,Furniture/household goods,0.06
2020-08-01,Furniture/household goods,0.03
2020-09-01,Furniture/household goods,-0.02
2020-10-01,Furniture/household goods,0.02
2020-11-01,Furniture/household goods,0
2020-12-01,Furniture/household goods,-0.03
2021-01-01,Furniture/household goods,0.05
2021-02-01,Furniture/household goods,0.04
2021-03-01,Furniture/household goods,0.08
2021-04-01,Furniture/household goods,0.14
2021-05-01,Furniture/household goods,0.14
2021-06-01,Furniture/household goods,0.17
2021-07-01,Furniture/household goods,0.15
2021-08-01,Furniture/household goods,0.19
2021-09-01,Furniture/household goods,0.23
2021-10-01,Furniture/household goods,0.28
2021-11-01,Furniture/household goods,0.31
2021-12-01,Furniture/household goods,0.37
2022-01-01,Furniture/household goods,0.41
2020-01-01,Transport,0.22
2020-02-01,Transport,0.23
2020-03-01,Transport,0.16
2020-04-01,Transport,-0.11
2020-05-01,Transport,-0.2
2020-06-01,Transport,-0.18
2020-07-01,Transport,-0.08
2020-08-01,Transport,-0.1
2020-09-01,Transport,0.12
2020-10-01,Transport,0.16
2020-11-01,Transport,0.12
2020-12-01,Transport,0.23
2021-01-01,Transport,0.27
2021-02-01,Transport,0.3
2021-03-01,Transport,0.44
2021-04-01,Transport,0.56
2021-05-01,Transport,0.72
2021-06-01,Transport,0.8
2021-07-01,Transport,0.85
2021-08-01,Transport,0.87
2021-09-01,Transport,0.91
2021-10-01,Transport,1.08
2021-11-01,Transport,1.34
2021-12-01,Transport,1.29
2022-01-01,Transport,1.24
2020-01-01,Recreation and culture,0.18
2020-02-01,Recreation and culture,0.18
2020-03-01,Recreation and culture,0.16
2020-04-01,Recreation and culture,0.31
2020-05-01,Recreation and culture,0.23
2020-06-01,Recreation and culture,0.32
2020-07-01,Recreation and culture,0.33
2020-08-01,Recreation and culture,0.35
2020-09-01,Recreation and culture,0.31
2020-10-01,Recreation and culture,0.26
2020-11-01,Recreation and culture,0.24
2020-12-01,Recreation and culture,0.35
2021-01-01,Recreation and culture,0.35
2021-02-01,Recreation and culture,0.29
2021-03-01,Recreation and culture,0.3
2021-04-01,Recreation and culture,0.12
2021-05-01,Recreation and culture,0.26
2021-06-01,Recreation and culture,0.27
2021-07-01,Recreation and culture,0.09
2021-08-01,Recreation and culture,0.28
2021-09-01,Recreation and culture,0.31
2021-10-01,Recreation and culture,0.29
2021-11-01,Recreation and culture,0.38
2021-12-01,Recreation and culture,0.34
2022-01-01,Recreation and culture,0.32
2020-01-01,Restaurants and hotels,0.21
2020-02-01,Restaurants and hotels,0.25
2020-03-01,Restaurants and hotels,0.21
2020-04-01,Restaurants and hotels,0.23
2020-05-01,Restaurants and hotels,0.2
2020-06-01,Restaurants and hotels,0.17
2020-07-01,Restaurants and hotels,0.17
2020-08-01,Restaurants and hotels,-0.27
2020-09-01,Restaurants and hotels,-0.07
2020-10-01,Restaurants and hotels,-0.05
2020-11-01,Restaurants and hotels,0.04
