Location,Date,New cases per million
Africa,2020-03-01,0
Africa,2020-03-02,0.001
Africa,2020-03-03,0.001
Africa,2020-03-04,0.002
Africa,2020-03-05,0.002
Africa,2020-03-06,0.004
Africa,2020-03-07,0.004
Africa,2020-03-08,0.008
Africa,2020-03-09,0.009
Africa,2020-03-10,0.01
Africa,2020-03-11,0.01
Africa,2020-03-12,0.012
Africa,2020-03-13,0.014
Africa,2020-03-14,0.022
Africa,2020-03-15,0.025
Africa,2020-03-16,0.033
Africa,2020-03-17,0.04
Africa,2020-03-18,0.051
Africa,2020-03-19,0.069
Africa,2020-03-20,0.084
Africa,2020-03-21,0.098
Africa,2020-03-22,0.12
Africa,2020-03-23,0.151
Africa,2020-03-24,0.188
Africa,2020-03-25,0.232
Africa,2020-03-26,0.271
Africa,2020-03-27,0.311
Africa,2020-03-28,0.325
Africa,2020-03-29,0.357
Africa,2020-03-30,0.36
Africa,2020-03-31,0.376
Africa,2020-04-01,0.384
Africa,2020-04-02,0.395
Africa,2020-04-03,0.429
Africa,2020-04-04,0.465
Africa,2020-04-05,0.481
Africa,2020-04-06,0.512
Africa,2020-04-07,0.517
Africa,2020-04-08,0.539
Africa,2020-04-09,0.556
Africa,2020-04-10,0.533
Africa,2020-04-11,0.537
Africa,2020-04-12,0.553
Africa,2020-04-13,0.561
Africa,2020-04-14,0.597
Africa,2020-04-15,0.613
Africa,2020-04-16,0.651
Africa,2020-04-17,0.73
Africa,2020-04-18,0.793
Africa,2020-04-19,0.83
Africa,2020-04-20,0.871
Africa,2020-04-21,0.882
Africa,2020-04-22,0.929
Africa,2020-04-23,0.958
Africa,2020-04-24,0.991
Africa,2020-04-25,0.983
Africa,2020-04-26,1.018
Africa,2020-04-27,1.037
Africa,2020-04-28,1.096
Africa,2020-04-29,1.161
Africa,2020-04-30,1.215
Africa,2020-05-01,1.216
Africa,2020-05-02,1.322
Africa,2020-05-03,1.329
Africa,2020-05-04,1.47
Africa,2020-05-05,1.514
Africa,2020-05-06,1.57
Africa,2020-05-07,1.628
Africa,2020-05-08,1.831
Africa,2020-05-09,1.897
Africa,2020-05-10,2.002
Africa,2020-05-11,2.045
Africa,2020-05-12,2.165
Africa,2020-05-13,2.204
Africa,2020-05-14,2.271
Africa,2020-05-15,2.197
Africa,2020-05-16,2.213
Africa,2020-05-17,2.292
Africa,2020-05-18,2.356
Africa,2020-05-19,2.34
Africa,2020-05-20,2.433
Africa,2020-05-21,2.601
Africa,2020-05-22,2.702
Africa,2020-05-23,2.793
Africa,2020-05-24,2.88
Africa,2020-05-25,2.928
Africa,2020-05-26,3.002
Africa,2020-05-27,3.14
Africa,2020-05-28,3.164
Africa,2020-05-29,3.363
Africa,2020-05-30,3.604
Africa,2020-05-31,3.723
Africa,2020-06-01,3.901
Africa,2020-06-02,4.026
Africa,2020-06-03,4.027
Africa,2020-06-04,4.26
Africa,2020-06-05,4.415
Africa,2020-06-06,4.465
Africa,2020-06-07,4.581
Africa,2020-06-08,4.673
Africa,2020-06-09,4.842
Africa,2020-06-10,4.998
Africa,2020-06-11,5.029
Africa,2020-06-12,5.123
Africa,2020-06-13,5.284
Africa,2020-06-14,5.543
Africa,2020-06-15,5.859
Africa,2020-06-16,5.981
Africa,2020-06-17,6.214
Africa,2020-06-18,6.305
Africa,2020-06-19,6.491
Africa,2020-06-20,6.835
Africa,2020-06-21,6.907
Africa,2020-06-22,6.84
Africa,2020-06-23,6.993
Africa,2020-06-24,7.273
Africa,2020-06-25,7.667
Africa,2020-06-26,7.853
Africa,2020-06-27,7.955
Africa,2020-06-28,8.083
Africa,2020-06-29,8.303
Africa,2020-06-30,8.576
Africa,2020-07-01,8.775
Africa,2020-07-02,9.014
Africa,2020-07-03,9.396
Africa,2020-07-04,9.739
Africa,2020-07-05,10.058
Africa,2020-07-06,10.343
Africa,2020-07-07,10.967
Africa,2020-07-08,11.127
Africa,2020-07-09,11.662
Africa,2020-07-10,11.93
Africa,2020-07-11,12.283
Africa,2020-07-12,12.608
Africa,2020-07-13,12.859
Africa,2020-07-14,12.535
Africa,2020-07-15,12.89
Africa,2020-07-16,13.021
Africa,2020-07-17,13.219
Africa,2020-07-18,13.24
Africa,2020-07-19,13.438
Africa,2020-07-20,13.38
Africa,2020-07-21,13.319
Africa,2020-07-22,13.486
Africa,2020-07-23,13.275
Africa,2020-07-24,13.549
Africa,2020-07-25,13.457
Africa,2020-07-26,13.432
Africa,2020-07-27,13.208
Africa,2020-07-28,13.169
Africa,2020-07-29,12.959
Africa,2020-07-30,12.846
Africa,2020-07-31,12.515
Africa,2020-08-01,12.384
Africa,2020-08-02,11.791
Africa,2020-08-03,11.517
Africa,2020-08-04,11.135
Africa,2020-08-05,10.893
Africa,2020-08-06,10.565
Africa,2020-08-07,9.978
Africa,2020-08-08,9.689
Africa,2020-08-09,9.647
Africa,2020-08-10,9.463
Africa,2020-08-11,9.247
Africa,2020-08-12,8.595
Africa,2020-08-13,8.176
Africa,2020-08-14,8.075
Africa,2020-08-15,7.82
Africa,2020-08-16,7.564
Africa,2020-08-17,7.536
Africa,2020-08-18,7.616
Africa,2020-08-19,7.791
Africa,2020-08-20,7.814
Africa,2020-08-21,7.572
Africa,2020-08-22,7.424
Africa,2020-08-23,7.328
Africa,2020-08-24,7.184
Africa,2020-08-25,7.067
Africa,2020-08-26,6.85
Africa,2020-08-27,6.631
Africa,2020-08-28,6.401
Africa,2020-08-29,6.181
Africa,2020-08-30,6.117
Africa,2020-08-31,6.041
Africa,2020-09-01,6
Africa,2020-09-02,5.985
Africa,2020-09-03,5.899
Africa,2020-09-04,5.949
Africa,2020-09-05,5.845
Africa,2020-09-06,5.777
Africa,2020-09-07,5.785
Africa,2020-09-08,5.841
Africa,2020-09-09,5.796
Africa,2020-09-10,5.828
Africa,2020-09-11,5.84
Africa,2020-09-12,5.842
Africa,2020-09-13,5.728
Africa,2020-09-14,5.686
Africa,2020-09-15,5.567
Africa,2020-09-16,5.462
Africa,2020-09-17,5.521
Africa,2020-09-18,5.465
Africa,2020-09-19,5.605
Africa,2020-09-20,5.783
Africa,2020-09-21,5.748
Africa,2020-09-22,5.777
Africa,2020-09-23,5.928
Africa,2020-09-24,5.883
Africa,2020-09-25,5.863
Africa,2020-09-26,5.616
Africa,2020-09-27,5.611
Africa,2020-09-28,5.56
Africa,2020-09-29,5.631
Africa,2020-09-30,5.6
Africa,2020-10-01,5.502
Africa,2020-10-02,5.595
Africa,2020-10-03,5.853
Africa,2020-10-04,5.823
Africa,2020-10-05,5.721
Africa,2020-10-06,5.624
Africa,2020-10-07,5.849
Africa,2020-10-08,6.238
Africa,2020-10-09,6.206
Africa,2020-10-10,6.707
Africa,2020-10-11,6.802
Africa,2020-10-12,6.927
Africa,2020-10-13,7.058
Africa,2020-10-14,7.161
Africa,2020-10-15,6.97
Africa,2020-10-16,7.197
Africa,2020-10-17,7.275
Africa,2020-10-18,7.191
Africa,2020-10-19,7.597
Africa,2020-10-20,7.803
Africa,2020-10-21,7.694
Africa,2020-10-22,7.891
Africa,2020-10-23,7.865
Africa,2020-10-24,7.596
Africa,2020-10-25,7.692
Africa,2020-10-26,7.801
Africa,2020-10-27,7.681
Africa,2020-10-28,7.833
Africa,2020-10-29,7.844
Africa,2020-10-30,8.181
Africa,2020-10-31,8.11
Africa,2020-11-01,8.238
Africa,2020-11-02,7.904
Africa,2020-11-03,8.141
Africa,2020-11-04,8.365
Africa,2020-11-05,8.826
Africa,2020-11-06,8.626
Africa,2020-11-07,9.046
Africa,2020-11-08,9.281
Africa,2020-11-09,9.419
Africa,2020-11-10,9.664
Africa,2020-11-11,9.664
Africa,2020-11-12,9.705
Africa,2020-11-13,10.021
Africa,2020-11-14,9.92
Africa,2020-11-15,9.928
Africa,2020-11-16,10.078
Africa,2020-11-17,10.046
Africa,2020-11-18,10.184
Africa,2020-11-19,9.988
Africa,2020-11-20,10.1
Africa,2020-11-21,10.024
Africa,2020-11-22,10.046
Africa,2020-11-23,10.022
Africa,2020-11-24,9.983
Africa,2020-11-25,9.916
Africa,2020-11-26,9.914
Africa,2020-11-27,9.947
Africa,2020-11-28,9.951
Africa,2020-11-29,9.982
Africa,2020-11-30,10.011
Africa,2020-12-01,9.834
Africa,2020-12-02,10.02
Africa,2020-12-03,10.21
Africa,2020-12-04,10.417
Africa,2020-12-05,10.556
Africa,2020-12-06,10.598
Africa,2020-12-07,10.627
Africa,2020-12-08,10.885
Africa,2020-12-09,11.203
Africa,2020-12-10,11.569
Africa,2020-12-11,11.686
Africa,2020-12-12,12.051
Africa,2020-12-13,12.345
Africa,2020-12-14,12.419
Africa,2020-12-15,12.925
Africa,2020-12-16,13.119
Africa,2020-12-17,13.266
Africa,2020-12-18,13.291
Africa,2020-12-19,13.625
Africa,2020-12-20,13.859
Africa,2020-12-21,14.442
Africa,2020-12-22,14.653
Africa,2020-12-23,15.133
Africa,2020-12-24,15.829
Africa,2020-12-25,16.518
Africa,2020-12-26,16.531
Africa,2020-12-27,16.558
Africa,2020-12-28,16.39
Africa,2020-12-29,16.406
Africa,2020-12-30,16.926
Africa,2020-12-31,17.219
Africa,2021-01-01,17.424
Africa,2021-01-02,17.588
Africa,2021-01-03,17.941
Africa,2021-01-04,18.642
Africa,2021-01-05,19.358
Africa,2021-01-06,19.91
Africa,2021-01-07,20.508
Africa,2021-01-08,21.442
Africa,2021-01-09,22.74
Africa,2021-01-10,23.765
Africa,2021-01-11,24.43
Africa,2021-01-12,24.353
Asia,2020-03-01,0.224
Asia,2020-03-02,0.252
Asia,2020-03-03,0.287
Asia,2020-03-04,0.3
Asia,2020-03-05,0.306
Asia,2020-03-06,0.335
Asia,2020-03-07,0.343
Asia,2020-03-08,0.331
Asia,2020-03-09,0.317
Asia,2020-03-10,0.296
Asia,2020-03-11,0.311
Asia,2020-03-12,0.313
Asia,2020-03-13,0.307
Asia,2020-03-14,0.311
Asia,2020-03-15,0.334
Asia,2020-03-16,0.359
Asia,2020-03-17,0.384
Asia,2020-03-18,0.397
Asia,2020-03-19,0.421
Asia,2020-03-20,0.448
Asia,2020-03-21,0.468
Asia,2020-03-22,0.508
Asia,2020-03-23,0.549
Asia,2020-03-24,0.599
Asia,2020-03-25,0.7
Asia,2020-03-26,0.81
Asia,2020-03-27,0.946
Asia,2020-03-28,1.089
Asia,2020-03-29,1.212
Asia,2020-03-30,1.341
Asia,2020-03-31,1.506
Asia,2020-04-01,1.604
Asia,2020-04-02,1.709
Asia,2020-04-03,1.759
Asia,2020-04-04,1.814
Asia,2020-04-05,1.897
Asia,2020-04-06,1.981
Asia,2020-04-07,1.999
Asia,2020-04-08,2.04
Asia,2020-04-09,2.073
Asia,2020-04-10,2.146
Asia,2020-04-11,2.239
Asia,2020-04-12,2.292
Asia,2020-04-13,2.34
Asia,2020-04-14,2.399
Asia,2020-04-15,2.444
Asia,2020-04-16,2.51
Asia,2020-04-17,2.561
Asia,2020-04-18,2.565
Asia,2020-04-19,2.584
Asia,2020-04-20,2.66
Asia,2020-04-21,2.727
Asia,2020-04-22,2.753
Asia,2020-04-23,2.765
Asia,2020-04-24,2.773
Asia,2020-04-25,2.769
Asia,2020-04-26,2.746
Asia,2020-04-27,2.656
Asia,2020-04-28,2.602
Asia,2020-04-29,2.624
Asia,2020-04-30,2.634
Asia,2020-05-01,2.638
Asia,2020-05-02,2.64
Asia,2020-05-03,2.676
Asia,2020-05-04,2.774
Asia,2020-05-05,2.875
Asia,2020-05-06,2.952
Asia,2020-05-07,3.031
