date,age,value
2019-10-01,16-24 years,0
2019-11-01,16-24 years,-27.717
2019-12-01,16-24 years,-87.531
2020-01-01,16-24 years,-101.820
2020-02-01,16-24 years,-85.280
2020-03-01,16-24 years,-63.053
2020-04-01,16-24 years,-79.534
2020-05-01,16-24 years,-17.989
2020-06-01,16-24 years,59.056
2020-07-01,16-24 years,110.462
2020-08-01,16-24 years,102.588
2020-09-01,16-24 years,113.341
2020-10-01,16-24 years,85.021
2020-11-01,16-24 years,118.793
2020-12-01,16-24 years,162.386
2021-01-01,16-24 years,188.867
2021-02-01,16-24 years,201.414
2021-03-01,16-24 years,201.044
2021-04-01,16-24 years,159.258
2021-05-01,16-24 years,106.988
2021-06-01,16-24 years,76.628
2021-07-01,16-24 years,66.966
2021-08-01,16-24 years,69.907
2021-09-01,16-24 years,73.581
2021-10-01,16-24 years,48.715
2019-10-01,25-34 years,0
2019-11-01,25-34 years,14.015
2019-12-01,25-34 years,3.492
2020-01-01,25-34 years,-17.279
2020-02-01,25-34 years,-12.146
2020-03-01,25-34 years,15.111
2020-04-01,25-34 years,2.672
2020-05-01,25-34 years,-8.813
2020-06-01,25-34 years,-59.259
2020-07-01,25-34 years,-51.852
2020-08-01,25-34 years,-65.114
2020-09-01,25-34 years,-58.983
2020-10-01,25-34 years,-48.879
2020-11-01,25-34 years,-30.292
2020-12-01,25-34 years,-27.559
2021-01-01,25-34 years,-48.915
2021-02-01,25-34 years,-20.905
2021-03-01,25-34 years,-31.867
2021-04-01,25-34 years,-5.320
2021-05-01,25-34 years,-25.037
2021-06-01,25-34 years,-15.180
2021-07-01,25-34 years,19.753
2021-08-01,25-34 years,5.308
2021-09-01,25-34 years,8.953
2021-10-01,25-34 years,29.225
2019-10-01,35-49 years,0
2019-11-01,35-49 years,-12.413
2019-12-01,35-49 years,7.682
2020-01-01,35-49 years,-9.745
2020-02-01,35-49 years,25.647
2020-03-01,35-49 years,57.293
2020-04-01,35-49 years,68.938
2020-05-01,35-49 years,70.298
2020-06-01,35-49 years,58.061
2020-07-01,35-49 years,60.168
2020-08-01,35-49 years,67.321
2020-09-01,35-49 years,18.209
2020-10-01,35-49 years,13.826
2020-11-01,35-49 years,20.925
2020-12-01,35-49 years,18.759
2021-01-01,35-49 years,-21.348
2021-02-01,35-49 years,-2.852
2021-03-01,35-49 years,-23.226
2021-04-01,35-49 years,-35.735
2021-05-01,35-49 years,-32.965
2021-06-01,35-49 years,-44.718
2021-07-01,35-49 years,-69.797
2021-08-01,35-49 years,-66.446
2021-09-01,35-49 years,-53.121
2021-10-01,35-49 years,-36.300
2019-10-01,50-64 years,0
2019-11-01,50-64 years,-1.842
2019-12-01,50-64 years,1.526
2020-01-01,50-64 years,-6.925
2020-02-01,50-64 years,28.109
2020-03-01,50-64 years,74.888
2020-04-01,50-64 years,111.748
2020-05-01,50-64 years,95.692
2020-06-01,50-64 years,72.741
2020-07-01,50-64 years,40.575
2020-08-01,50-64 years,94.134
2020-09-01,50-64 years,91.590
2020-10-01,50-64 years,92.155
2020-11-01,50-64 years,113.151
2020-12-01,50-64 years,121.210
2021-01-01,50-64 years,144.570
2021-02-01,50-64 years,139.846
2021-03-01,50-64 years,179.965
2021-04-01,50-64 years,182.726
2021-05-01,50-64 years,172.407
2021-06-01,50-64 years,188.600
2021-07-01,50-64 years,192.814
2021-08-01,50-64 years,218.969
2021-09-01,50-64 years,211.341
2021-10-01,50-64 years,233.763
