Time,Country,Type,Value,Value = cumulative installed capacity at the end of the year in MW,,,,,,
2008,England,Wind,1091,,,,,,,
2009,England,Wind,1447,,,,,,,
2010,England,Wind,1861,,,,,,,
2011,England,Wind,2520.78,,,,,,,
2012,England,Wind,3971.5,,,,,,,
2013,England,Wind,5152.83,,,,,,,
2014,England,Wind,5914.1,,,,,,,
2015,England,Wind,6618.97,,,,,,,
2016,England,Wind,7206.57,,,,,,,
2017,England,Wind,9080.83,,,,,,,
2018,England,Wind,9932.78,,,,,,,
2019,England,Wind,11338.31646,,,,,,,
2020,England,Wind,11845.37246,,,,,,,
2008,England,Solar,1,,,,,,,
2009,England,Solar,1,,,,,,,
2010,England,Solar,89,,,,,,,
2011,England,Solar,887.81,,,,,,,
2012,England,Solar,1540.25,,,,,,,
2013,England,Solar,2622.41,,,,,,,
2014,England,Solar,4908.63,,,,,,,
2015,England,Solar,8548.54,,,,,,,
2016,England,Solar,10500.94,,,,,,,
2017,England,Solar,11110.2,,,,,,,
2018,England,Solar,11286.95,,,,,,,
2019,England,Solar,11433.45394,,,,,,,
2020,England,Solar,11628.30242,,,,,,,
2008,England,Hydro,25,,,,,,,
2009,England,Hydro,25,,,,,,,
2010,England,Hydro,26,,,,,,,
2011,England,Hydro,29.5,,,,,,,
2012,England,Hydro,31.37,,,,,,,
2013,England,Hydro,32.2,,,,,,,
2014,England,Hydro,33.48,,,,,,,
2015,England,Hydro,35.37,,,,,,,
2016,England,Hydro,35.13,,,,,,,
2017,England,Hydro,42.37,,,,,,,
2018,England,Hydro,43.87,,,,,,,
2019,England,Hydro,43.74841,,,,,,,
2020,England,Hydro,44.50241,,,,,,,
2008,Northern Ireland,Wind,214,,,,,,,
2009,Northern Ireland,Wind,299,,,,,,,
2010,Northern Ireland,Wind,320,,,,,,,
2011,Northern Ireland,Wind,409.13,,,,,,,
2012,Northern Ireland,Wind,460.25,,,,,,,
2013,Northern Ireland,Wind,581.08,,,,,,,
2014,Northern Ireland,Wind,697.37,,,,,,,
