Date,Value,Measure
01/09/2007,3.3,Median pay settlements
01/10/2007,3.4,Median pay settlements
01/11/2007,3.4,Median pay settlements
01/12/2007,3.5,Median pay settlements
01/01/2008,3.5,Median pay settlements
01/02/2008,3.5,Median pay settlements
01/03/2008,3.5,Median pay settlements
01/04/2008,3.5,Median pay settlements
01/05/2008,3.5,Median pay settlements
01/06/2008,3.5,Median pay settlements
01/07/2008,3.7,Median pay settlements
01/08/2008,3.7,Median pay settlements
01/09/2008,3.6,Median pay settlements
01/10/2008,3.5,Median pay settlements
01/11/2008,3.6,Median pay settlements
01/12/2008,3,Median pay settlements
01/01/2009,3,Median pay settlements
01/02/2009,3,Median pay settlements
01/03/2009,1.68,Median pay settlements
01/04/2009,1.6,Median pay settlements
01/05/2009,1.5,Median pay settlements
01/06/2009,1,Median pay settlements
01/07/2009,1.3,Median pay settlements
01/08/2009,1.77,Median pay settlements
01/09/2009,1.99,Median pay settlements
01/10/2009,1.6,Median pay settlements
01/11/2009,1.5,Median pay settlements
01/12/2009,1.86,Median pay settlements
01/01/2010,1.8,Median pay settlements
01/02/2010,1.89,Median pay settlements
01/03/2010,2,Median pay settlements
01/04/2010,2,Median pay settlements
01/05/2010,2,Median pay settlements
01/06/2010,2,Median pay settlements
01/07/2010,2,Median pay settlements
01/08/2010,2,Median pay settlements
01/09/2010,2,Median pay settlements
01/10/2010,2.1,Median pay settlements
01/11/2010,2.18,Median pay settlements
01/12/2010,2.66,Median pay settlements
01/01/2011,2.5,Median pay settlements
01/02/2011,2.7,Median pay settlements
01/03/2011,2.5,Median pay settlements
01/04/2011,2.5,Median pay settlements
01/05/2011,2.5,Median pay settlements
01/06/2011,2.5,Median pay settlements
01/07/2011,2,Median pay settlements
01/08/2011,2,Median pay settlements
01/09/2011,2.1,Median pay settlements
01/10/2011,2.5,Median pay settlements
01/11/2011,2.5,Median pay settlements
01/12/2011,3,Median pay settlements
01/01/2012,3,Median pay settlements
01/02/2012,3,Median pay settlements
01/03/2012,2.5,Median pay settlements
01/04/2012,2.5,Median pay settlements
01/05/2012,2.5,Median pay settlements
01/06/2012,2.5,Median pay settlements
01/07/2012,2,Median pay settlements
01/08/2012,2,Median pay settlements
01/09/2012,2,Median pay settlements
01/10/2012,2,Median pay settlements
01/11/2012,2,Median pay settlements
01/12/2012,2.5,Median pay settlements
01/01/2013,2.5,Median pay settlements
01/02/2013,2.5,Median pay settlements
01/03/2013,2.5,Median pay settlements
01/04/2013,2.5,Median pay settlements
01/05/2013,2.5,Median pay settlements
01/06/2013,2.3,Median pay settlements
01/07/2013,2,Median pay settlements
01/08/2013,2,Median pay settlements
01/09/2013,2,Median pay settlements
01/10/2013,2,Median pay settlements
01/11/2013,2,Median pay settlements
01/12/2013,2.5,Median pay settlements
01/01/2014,2.5,Median pay settlements
01/02/2014,2.5,Median pay settlements
01/03/2014,2.5,Median pay settlements
01/04/2014,2.5,Median pay settlements
01/05/2014,2.5,Median pay settlements
01/06/2014,2.5,Median pay settlements
01/07/2014,2.5,Median pay settlements
01/08/2014,2.5,Median pay settlements
01/09/2014,2,Median pay settlements
01/10/2014,2,Median pay settlements
01/11/2014,2,Median pay settlements
01/12/2014,2.3,Median pay settlements
01/01/2015,2.3,Median pay settlements
01/02/2015,2.3,Median pay settlements
01/03/2015,2.3,Median pay settlements
01/04/2015,2.3,Median pay settlements
01/05/2015,2.3,Median pay settlements
01/06/2015,2,Median pay settlements
01/07/2015,2,Median pay settlements
01/08/2015,2,Median pay settlements
01/09/2015,2,Median pay settlements
01/10/2015,2.5,Median pay settlements
01/11/2015,2.5,Median pay settlements
01/12/2015,2,Median pay settlements
01/01/2016,2,Median pay settlements
01/02/2016,2,Median pay settlements
01/03/2016,2,Median pay settlements
01/04/2016,2,Median pay settlements
01/05/2016,2,Median pay settlements
01/06/2016,2,Median pay settlements
01/07/2016,2,Median pay settlements
01/08/2016,2,Median pay settlements
01/09/2016,2,Median pay settlements
01/10/2016,2,Median pay settlements
01/11/2016,2,Median pay settlements
01/12/2016,2,Median pay settlements
01/01/2017,2,Median pay settlements
01/02/2017,2,Median pay settlements
01/03/2017,2,Median pay settlements
01/04/2017,2,Median pay settlements
01/05/2017,2,Median pay settlements
01/06/2017,2.2,Median pay settlements
01/07/2017,2,Median pay settlements
01/08/2017,2,Median pay settlements
01/09/2017,2,Median pay settlements
01/10/2017,2.1,Median pay settlements
01/11/2017,2.5,Median pay settlements
01/12/2017,2.5,Median pay settlements
01/01/2018,2.5,Median pay settlements
01/02/2018,2.5,Median pay settlements
01/03/2018,2.5,Median pay settlements
01/04/2018,2.5,Median pay settlements
01/05/2018,2.5,Median pay settlements
01/06/2018,2.5,Median pay settlements
01/07/2018,2.5,Median pay settlements
01/08/2018,2.5,Median pay settlements
01/09/2018,2.5,Median pay settlements
01/10/2018,2.5,Median pay settlements
01/11/2018,2.5,Median pay settlements
01/12/2018,2.5,Median pay settlements
01/01/2019,2.5,Median pay settlements
01/02/2019,2.7,Median pay settlements
01/03/2019,2.5,Median pay settlements
01/04/2019,2.5,Median pay settlements
01/05/2019,2.5,Median pay settlements
01/06/2019,2.5,Median pay settlements
01/07/2019,2.5,Median pay settlements
01/08/2019,2.5,Median pay settlements
01/09/2019,2.5,Median pay settlements
01/10/2019,2.5,Median pay settlements
01/11/2019,2.2,Median pay settlements
01/12/2019,2.4,Median pay settlements
01/09/2007,4.4,Regular pay (annual growth)
01/10/2007,4.2,Regular pay (annual growth)
01/11/2007,4,Regular pay (annual growth)
01/12/2007,4.1,Regular pay (annual growth)
01/01/2008,4.1,Regular pay (annual growth)
01/02/2008,4.2,Regular pay (annual growth)
01/03/2008,4.4,Regular pay (annual growth)
01/04/2008,4.2,Regular pay (annual growth)
01/05/2008,4,Regular pay (annual growth)
01/06/2008,3.6,Regular pay (annual growth)
01/07/2008,3.4,Regular pay (annual growth)
01/08/2008,3.3,Regular pay (annual growth)
01/09/2008,3.4,Regular pay (annual growth)
01/10/2008,3.4,Regular pay (annual growth)
01/11/2008,3.3,Regular pay (annual growth)
01/12/2008,3.1,Regular pay (annual growth)
01/01/2009,2.9,Regular pay (annual growth)
01/02/2009,2.5,Regular pay (annual growth)
01/03/2009,2.2,Regular pay (annual growth)
01/04/2009,2,Regular pay (annual growth)
01/05/2009,2,Regular pay (annual growth)
01/06/2009,1.9,Regular pay (annual growth)
01/07/2009,1.6,Regular pay (annual growth)
01/08/2009,1.4,Regular pay (annual growth)
01/09/2009,1.2,Regular pay (annual growth)
01/10/2009,1.1,Regular pay (annual growth)
01/11/2009,1.1,Regular pay (annual growth)
01/12/2009,1.4,Regular pay (annual growth)
01/01/2010,1.6,Regular pay (annual growth)
01/02/2010,1.8,Regular pay (annual growth)
01/03/2010,1.7,Regular pay (annual growth)
01/04/2010,1.6,Regular pay (annual growth)
01/05/2010,1.3,Regular pay (annual growth)
01/06/2010,1.6,Regular pay (annual growth)
01/07/2010,2,Regular pay (annual growth)
01/08/2010,2.2,Regular pay (annual growth)
01/09/2010,2.2,Regular pay (annual growth)
01/10/2010,2.3,Regular pay (annual growth)
01/11/2010,2.2,Regular pay (annual growth)
01/12/2010,2.2,Regular pay (annual growth)
01/01/2011,2.1,Regular pay (annual growth)
01/02/2011,2,Regular pay (annual growth)
01/03/2011,2,Regular pay (annual growth)
01/04/2011,2,Regular pay (annual growth)
01/05/2011,2.1,Regular pay (annual growth)
01/06/2011,2,Regular pay (annual growth)
01/07/2011,1.7,Regular pay (annual growth)
01/08/2011,1.6,Regular pay (annual growth)
01/09/2011,1.7,Regular pay (annual growth)
01/10/2011,1.8,Regular pay (annual growth)
01/11/2011,1.9,Regular pay (annual growth)
01/12/2011,1.6,Regular pay (annual growth)
01/01/2012,1.5,Regular pay (annual growth)
01/02/2012,1.5,Regular pay (annual growth)
01/03/2012,1.7,Regular pay (annual growth)
01/04/2012,1.7,Regular pay (annual growth)
01/05/2012,1.8,Regular pay (annual growth)
01/06/2012,1.8,Regular pay (annual growth)
01/07/2012,2,Regular pay (annual growth)
01/08/2012,1.8,Regular pay (annual growth)
01/09/2012,1.6,Regular pay (annual growth)
01/10/2012,1.4,Regular pay (annual growth)
01/11/2012,1.3,Regular pay (annual growth)
01/12/2012,1.2,Regular pay (annual growth)
01/01/2013,1,Regular pay (annual growth)
01/02/2013,0.8,Regular pay (annual growth)
01/03/2013,0.9,Regular pay (annual growth)
01/04/2013,0.9,Regular pay (annual growth)
01/05/2013,1,Regular pay (annual growth)
01/06/2013,0.9,Regular pay (annual growth)
01/07/2013,0.7,Regular pay (annual growth)
01/08/2013,0.7,Regular pay (annual growth)
01/09/2013,0.7,Regular pay (annual growth)
01/10/2013,0.7,Regular pay (annual growth)
01/11/2013,0.9,Regular pay (annual growth)
01/12/2013,1.1,Regular pay (annual growth)
01/01/2014,1.3,Regular pay (annual growth)
01/02/2014,1.1,Regular pay (annual growth)
01/03/2014,0.7,Regular pay (annual growth)
01/04/2014,0.6,Regular pay (annual growth)
01/05/2014,0.5,Regular pay (annual growth)
01/06/2014,0.6,Regular pay (annual growth)
01/07/2014,0.8,Regular pay (annual growth)
01/08/2014,1.1,Regular pay (annual growth)
01/09/2014,1.5,Regular pay (annual growth)
01/10/2014,1.7,Regular pay (annual growth)
01/11/2014,1.6,Regular pay (annual growth)
01/12/2014,1.5,Regular pay (annual growth)
01/01/2015,1.8,Regular pay (annual growth)
01/02/2015,2.2,Regular pay (annual growth)
01/03/2015,2.6,Regular pay (annual growth)
01/04/2015,2.7,Regular pay (annual growth)
01/05/2015,2.7,Regular pay (annual growth)
01/06/2015,2.8,Regular pay (annual growth)
01/07/2015,2.7,Regular pay (annual growth)
01/08/2015,2.4,Regular pay (annual growth)
01/09/2015,2,Regular pay (annual growth)
01/10/2015,1.9,Regular pay (annual growth)
01/11/2015,1.9,Regular pay (annual growth)
01/12/2015,2.2,Regular pay (annual growth)
01/01/2016,2.2,Regular pay (annual growth)
01/02/2016,2.3,Regular pay (annual growth)
01/03/2016,2.3,Regular pay (annual growth)
01/04/2016,2.2,Regular pay (annual growth)
01/05/2016,2.3,Regular pay (annual growth)
01/06/2016,2.2,Regular pay (annual growth)
01/07/2016,2.3,Regular pay (annual growth)
01/08/2016,2.4,Regular pay (annual growth)
01/09/2016,2.5,Regular pay (annual growth)
01/10/2016,2.6,Regular pay (annual growth)
01/11/2016,2.5,Regular pay (annual growth)
01/12/2016,2.3,Regular pay (annual growth)
01/01/2017,2,Regular pay (annual growth)
01/02/2017,1.8,Regular pay (annual growth)
01/03/2017,1.8,Regular pay (annual growth)
01/04/2017,2,Regular pay (annual growth)
01/05/2017,2.1,Regular pay (annual growth)
01/06/2017,2.2,Regular pay (annual growth)
01/07/2017,2.1,Regular pay (annual growth)
01/08/2017,2.2,Regular pay (annual growth)
01/09/2017,2.3,Regular pay (annual growth)
01/10/2017,2.3,Regular pay (annual growth)
01/11/2017,2.4,Regular pay (annual growth)
01/12/2017,2.5,Regular pay (annual growth)
01/01/2018,2.8,Regular pay (annual growth)
01/02/2018,2.9,Regular pay (annual growth)
01/03/2018,2.9,Regular pay (annual growth)
01/04/2018,2.8,Regular pay (annual growth)
01/05/2018,2.7,Regular pay (annual growth)
01/06/2018,2.9,Regular pay (annual growth)
01/07/2018,3.1,Regular pay (annual growth)
01/08/2018,3.2,Regular pay (annual growth)
01/09/2018,3.3,Regular pay (annual growth)
01/10/2018,3.4,Regular pay (annual growth)
01/11/2018,3.4,Regular pay (annual growth)
01/12/2018,3.5,Regular pay (annual growth)
01/01/2019,3.4,Regular pay (annual growth)
01/02/2019,3.3,Regular pay (annual growth)
01/03/2019,3.4,Regular pay (annual growth)
01/04/2019,3.6,Regular pay (annual growth)
01/05/2019,3.9,Regular pay (annual growth)
01/06/2019,3.9,Regular pay (annual growth)
01/07/2019,3.8,Regular pay (annual growth)
01/08/2019,3.6,Regular pay (annual growth)
01/09/2019,3.5,Regular pay (annual growth)
01/10/2019,3.3,Regular pay (annual growth)
01/11/2019,3.2,Regular pay (annual growth)
01/12/2019,3,Regular pay (annual growth)
