date,group,value
2009-01-01,Age 65,24
2009-04-01,Age 65,23
2009-07-01,Age 65,24
2009-10-01,Age 65,25
2010-01-01,Age 65,26
2010-04-01,Age 65,26
2010-07-01,Age 65,26
2010-10-01,Age 65,25
2011-01-01,Age 65,23
2011-04-01,Age 65,25
2011-07-01,Age 65,22
2011-10-01,Age 65,24
2012-01-01,Age 65,25
2012-04-01,Age 65,26
2012-07-01,Age 65,26
2012-10-01,Age 65,26
2013-01-01,Age 65,26
2013-04-01,Age 65,27
2013-07-01,Age 65,27
2013-10-01,Age 65,28
2014-01-01,Age 65,26
2014-04-01,Age 65,27
2014-07-01,Age 65,27
2014-10-01,Age 65,27
2015-01-01,Age 65,26
2015-04-01,Age 65,27
2015-07-01,Age 65,27
2015-10-01,Age 65,28
2016-01-01,Age 65,29
2016-04-01,Age 65,28
2016-07-01,Age 65,29
2016-10-01,Age 65,28
2017-01-01,Age 65,27
2017-04-01,Age 65,27
2017-07-01,Age 65,28
2017-10-01,Age 65,28
2018-01-01,Age 65,29
2018-04-01,Age 65,29
2018-07-01,Age 65,27
2018-10-01,Age 65,29
2019-01-01,Age 65,32
2019-04-01,Age 65,36
2019-07-01,Age 65,39
2019-10-01,Age 65,37
2020-01-01,Age 65,40
2020-04-01,Age 65,40
2020-07-01,Age 65,39
2020-10-01,Age 65,39
2021-01-01,Age 65,40
2021-04-01,Age 65,39
2021-07-01,Age 65,39
2009-01-01,Age 66,20
2009-04-01,Age 66,20
2009-07-01,Age 66,20
2009-10-01,Age 66,21
2010-01-01,Age 66,23
2010-04-01,Age 66,21
2010-07-01,Age 66,23
2010-10-01,Age 66,22
2011-01-01,Age 66,22
2011-04-01,Age 66,22
2011-07-01,Age 66,21
2011-10-01,Age 66,21
2012-01-01,Age 66,20
2012-04-01,Age 66,20
2012-07-01,Age 66,20
2012-10-01,Age 66,19
2013-01-01,Age 66,22
2013-04-01,Age 66,22
2013-07-01,Age 66,22
2013-10-01,Age 66,22
2014-01-01,Age 66,22
2014-04-01,Age 66,22
2014-07-01,Age 66,22
2014-10-01,Age 66,22
2015-01-01,Age 66,23
2015-04-01,Age 66,23
2015-07-01,Age 66,23
2015-10-01,Age 66,23
2016-01-01,Age 66,23
2016-04-01,Age 66,24
2016-07-01,Age 66,23
2016-10-01,Age 66,24
2017-01-01,Age 66,23
2017-04-01,Age 66,24
2017-07-01,Age 66,24
2017-10-01,Age 66,22
2018-01-01,Age 66,24
2018-04-01,Age 66,23
2018-07-01,Age 66,26
2018-10-01,Age 66,26
2019-01-01,Age 66,23
2019-04-01,Age 66,25
2019-07-01,Age 66,23
2019-10-01,Age 66,26
2020-01-01,Age 66,29
2020-04-01,Age 66,27
2020-07-01,Age 66,26
2020-10-01,Age 66,26
2021-01-01,Age 66,26
2021-04-01,Age 66,29
2021-07-01,Age 66,29
2009-01-01,Age 67,14
2009-04-01,Age 67,16
2009-07-01,Age 67,16
2009-10-01,Age 67,18
2010-01-01,Age 67,17
2010-04-01,Age 67,19
2010-07-01,Age 67,19
2010-10-01,Age 67,20
2011-01-01,Age 67,19
2011-04-01,Age 67,18
2011-07-01,Age 67,17
2011-10-01,Age 67,16
2012-01-01,Age 67,17
2012-04-01,Age 67,18
2012-07-01,Age 67,17
2012-10-01,Age 67,17
2013-01-01,Age 67,17
2013-04-01,Age 67,17
2013-07-01,Age 67,18
2013-10-01,Age 67,20
2014-01-01,Age 67,18
2014-04-01,Age 67,19
2014-07-01,Age 67,18
2014-10-01,Age 67,19
2015-01-01,Age 67,19
2015-04-01,Age 67,19
2015-07-01,Age 67,19
2015-10-01,Age 67,21
2016-01-01,Age 67,20
2016-04-01,Age 67,20
2016-07-01,Age 67,20
2016-10-01,Age 67,19
2017-01-01,Age 67,18
2017-04-01,Age 67,20
2017-07-01,Age 67,19
2017-10-01,Age 67,20
2018-01-01,Age 67,19
2018-04-01,Age 67,21
2018-07-01,Age 67,21
2018-10-01,Age 67,21
2019-01-01,Age 67,22
2019-04-01,Age 67,21
2019-07-01,Age 67,21
2019-10-01,Age 67,21
2020-01-01,Age 67,21
2020-04-01,Age 67,20
2020-07-01,Age 67,19
2020-10-01,Age 67,20
2021-01-01,Age 67,18
2021-04-01,Age 67,20
2021-07-01,Age 67,20
