value1,value2,job,value3,value4
12.12415,9.679822,Armed Forces,0,0
15.7277,5.623363,Construction & Extraction,10,10
19.86966,10.81916,"Farming, Fishing, & Forestry",20,20
47.92397,14.30861,"Management, Business & Financial",30,30
38.15737,9.688356,Office & Administrative Support,40,40
16.21297,5.497469,Production,50,50
51.61278,19.11271,Professional & Related,,
31.19351,14.03209,Sales & Related,,
25.25085,9.473285,Service,,
9.449381,2.921778,Transportation & Material Moving,,
17.47634,6.534653,Education,,
32.88601,6.778774,Public Sector,,
60.53799,21.62088,Computer & Mathematical,,
32.41012,9.441347,Architecture & Engineering,,
29.59179,9.130554,Physical & Social Science,,
35.06449,11.10496,Community & Social Service,,
44.34792,10.95788,Legal,,
57.97812,33.47702,"Arts, Design, Entertainment, Sports, & Media",,
17.83602,6.675097,Healthcare Practitioner & Technical,,
14.80571,5.873283,Healthcare Support,,
11.83273,1.252306,Protective Service,,
12.83132,5.083802,Food Preparation & Serving,,
15.03314,3.209727,Cleaning & Maintenance of Buildings & grounds,,
31.67626,17.49136,Personal Care & Service,,
16.89829,8.915382,"Installation, Maintenance & Repair",,
