year,region,value
2019,East Midlands,4.6
2022,East Midlands,23.0
2019,East of England,5.1
2022,East of England,25.0
2019,London,5.1
2022,London,33.1
2019,North East,3.4
2022,North East,19.2
2019,North West,4.7
2022,North West,22.0
2019,Northern Ireland,7.1
2022,Northern Ireland,16.0
2019,Scotland,4.4
2022,Scotland,25.6
2019,South East,6.6
2022,South East,30.1
2019,South West,7.7
2022,South West,22.9
2019,Wales,5.3
2022,Wales,24.0
2019,West Midlands,5.0
2022,West Midlands,22.1
2019,Yorkshire & the Humber,6.1
2022,Yorkshire & the Humber,19.5
