date,group,value,value2
1971-01-01,All,25,0.2490
1971-04-01,All,25,0.2490
1971-07-01,All,25,0.2510
1971-10-01,All,25,0.2520
1972-01-01,All,25,0.2480
1972-04-01,All,25,0.2480
1972-07-01,All,25,0.2480
1972-10-01,All,25,0.2460
1973-01-01,All,24,0.2430
1973-04-01,All,24,0.2420
1973-07-01,All,24,0.2440
1973-10-01,All,24,0.2440
1974-01-01,All,24,0.2440
1974-04-01,All,24,0.2430
1974-07-01,All,24,0.2410
1974-10-01,All,24,0.2410
1975-01-01,All,24,0.2410
1975-04-01,All,24,0.2400
1975-07-01,All,24,0.2390
1975-10-01,All,24,0.2380
1976-01-01,All,24,0.2390
1976-04-01,All,24,0.2390
1976-07-01,All,24,0.2400
1976-10-01,All,24,0.2400
1977-01-01,All,24,0.2410
1977-04-01,All,24,0.2410
1977-07-01,All,24,0.2410
1977-10-01,All,24,0.2410
1978-01-01,All,24,0.2420
1978-04-01,All,24,0.2430
1978-07-01,All,24,0.2430
1978-10-01,All,24,0.2420
1979-01-01,All,24,0.2420
1979-04-01,All,24,0.2420
1979-07-01,All,24,0.2410
1979-10-01,All,24,0.2410
1980-01-01,All,24,0.2400
1980-04-01,All,24,0.2390
1980-07-01,All,24,0.2390
1980-10-01,All,24,0.2390
1981-01-01,All,24,0.2380
1981-04-01,All,24,0.2390
1981-07-01,All,24,0.2410
1981-10-01,All,24,0.2440
1982-01-01,All,25,0.2460
1982-04-01,All,25,0.2490
1982-07-01,All,25,0.2520
1982-10-01,All,26,0.2550
1983-01-01,All,26,0.2580
1983-04-01,All,26,0.2590
1983-07-01,All,25,0.2540
1983-10-01,All,25,0.2490
1984-01-01,All,25,0.2450
1984-04-01,All,24,0.2420
1984-07-01,All,24,0.2420
1984-10-01,All,24,0.2400
1985-01-01,All,24,0.2400
1985-04-01,All,24,0.2390
1985-07-01,All,24,0.2390
1985-10-01,All,24,0.2380
1986-01-01,All,24,0.2380
1986-04-01,All,24,0.2370
1986-07-01,All,24,0.2350
1986-10-01,All,23,0.2340
1987-01-01,All,23,0.2340
1987-04-01,All,23,0.2320
1987-07-01,All,23,0.2300
1987-10-01,All,23,0.2280
1988-01-01,All,23,0.2260
1988-04-01,All,23,0.2250
1988-07-01,All,22,0.2240
1988-10-01,All,22,0.2220
1989-01-01,All,22,0.2200
1989-04-01,All,22,0.2190
1989-07-01,All,22,0.2190
1989-10-01,All,22,0.2170
1990-01-01,All,22,0.2180
1990-04-01,All,22,0.2170
1990-07-01,All,22,0.2170
1990-10-01,All,22,0.2180
1991-01-01,All,22,0.2200
1991-04-01,All,22,0.2220
1991-07-01,All,23,0.2250
1991-10-01,All,23,0.2290
1992-01-01,All,23,0.2310
1992-04-01,All,23,0.2330
1992-07-01,All,23,0.2340
1992-10-01,All,24,0.2350
1993-01-01,All,23,0.2340
1993-04-01,All,24,0.2360
1993-07-01,All,24,0.2360
1993-10-01,All,24,0.2360
1994-01-01,All,24,0.2360
1994-04-01,All,24,0.2370
1994-07-01,All,24,0.2370
