Area,value1,value2
Bedfordshire and Hertfordshire,540,2.0
"Berkshire, Buckinghamshire and Oxfordshire",562,-2.0
Cheshire,523,0.0
Cornwall and Isles of Scilly,492,-1.0
Cumbria,507,-2.0
Derbyshire and Nottinghamshire,474,0.0
Devon,480,0.0
Dorset and Somerset,498,1.0
East Anglia,532,0.0
East Wales,525,-1.0
East Yorkshire and Northern Lincolnshire,483,0.0
Eastern Scotland,481,-1.0
Essex,543,-3.0
"Gloucestershire, Wiltshire and Bristol/Bath area",518,-3.0
Greater Manchester,465,-1.0
Hampshire and Isle of Wight,500,-1.0
"Herefordshire, Worcestershire and Warwickshire",538,-1.0
Highlands and Islands,465,5.0
Inner London - East,700,-5.0
Inner London - West,682,-3.0
Kent,540,0.0
Lancashire,443,-1.0
"Leicestershire, Rutland and Northamptonshire",487,0.0
Lincolnshire,497,3.0
Merseyside,468,-5.0
North Eastern Scotland,283,3.0
North Yorkshire,472,-5.0
Northern Ireland,462,1.0
Northumberland and Tyne and Wear,404,0.0
Outer London - East and North East,547,-3.0
Outer London - South,603,-1.0
Outer London - West and North West,532,-3.0
Shropshire and Staffordshire,478,-4.0
South Yorkshire,446,1.0
Southern Scotland,480,-1.0
"Surrey, East and West Sussex",539,-1.0
Tees Valley and Durham,423,0.0
West Central Scotland,477,0.0
West Midlands (county),433,-2.0
West Wales and The Valleys,498,-1.0
West Yorkshire,441,-2.0
