Year,Funding type,Percentage of funding,,,,,,,,,,,
2000,Equity issuance,8.044276127,,,,,,,,,,,
2001,Equity issuance,10.5493439,,,,,,,,,,,
2002,Equity issuance,10.05457797,,,,,,,,,,,
2003,Equity issuance,11.00330004,,,,,,,,,,,
2004,Equity issuance,16.27220057,,,,,,,,,,,
2005,Equity issuance,13.15018378,,,,,,,,,,,
2006,Equity issuance,11.609692,,,,,,,,,,,
2007,Equity issuance,8.371068935,,,,,,,,,,,
2008,Equity issuance,8.927224348,,,,,,,,,,,
2009,Equity issuance,11.61446121,,,,,,,,,,,
2010,Equity issuance,16.29462034,,,,,,,,,,,
2011,Equity issuance,8.506856021,,,,,,,,,,,
2012,Equity issuance,9.154049587,,,,,,,,,,,
2013,Equity issuance,7.744439138,,,,,,,,,,,
2014,Equity issuance,8.462571045,,,,,,,,,,,
2015,Equity issuance,6.896930849,,,,,,,,,,,
2000,Bond issuance,13.77369921,,,,,,,,,,,
2001,Bond issuance,27.9609546,,,,,,,,,,,
2002,Bond issuance,29.35224329,,,,,,,,,,,
2003,Bond issuance,28.30378686,,,,,,,,,,,
2004,Bond issuance,17.98824619,,,,,,,,,,,
2005,Bond issuance,13.7833649,,,,,,,,,,,
2006,Bond issuance,13.79820446,,,,,,,,,,,
2007,Bond issuance,17.20927511,,,,,,,,,,,
2008,Bond issuance,18.87725922,,,,,,,,,,,
2009,Bond issuance,53.44640804,,,,,,,,,,,
2010,Bond issuance,27.89246731,,,,,,,,,,,
2011,Bond issuance,24.46298137,,,,,,,,,,,
2012,Bond issuance,35.73904803,,,,,,,,,,,
2013,Bond issuance,31.7069729,,,,,,,,,,,
2014,Bond issuance,27.7280704,,,,,,,,,,,
2015,Bond issuance,25.39904763,,,,,,,,,,,
2000,Loan financing,78.18202466,,,,,,,,,,,
2001,Loan financing,61.4897015,,,,,,,,,,,
2002,Loan financing,60.59317873,,,,,,,,,,,
2003,Loan financing,60.69291311,,,,,,,,,,,
2004,Loan financing,65.73955324,,,,,,,,,,,
2005,Loan financing,73.06645132,,,,,,,,,,,
2006,Loan financing,74.59210354,,,,,,,,,,,
2007,Loan financing,74.41965596,,,,,,,,,,,
2008,Loan financing,72.19551643,,,,,,,,,,,
2009,Loan financing,34.93913074,,,,,,,,,,,
2010,Loan financing,55.81291235,,,,,,,,,,,
2011,Loan financing,67.0301626,,,,,,,,,,,
2012,Loan financing,55.10690239,,,,,,,,,,,
2013,Loan financing,60.54858796,,,,,,,,,,,
2014,Loan financing,63.80935856,,,,,,,,,,,
2015,Loan financing,67.70402152,,,,,,,,,,,
