Date by Quarter,% of Domestic Banks Tightening Loan Standards,High Yield Bond Spread (%)
2000-04-01,21.4,5.962615385
2000-07-01,23.6,6.316363636
2000-10-01,27.3,8.117846154
2001-01-01,45.5,8.006
2001-04-01,36.4,8.063846154
2001-07-01,31.6,8.465238095
2001-10-01,40.4,8.995076923
2002-01-01,41.8,7.862698413
2002-04-01,14.5,7.372727273
2002-07-01,5.5,9.659850746
2002-10-01,18.2,9.788787879
2003-01-01,13.8,8.216031746
2003-04-01,12.7,6.664769231
2003-07-01,3.5,5.681641791
2003-10-01,-1.8,4.610757576
2004-01-01,-10.9,4.202272727
2004-04-01,-19.3,4.09796875
2004-07-01,-3.6,3.989253731
2004-10-01,-18.2,3.373333333
2005-01-01,-13,3.075714286
2005-04-01,-24.1,3.970606061
2005-07-01,-11.1,3.500447761
2005-10-01,-5.3,3.620769231
2006-01-01,-7.1,3.37421875
2006-04-01,-7,3.120307692
2006-07-01,-1.8,3.406515152
2006-10-01,-1.9,3.131692308
2007-01-01,5.4,2.753230769
2007-04-01,1.9,2.63734375
2007-07-01,7.7,4.025909091
2007-10-01,9.6,5.022
2008-01-01,30.4,7.354603175
2008-04-01,51.8,6.935909091
2008-07-01,65.4,8.369850746
2008-10-01,74.5,17.69136364
2009-01-01,69.2,17.04353846
2009-04-01,42.3,12.92907692
2009-07-01,34,9.250909091
2009-10-01,16.1,7.423484848
2010-01-01,3.7,6.352153846
2010-04-01,0,6.380625
2010-07-01,-9.1,6.653880597
2010-10-01,-7.1,5.806865672
2011-01-01,-1.9,4.875
2011-04-01,-13.5,5.004923077
2011-07-01,-7.8,6.704477612
2011-10-01,-6.3,7.673692308
2012-01-01,1.9,6.335692308
2012-04-01,-1.8,6.413076923
2012-07-01,-4.9,5.967878788
2012-10-01,-7.6,5.5165625
2013-01-01,-7.7,4.903968254
2013-04-01,-23.1,4.723181818
2013-07-01,-10,4.739384615
2013-10-01,-7.1,4.328030303
2014-01-01,-4.2,3.934285714
2014-04-01,-7,3.645692308
2014-07-01,-8.3,3.891343284
2014-10-01,-8.2,4.683484848
2015-01-01,-5.7,4.8865625
2015-04-01,-1.4,4.5996875
2015-07-01,-6,5.535757576
2015-10-01,1.5,6.402424242
2016-01-01,4.2,7.6015625
2016-04-01,5.8,6.328181818
2016-07-01,7.1,5.363880597
2016-10-01,-1.5,4.634615385
2017-01-01,0,3.92125
2017-04-01,-2.9,3.797538462
2017-07-01,-4.1,3.750454545
2017-10-01,-8.8,3.591846154
2018-01-01,0,3.5090625
2018-04-01,-3,3.464545455
2018-07-01,-7.6,3.463030303
2018-10-01,-3.1,4.070615385
2019-01-01,4.3,4.2403125
2019-04-01,0,4.021846154
2019-07-01,-5.8,4.08238806
2019-10-01,5.6,3.961076923
2020-01-01,-1.4,5.144307692
2020-04-01,39.7,7.148923077
2020-07-01,70,5.369848485
2020-10-01,31.3,4.548636364
