Date,Net percentage of Domestic Banks Tightening Standards for Commerical and Inustrial Loans to Small Firms,ICE BofA US High Yield Index Option-Adjusted Spread
01/04/2000,21.4,5.962615385
01/07/2000,23.6,6.316363636
01/10/2000,27.3,8.117846154
01/01/2001,45.5,8.006
01/04/2001,36.4,8.063846154
01/07/2001,31.6,8.465238095
01/10/2001,40.4,8.995076923
01/01/2002,41.8,7.862698413
01/04/2002,14.5,7.372727273
01/07/2002,5.5,9.659850746
01/10/2002,18.2,9.788787879
01/01/2003,13.8,8.216031746
01/04/2003,12.7,6.664769231
01/07/2003,3.5,5.681641791
01/10/2003,-1.8,4.610757576
01/01/2004,-10.9,4.202272727
01/04/2004,-19.3,4.09796875
01/07/2004,-3.6,3.989253731
01/10/2004,-18.2,3.373333333
01/01/2005,-13,3.075714286
01/04/2005,-24.1,3.970606061
01/07/2005,-11.1,3.500447761
01/10/2005,-5.3,3.620769231
01/01/2006,-7.1,3.37421875
01/04/2006,-7,3.120307692
01/07/2006,-1.8,3.406515152
01/10/2006,-1.9,3.131692308
01/01/2007,5.4,2.753230769
01/04/2007,1.9,2.63734375
01/07/2007,7.7,4.025909091
01/10/2007,9.6,5.022
01/01/2008,30.4,7.354603175
01/04/2008,51.8,6.935909091
01/07/2008,65.4,8.369850746
01/10/2008,74.5,17.69136364
01/01/2009,69.2,17.04353846
01/04/2009,42.3,12.92907692
01/07/2009,34,9.250909091
01/10/2009,16.1,7.423484848
01/01/2010,3.7,6.352153846
01/04/2010,0,6.380625
01/07/2010,-9.1,6.653880597
01/10/2010,-7.1,5.806865672
01/01/2011,-1.9,4.875
01/04/2011,-13.5,5.004923077
01/07/2011,-7.8,6.704477612
01/10/2011,-6.3,7.673692308
01/01/2012,1.9,6.335692308
01/04/2012,-1.8,6.413076923
01/07/2012,-4.9,5.967878788
01/10/2012,-7.6,5.5165625
01/01/2013,-7.7,4.903968254
01/04/2013,-23.1,4.723181818
01/07/2013,-10,4.739384615
01/10/2013,-7.1,4.328030303
01/01/2014,-4.2,3.934285714
01/04/2014,-7,3.645692308
01/07/2014,-8.3,3.891343284
01/10/2014,-8.2,4.683484848
01/01/2015,-5.7,4.8865625
01/04/2015,-1.4,4.5996875
01/07/2015,-6,5.535757576
01/10/2015,1.5,6.402424242
01/01/2016,4.2,7.6015625
01/04/2016,5.8,6.328181818
01/07/2016,7.1,5.363880597
01/10/2016,-1.5,4.634615385
01/01/2017,0,3.92125
01/04/2017,-2.9,3.797538462
01/07/2017,-4.1,3.750454545
01/10/2017,-8.8,3.591846154
01/01/2018,0,3.5090625
01/04/2018,-3,3.464545455
01/07/2018,-7.6,3.463030303
01/10/2018,-3.1,4.070615385
01/01/2019,4.3,4.2403125
01/04/2019,0,4.021846154
01/07/2019,-5.8,4.08238806
01/10/2019,5.6,3.961076923
01/01/2020,-1.4,5.144307692
01/04/2020,39.7,7.148923077
01/07/2020,70,5.369848485
01/10/2020,31.3,4.548636364
