Monthly,Exchange rate
1922m1,4.2248
1922m2,4.362
1922m3,4.3757
1922m4,4.4134
1922m5,4.4461
1922m6,4.4519
1922m7,4.4464
1922m8,4.4647
1922m9,4.4307
1922m10,4.4385
1922m11,4.4799
1922m12,4.6098
1923m1,4.6546
1923m2,4.6908
1923m3,4.69569
1923m4,4.6563
1923m5,4.6257
1923m6,4.6146
1923m7,4.5834
1923m8,4.5603
1923m9,4.5422
1923m10,4.5237
1923m11,4.3822
1923m12,4.3615
1924m1,4.2591
1924m2,4.3077
1924m3,4.2906
1924m4,4.3513
1924m5,4.3608
1924m6,4.3199
1924m7,4.3704
1924m8,4.4994
1924m9,4.4605
1924m10,4.487
1924m11,4.6097
1924m12,4.6958
1925m1,4.7817
1925m2,4.7724
1925m3,4.7762
1925m4,4.7953
1925m5,4.8547
1925m6,4.8604
1925m7,4.8596
1925m8,4.8569
1925m9,4.8467
1925m10,4.8428
1925m11,4.8457
1925m12,4.8498
1926m1,4.8579
1926m2,4.8634
1926m3,4.8608
1926m4,4.8622
1926m5,4.8615
1926m6,4.8659
1926m7,4.8634
1926m8,4.8587
1926m9,4.8541
1926m10,4.8503
1926m11,4.8488
1926m12,4.8512
1927m1,4.8526
1927m2,4.8503
1927m3,4.854
1927m4,4.8565
1927m5,4.857
1927m6,4.8561
1927m7,4.8551
1927m8,4.8599
1927m9,4.8635
1927m10,4.8697
1927m11,4.874
1927m12,4.8825
1928m1,4.8753
1928m2,4.8748
1928m3,4.8799
1928m4,4.8828
1928m5,4.8816
1928m6,4.8803
1928m7,4.8636
1928m8,4.8535
1928m9,4.8505
1928m10,4.8495
1928m11,4.8491
1928m12,4.8524
1929m1,4.8499
1929m2,4.8521
1929m3,4.8526
1929m4,4.8532
1929m5,4.8508
1929m6,4.8479
1929m7,4.851
1929m8,4.8485
1929m9,4.8482
1929m10,4.8699
1929m11,4.8775
1929m12,4.8816
1930m1,4.8686
1930m2,4.8618
1930m3,4.8631
1930m4,4.8631
1930m5,4.8597
1930m6,4.8587
1930m7,4.8657
1930m8,4.8707
1930m9,4.8611
1930m10,4.859
1930m11,4.8564
1930m12,4.8566
1931m1,4.8547
1931m2,4.8584
1931m3,4.8583
1931m4,4.8599
1931m5,4.864
1931m6,4.8649
1931m7,4.856
1931m8,4.8577
1931m9,4.5313
1931m10,3.8893
1931m11,3.7199
1931m12,3.3737
1932m1,3.4312
1932m2,3.4563
1932m3,3.6393
1932m4,3.75
1932m5,3.6751
1932m6,3.6466
1932m7,3.5496
1932m8,3.4757
1932m9,3.4711
1932m10,3.3962
1932m11,3.2753
1932m12,3.2787
1933m1,3.3614
1933m2,3.4221
1933m3,3.4329
1933m4,3.5793
1933m5,3.9324
1933m6,4.1356
1933m7,4.6499
1933m8,4.5027
1933m9,4.6647
1933m10,4.6683
1933m11,5.1497
1933m12,5.1159
1934m1,5.0493
1934m2,5.0326
1934m3,5.093
1934m4,5.1534
1934m5,5.1063
1934m6,5.048
1934m7,5.0407
1934m8,5.0651
1934m9,4.994
1934m10,4.9408
1934m11,4.989
1934m12,4.9459
1935m1,4.8923
1935m2,4.8735
1935m3,4.7762
1935m4,4.8368
1935m5,4.8878
1935m6,4.9351
1935m7,4.9576
1935m8,4.9699
1935m9,4.9307
1935m10,4.9078
1935m11,4.9249
1935m12,4.9277
1936m1,4.9627
1936m2,5.0005
1936m3,4.9705
1936m4,4.9427
1936m5,4.9697
1936m6,5.0192
1936m7,5.0225
1936m8,5.0259
1936m9,5.0405
1936m10,4.8984
1936m11,4.888
1936m12,4.9076
1937m1,4.9075
1937m2,4.8939
1937m3,4.8851
1937m4,4.9163
1937m5,4.9399
1937m6,4.9355
1937m7,4.9672
1937m8,4.9822
1937m9,4.953
1937m10,4.9551
1937m11,4.9961
1937m12,4.9964
1938m1,4.9998
1938m2,5.018
1938m3,4.9845
1938m4,4.9812
1938m5,4.9673
1938m6,4.958
1938m7,4.9291
1938m8,4.8808
1938m9,4.8038
1938m10,4.7685
1938m11,4.7075
1938m12,4.6703
1939m1,4.6694
1939m2,4.6857
1939m3,4.6854
1939m4,4.6805
1939m5,4.6813
1939m6,4.6824
1939m7,4.6815
1939m8,4.6108
1939m9,3.9951
1939m10,4.0105
1939m11,3.9247
1939m12,3.9301
1940m1,3.9639
1940m2,3.9633
1940m3,3.7591
1940m4,3.5259
1940m5,3.2736
1940m6,3.6016
1940m7,3.8049
1940m8,3.9788
1940m9,4.0342
1940m10,4.0325
1940m11,4.0356
1940m12,4.035
1941m1,4.0342
1941m2,4.0297
1941m3,4.0319
1941m4,4.0248
1941m5,4.031
1941m6,4.0316
1941m7,4.0323
1941m8,4.0318
1941m9,4.0327
1941m10,4.0329
1941m11,4.0342
1941m12,4.035
1942m1,4.035
1942m2,4.035
1942m3,4.035
1942m4,4.035
1942m5,4.035
1942m6,4.035
1942m7,4.035
1942m8,4.035
1942m9,4.035
1942m10,4.035
1942m11,4.035
1942m12,4.035
1943m1,4.035
1943m2,4.035
1943m3,4.035
1943m4,4.035
1943m5,4.035
