Measure,MeasureShort,Date1,Date2,Percentage,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/04/2000,01-04-2000,21.4,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/07/2000,01-07-2000,23.6,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/10/2000,01-10-2000,27.3,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/01/2001,01-01-2001,45.5,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/04/2001,01-04-2001,36.4,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/07/2001,01-07-2001,31.6,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/10/2001,01-10-2001,40.4,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/01/2002,01-01-2002,41.8,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/04/2002,01-04-2002,14.5,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/07/2002,01-07-2002,5.5,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/10/2002,01-10-2002,18.2,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/01/2003,01-01-2003,13.8,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/04/2003,01-04-2003,12.7,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/07/2003,01-07-2003,3.5,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/10/2003,01-10-2003,-1.8,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/01/2004,01-01-2004,-10.9,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/04/2004,01-04-2004,-19.3,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/07/2004,01-07-2004,-3.6,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/10/2004,01-10-2004,-18.2,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/01/2005,01-01-2005,-13,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/04/2005,01-04-2005,-24.1,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/07/2005,01-07-2005,-11.1,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/10/2005,01-10-2005,-5.3,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/01/2006,01-01-2006,-7.1,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/04/2006,01-04-2006,-7,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/07/2006,01-07-2006,-1.8,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/10/2006,01-10-2006,-1.9,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/01/2007,01-01-2007,5.4,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/04/2007,01-04-2007,1.9,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/07/2007,01-07-2007,7.7,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/10/2007,01-10-2007,9.6,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/01/2008,01-01-2008,30.4,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/04/2008,01-04-2008,51.8,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/07/2008,01-07-2008,65.4,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/10/2008,01-10-2008,74.5,,
