Date,Country,"GDP Index, 2019 = 100"
01/01/2010,UK,83.00
01/02/2010,UK,84.00
01/03/2010,UK,85.00
01/04/2010,UK,85.00
01/05/2010,UK,85.00
01/06/2010,UK,85.00
01/07/2010,UK,85.00
01/08/2010,UK,86.00
01/09/2010,UK,86.00
01/10/2010,UK,86.00
01/11/2010,UK,86.00
01/12/2010,UK,85.00
01/01/2011,UK,86.00
01/02/2011,UK,86.00
01/03/2011,UK,86.00
01/04/2011,UK,86.00
01/05/2011,UK,86.00
01/06/2011,UK,86.00
01/07/2011,UK,87.00
01/08/2011,UK,86.00
01/09/2011,UK,86.00
01/10/2011,UK,86.00
01/11/2011,UK,87.00
01/12/2011,UK,87.00
01/01/2012,UK,87.00
01/02/2012,UK,87.00
01/03/2012,UK,87.00
01/04/2012,UK,87.00
01/05/2012,UK,88.00
01/06/2012,UK,86.00
01/07/2012,UK,88.00
01/08/2012,UK,88.00
01/09/2012,UK,88.00
01/10/2012,UK,88.00
01/11/2012,UK,88.00
01/12/2012,UK,88.00
01/01/2013,UK,88.00
01/02/2013,UK,89.00
01/03/2013,UK,89.00
01/04/2013,UK,89.00
01/05/2013,UK,89.00
01/06/2013,UK,89.00
01/07/2013,UK,90.00
01/08/2013,UK,90.00
01/09/2013,UK,90.00
01/10/2013,UK,90.00
01/11/2013,UK,91.00
01/12/2013,UK,90.00
01/01/2014,UK,91.00
01/02/2014,UK,91.00
01/03/2014,UK,92.00
01/04/2014,UK,92.00
01/05/2014,UK,92.00
01/06/2014,UK,92.00
01/07/2014,UK,92.00
01/08/2014,UK,92.00
01/09/2014,UK,92.00
01/10/2014,UK,93.00
01/11/2014,UK,93.00
01/12/2014,UK,93.00
01/01/2015,UK,93.00
01/02/2015,UK,93.00
01/03/2015,UK,93.00
01/04/2015,UK,94.00
01/05/2015,UK,94.00
01/06/2015,UK,94.00
01/07/2015,UK,94.00
01/08/2015,UK,94.00
01/09/2015,UK,94.00
01/10/2015,UK,95.00
01/11/2015,UK,95.00
01/12/2015,UK,95.00
01/01/2016,UK,95.00
01/02/2016,UK,95.00
01/03/2016,UK,95.00
01/04/2016,UK,96.00
01/05/2016,UK,95.00
01/06/2016,UK,95.00
01/07/2016,UK,96.00
01/08/2016,UK,96.00
01/09/2016,UK,96.00
01/10/2016,UK,96.00
01/11/2016,UK,96.00
01/12/2016,UK,97.00
01/01/2017,UK,97.00
01/02/2017,UK,97.00
01/03/2017,UK,97.00
01/04/2017,UK,97.00
01/05/2017,UK,97.00
01/06/2017,UK,97.00
01/07/2017,UK,97.00
01/08/2017,UK,97.00
01/09/2017,UK,98.00
01/10/2017,UK,98.00
01/11/2017,UK,98.00
01/12/2017,UK,98.00
01/01/2018,UK,98.00
01/02/2018,UK,98.00
01/03/2018,UK,98.00
01/04/2018,UK,98.00
01/05/2018,UK,98.00
01/06/2018,UK,99.00
01/07/2018,UK,99.00
01/08/2018,UK,99.00
01/09/2018,UK,99.00
01/10/2018,UK,99.00
01/11/2018,UK,99.00
01/12/2018,UK,99.00
01/01/2019,UK,100.00
01/02/2019,UK,100.00
01/03/2019,UK,100.00
01/04/2019,UK,100.00
01/05/2019,UK,100.00
01/06/2019,UK,100.00
01/07/2019,UK,100.00
01/08/2019,UK,100.00
01/09/2019,UK,100.00
01/10/2019,UK,100.00
01/11/2019,UK,100.00
01/12/2019,UK,100.00
01/01/2020,UK,100.00
01/02/2020,UK,100.00
01/03/2020,UK,92.00
01/04/2020,UK,75.00
01/05/2020,UK,77.00
01/06/2020,UK,85.00
01/07/2020,UK,90.00
01/08/2020,UK,92.00
01/01/2010,Scotland,89.00
01/02/2010,Scotland,90.00
01/03/2010,Scotland,90.00
01/04/2010,Scotland,91.00
01/05/2010,Scotland,90.00
01/06/2010,Scotland,91.00
01/07/2010,Scotland,91.00
01/08/2010,Scotland,91.00
01/09/2010,Scotland,91.00
01/10/2010,Scotland,91.00
01/11/2010,Scotland,91.00
01/12/2010,Scotland,90.00
01/01/2011,Scotland,91.00
01/02/2011,Scotland,91.00
01/03/2011,Scotland,91.00
01/04/2011,Scotland,91.00
01/05/2011,Scotland,91.00
01/06/2011,Scotland,91.00
01/07/2011,Scotland,91.00
01/08/2011,Scotland,91.00
01/09/2011,Scotland,91.00
01/10/2011,Scotland,91.00
01/11/2011,Scotland,92.00
01/12/2011,Scotland,92.00
01/01/2012,Scotland,91.00
01/02/2012,Scotland,91.00
01/03/2012,Scotland,91.00
01/04/2012,Scotland,91.00
01/05/2012,Scotland,92.00
01/06/2012,Scotland,91.00
01/07/2012,Scotland,91.00
01/08/2012,Scotland,92.00
01/09/2012,Scotland,91.00
01/10/2012,Scotland,92.00
01/11/2012,Scotland,93.00
01/12/2012,Scotland,92.00
01/01/2013,Scotland,92.00
01/02/2013,Scotland,93.00
01/03/2013,Scotland,93.00
01/04/2013,Scotland,93.00
01/05/2013,Scotland,93.00
01/06/2013,Scotland,94.00
01/07/2013,Scotland,93.00
01/08/2013,Scotland,93.00
01/09/2013,Scotland,94.00
01/10/2013,Scotland,94.00
01/11/2013,Scotland,93.00
01/12/2013,Scotland,95.00
01/01/2014,Scotland,95.00
01/02/2014,Scotland,94.00
01/03/2014,Scotland,94.00
01/04/2014,Scotland,95.00
01/05/2014,Scotland,95.00
01/06/2014,Scotland,95.00
01/07/2014,Scotland,96.00
01/08/2014,Scotland,95.00
01/09/2014,Scotland,96.00
01/10/2014,Scotland,96.00
01/11/2014,Scotland,96.00
01/12/2014,Scotland,96.00
01/01/2015,Scotland,96.00
01/02/2015,Scotland,96.00
01/03/2015,Scotland,96.00
01/04/2015,Scotland,96.00
01/05/2015,Scotland,95.00
01/06/2015,Scotland,96.00
01/07/2015,Scotland,96.00
01/08/2015,Scotland,95.00
01/09/2015,Scotland,95.00
01/10/2015,Scotland,96.00
01/11/2015,Scotland,96.00
01/12/2015,Scotland,96.00
01/01/2016,Scotland,95.00
01/02/2016,Scotland,96.00
01/03/2016,Scotland,96.00
01/04/2016,Scotland,96.00
01/05/2016,Scotland,96.00
01/06/2016,Scotland,97.00
01/07/2016,Scotland,96.00
01/08/2016,Scotland,97.00
01/09/2016,Scotland,97.00
01/10/2016,Scotland,97.00
01/11/2016,Scotland,97.00
01/12/2016,Scotland,97.00
01/01/2017,Scotland,97.00
01/02/2017,Scotland,97.00
01/03/2017,Scotland,98.00
01/04/2017,Scotland,97.00
01/05/2017,Scotland,98.00
01/06/2017,Scotland,98.00
01/07/2017,Scotland,97.00
01/08/2017,Scotland,98.00
01/09/2017,Scotland,97.00
01/10/2017,Scotland,98.00
01/11/2017,Scotland,98.00
01/12/2017,Scotland,98.00
01/01/2018,Scotland,99.00
01/02/2018,Scotland,99.00
01/03/2018,Scotland,99.00
01/04/2018,Scotland,99.00
01/05/2018,Scotland,99.00
01/06/2018,Scotland,100.00
01/07/2018,Scotland,99.00
01/08/2018,Scotland,99.00
01/09/2018,Scotland,100.00
01/10/2018,Scotland,100.00
01/11/2018,Scotland,100.00
01/12/2018,Scotland,99.00
01/01/2019,Scotland,100.00
01/02/2019,Scotland,100.00
01/03/2019,Scotland,100.00
01/04/2019,Scotland,100.00
01/05/2019,Scotland,100.00
01/06/2019,Scotland,99.00
01/07/2019,Scotland,100.00
01/08/2019,Scotland,100.00
01/09/2019,Scotland,100.00
01/10/2019,Scotland,101.00
01/11/2019,Scotland,100.00
01/12/2019,Scotland,100.00
01/01/2020,Scotland,99.00
01/02/2020,Scotland,99.00
01/03/2020,Scotland,93.00
01/04/2020,Scotland,75.00
01/05/2020,Scotland,77.00
01/06/2020,Scotland,82.00
01/07/2020,Scotland,88.00
01/08/2020,Scotland,91.00
