Asset,Date,Closing Price ($)
GME,2021-02-04,53.5
GME,2021-02-03,92.41
GME,2021-02-02,90
GME,2021-02-01,225
GME,2021-01-29,325
GME,2021-01-28,193.6
GME,2021-01-27,347.51
GME,2021-01-26,147.98
GME,2021-01-25,76.79
GME,2021-01-22,65.01
GME,2021-01-21,43.03
GME,2021-01-20,39.12
GME,2021-01-19,39.36
GME,2021-01-15,35.5
GME,2021-01-14,39.91
GME,2021-01-13,31.4
GME,2021-01-12,19.95
GME,2021-01-11,19.94
GME,2021-01-08,17.69
GME,2021-01-07,18.08
GME,2021-01-06,18.36
GME,2021-01-05,17.37
