Date,Type of work,Value,Average
2020-01-01,Clerical and data entry,1,1.000
2020-01-02,Clerical and data entry,0.810996564,1.129
2020-01-03,Clerical and data entry,1.176975945,1.201
2020-01-04,Clerical and data entry,1.189003436,1.225
2020-01-05,Clerical and data entry,1.04467354,1.277
2020-01-06,Clerical and data entry,1.067010309,1.291
2020-01-07,Clerical and data entry,1.309278351,1.295
2020-01-08,Clerical and data entry,1.302405498,1.321
2020-01-09,Clerical and data entry,1.316151203,1.356
2020-01-10,Clerical and data entry,1.348797251,1.394
2020-01-11,Clerical and data entry,1.551546392,1.423
2020-01-12,Clerical and data entry,1.140893471,1.425
2020-01-13,Clerical and data entry,1.097938144,1.447
2020-01-14,Clerical and data entry,1.487972509,1.462
2020-01-15,Clerical and data entry,1.546391753,1.464
2020-01-16,Clerical and data entry,1.587628866,1.461
2020-01-17,Clerical and data entry,1.548109966,1.434
2020-01-18,Clerical and data entry,1.565292096,1.438
2020-01-19,Clerical and data entry,1.293814433,1.430
2020-01-20,Clerical and data entry,1.20790378,1.405
2020-01-21,Clerical and data entry,1.496563574,1.361
2020-01-22,Clerical and data entry,1.525773196,1.351
2020-01-23,Clerical and data entry,1.402061856,1.344
2020-01-24,Clerical and data entry,1.575601375,1.360
2020-01-25,Clerical and data entry,1.506872852,1.349
2020-01-26,Clerical and data entry,1.12371134,1.328
2020-01-27,Clerical and data entry,0.89862543,1.321
2020-01-28,Clerical and data entry,1.422680412,1.337
2020-01-29,Clerical and data entry,1.47766323,1.357
2020-01-30,Clerical and data entry,1.517182131,1.376
2020-01-31,Clerical and data entry,1.494845361,1.354
2020-02-01,Clerical and data entry,1.359106529,1.357
2020-02-02,Clerical and data entry,1.073883162,1.372
2020-02-03,Clerical and data entry,1.015463918,1.372
2020-02-04,Clerical and data entry,1.563573883,1.377
2020-02-05,Clerical and data entry,1.609965636,1.386
2020-02-06,Clerical and data entry,1.360824742,1.377
2020-02-07,Clerical and data entry,1.518900344,1.411
2020-02-08,Clerical and data entry,1.462199313,1.418
2020-02-09,Clerical and data entry,1.073883162,1.411
2020-02-10,Clerical and data entry,1.048109966,1.431
2020-02-11,Clerical and data entry,1.627147766,1.459
2020-02-12,Clerical and data entry,1.54467354,1.461
2020-02-13,Clerical and data entry,1.604810997,1.475
2020-02-14,Clerical and data entry,1.565292096,1.494
2020-02-15,Clerical and data entry,1.414089347,1.498
2020-02-16,Clerical and data entry,1.211340206,1.518
2020-02-17,Clerical and data entry,1.245704467,1.514
2020-02-18,Clerical and data entry,1.640893471,1.510
2020-02-19,Clerical and data entry,1.640893471,1.508
2020-02-20,Clerical and data entry,1.738831615,1.512
2020-02-21,Clerical and data entry,1.592783505,1.512
2020-02-22,Clerical and data entry,1.556701031,1.513
2020-02-23,Clerical and data entry,1.18556701,1.503
2020-02-24,Clerical and data entry,1.211340206,1.503
