Month,EU or non,Goods exported,
2019-01-01,EU Exports,14529,
2019-02-01,EU Exports,14806,
2019-03-01,EU Exports,15916,
2019-04-01,EU Exports,13206,
2019-05-01,EU Exports,14742,
2019-06-01,EU Exports,13838,
2019-07-01,EU Exports,14342,
2019-08-01,EU Exports,14056,
2019-09-01,EU Exports,14100,
2019-10-01,EU Exports,14381,
2019-11-01,EU Exports,12488,
2019-12-01,EU Exports,13552,
2020-01-01,EU Exports,13023,
2020-02-01,EU Exports,13012,
2020-03-01,EU Exports,11277,
2020-04-01,EU Exports,9318,
2020-05-01,EU Exports,9928,
2020-06-01,EU Exports,11227,
2020-07-01,EU Exports,11934,
2020-08-01,EU Exports,11974,
2020-09-01,EU Exports,11947,
2020-10-01,EU Exports,12830,
2020-11-01,EU Exports,13272,
2020-12-01,EU Exports,13676,
2021-01-01,EU Exports,8111,
2019-01-01,Non-EU Exports,14603,
2019-02-01,Non-EU Exports,14315,
2019-03-01,Non-EU Exports,15665,
2019-04-01,Non-EU Exports,14822,
2019-05-01,Non-EU Exports,14877,
2019-06-01,Non-EU Exports,15231,
2019-07-01,Non-EU Exports,16895,
2019-08-01,Non-EU Exports,16597,
2019-09-01,Non-EU Exports,16800,
2019-10-01,Non-EU Exports,16537,
2019-11-01,Non-EU Exports,15934,
2019-12-01,Non-EU Exports,16213,
2020-01-01,Non-EU Exports,15272,
2020-02-01,Non-EU Exports,13956,
2020-03-01,Non-EU Exports,13801,
2020-04-01,Non-EU Exports,11016,
2020-05-01,Non-EU Exports,10801,
2020-06-01,Non-EU Exports,12274,
2020-07-01,Non-EU Exports,12867,
2020-08-01,Non-EU Exports,13036,
2020-09-01,Non-EU Exports,13215,
2020-10-01,Non-EU Exports,13117,
2020-11-01,Non-EU Exports,13878,
2020-12-01,Non-EU Exports,13882,
2021-01-01,Non-EU Exports,14120,
