date,metric,value
2009-03-01,CPI,2.87
2009-04-01,CPI,2.28
2009-05-01,CPI,2.20
2009-06-01,CPI,1.79
2009-07-01,CPI,1.78
2009-08-01,CPI,1.60
2009-09-01,CPI,1.09
2009-10-01,CPI,1.51
2009-11-01,CPI,1.91
2009-12-01,CPI,2.89
2010-01-01,CPI,3.48
2010-02-01,CPI,2.97
2010-03-01,CPI,3.38
2010-04-01,CPI,3.73
2010-05-01,CPI,3.39
2010-06-01,CPI,3.25
2010-07-01,CPI,3.05
2010-08-01,CPI,3.12
2010-09-01,CPI,3.08
2010-10-01,CPI,3.16
2010-11-01,CPI,3.26
2010-12-01,CPI,3.70
2011-01-01,CPI,3.97
2011-02-01,CPI,4.35
2011-03-01,CPI,4.04
2011-04-01,CPI,4.48
2011-05-01,CPI,4.45
2011-06-01,CPI,4.20
2011-07-01,CPI,4.43
2011-08-01,CPI,4.51
2011-09-01,CPI,5.18
2011-10-01,CPI,4.98
2011-11-01,CPI,4.76
2011-12-01,CPI,4.20
2012-01-01,CPI,3.58
2012-02-01,CPI,3.44
2012-03-01,CPI,3.46
2012-04-01,CPI,3.04
2012-05-01,CPI,2.77
2012-06-01,CPI,2.45
2012-07-01,CPI,2.56
2012-08-01,CPI,2.48
2012-09-01,CPI,2.20
2012-10-01,CPI,2.67
2012-11-01,CPI,2.66
2012-12-01,CPI,2.68
2013-01-01,CPI,2.71
2013-02-01,CPI,2.78
2013-03-01,CPI,2.83
2013-04-01,CPI,2.42
2013-05-01,CPI,2.70
2013-06-01,CPI,2.92
2013-07-01,CPI,2.77
2013-08-01,CPI,2.69
2013-09-01,CPI,2.67
2013-10-01,CPI,2.19
2013-11-01,CPI,2.08
2013-12-01,CPI,2.03
2014-01-01,CPI,1.89
2014-02-01,CPI,1.72
2014-03-01,CPI,1.61
2014-04-01,CPI,1.77
2014-05-01,CPI,1.49
2014-06-01,CPI,1.90
2014-07-01,CPI,1.59
2014-08-01,CPI,1.55
2014-09-01,CPI,1.23
2014-10-01,CPI,1.29
2014-11-01,CPI,0.97
2014-12-01,CPI,0.55
2015-01-01,CPI,0.28
2015-02-01,CPI,0.03
2015-03-01,CPI,-0.01
2015-04-01,CPI,-0.12
2015-05-01,CPI,0.11
2015-06-01,CPI,-0.04
2015-07-01,CPI,0.15
2015-08-01,CPI,0.01
2015-09-01,CPI,-0.12
2015-10-01,CPI,-0.11
2015-11-01,CPI,0.11
2015-12-01,CPI,0.20
2016-01-01,CPI,0.29
2016-02-01,CPI,0.28
2016-03-01,CPI,0.46
2016-04-01,CPI,0.29
2016-05-01,CPI,0.31
2016-06-01,CPI,0.46
2016-07-01,CPI,0.56
2016-08-01,CPI,0.64
2016-09-01,CPI,0.98
2016-10-01,CPI,0.91
2016-11-01,CPI,1.17
2016-12-01,CPI,1.56
2017-01-01,CPI,1.82
2017-02-01,CPI,2.30
2017-03-01,CPI,2.32
2017-04-01,CPI,2.71
2017-05-01,CPI,2.87
2017-06-01,CPI,2.64
2017-07-01,CPI,2.63
2017-08-01,CPI,2.86
2017-09-01,CPI,2.96
2017-10-01,CPI,3.00
2017-11-01,CPI,3.09
2017-12-01,CPI,2.97
2018-01-01,CPI,2.99
2018-02-01,CPI,2.71
2018-03-01,CPI,2.46
2018-04-01,CPI,2.38
2018-05-01,CPI,2.42
2018-06-01,CPI,2.45
2018-07-01,CPI,2.47
2018-08-01,CPI,2.65
2018-09-01,CPI,2.42
2018-10-01,CPI,2.39
2018-11-01,CPI,2.31
2018-12-01,CPI,2.10
2019-01-01,CPI,1.85
2019-02-01,CPI,1.87
2019-03-01,CPI,1.91
2019-04-01,CPI,2.12
2019-05-01,CPI,2.02
2019-06-01,CPI,2.01
2019-07-01,CPI,2.06
2019-08-01,CPI,1.72
2019-09-01,CPI,1.71
2019-10-01,CPI,1.46
2019-11-01,CPI,1.47
2019-12-01,CPI,1.30
2020-01-01,CPI,1.77
2020-02-01,CPI,1.71
2020-03-01,CPI,1.52
2020-04-01,CPI,0.77
2020-05-01,CPI,0.48
2020-06-01,CPI,0.60
2020-07-01,CPI,1.04
2020-08-01,CPI,0.22
2020-09-01,CPI,0.53
2020-10-01,CPI,0.70
2020-11-01,CPI,0.32
2020-12-01,CPI,0.59
2021-01-01,CPI,0.70
2021-02-01,CPI,0.41
2021-03-01,CPI,0.71
2021-04-01,CPI,1.53
2021-05-01,CPI,2.11
2021-06-01,CPI,2.51
2021-07-01,CPI,2.04
2021-08-01,CPI,3.20
2021-09-01,CPI,3.08
2021-10-01,CPI,4.10
2021-11-01,CPI,5.10
2021-12-01,CPI,5.40
2022-01-01,CPI,5.50
2022-02-01,CPI,6.20
2022-03-01,CPI,7.00
2022-04-01,CPI,null
2009-03-01,Base rate,0.50
2009-04-01,Base rate,0.50
2009-05-01,Base rate,0.50
2009-06-01,Base rate,0.50
2009-07-01,Base rate,0.50
2009-08-01,Base rate,0.50
2009-09-01,Base rate,0.50
2009-10-01,Base rate,0.50
2009-11-01,Base rate,0.50
2009-12-01,Base rate,0.50
2010-01-01,Base rate,0.50
2010-02-01,Base rate,0.50
2010-03-01,Base rate,0.50
2010-04-01,Base rate,0.50
2010-05-01,Base rate,0.50
2010-06-01,Base rate,0.50
2010-07-01,Base rate,0.50
2010-08-01,Base rate,0.50
2010-09-01,Base rate,0.50
2010-10-01,Base rate,0.50
2010-11-01,Base rate,0.50
2010-12-01,Base rate,0.50
2011-01-01,Base rate,0.50
2011-02-01,Base rate,0.50
2011-03-01,Base rate,0.50
2011-04-01,Base rate,0.50
2011-05-01,Base rate,0.50
2011-06-01,Base rate,0.50
2011-07-01,Base rate,0.50
2011-08-01,Base rate,0.50
2011-09-01,Base rate,0.50
2011-10-01,Base rate,0.50
2011-11-01,Base rate,0.50
2011-12-01,Base rate,0.50
2012-01-01,Base rate,0.50
2012-02-01,Base rate,0.50
2012-03-01,Base rate,0.50
2012-04-01,Base rate,0.50
2012-05-01,Base rate,0.50
2012-06-01,Base rate,0.50
2012-07-01,Base rate,0.50
2012-08-01,Base rate,0.50
2012-09-01,Base rate,0.50
2012-10-01,Base rate,0.50
2012-11-01,Base rate,0.50
2012-12-01,Base rate,0.50
2013-01-01,Base rate,0.50
2013-02-01,Base rate,0.50
2013-03-01,Base rate,0.50
2013-04-01,Base rate,0.50
2013-05-01,Base rate,0.50
2013-06-01,Base rate,0.50
2013-07-01,Base rate,0.50
2013-08-01,Base rate,0.50
2013-09-01,Base rate,0.50
2013-10-01,Base rate,0.50
2013-11-01,Base rate,0.50
2013-12-01,Base rate,0.50
2014-01-01,Base rate,0.50
2014-02-01,Base rate,0.50
2014-03-01,Base rate,0.50
2014-04-01,Base rate,0.50
2014-05-01,Base rate,0.50
2014-06-01,Base rate,0.50
2014-07-01,Base rate,0.50
2014-08-01,Base rate,0.50
2014-09-01,Base rate,0.50
2014-10-01,Base rate,0.50
2014-11-01,Base rate,0.50
2014-12-01,Base rate,0.50
2015-01-01,Base rate,0.50
2015-02-01,Base rate,0.50
2015-03-01,Base rate,0.50
2015-04-01,Base rate,0.50
2015-05-01,Base rate,0.50
2015-06-01,Base rate,0.50
2015-07-01,Base rate,0.50
2015-08-01,Base rate,0.50
2015-09-01,Base rate,0.50
2015-10-01,Base rate,0.50
2015-11-01,Base rate,0.50
2015-12-01,Base rate,0.50
2016-01-01,Base rate,0.50
2016-02-01,Base rate,0.50
2016-03-01,Base rate,0.50
2016-04-01,Base rate,0.50
2016-05-01,Base rate,0.50
2016-06-01,Base rate,0.50
2016-07-01,Base rate,0.50
2016-08-01,Base rate,0.25
2016-09-01,Base rate,0.25
2016-10-01,Base rate,0.25
2016-11-01,Base rate,0.25
2016-12-01,Base rate,0.25
2017-01-01,Base rate,0.25
2017-02-01,Base rate,0.25
2017-03-01,Base rate,0.25
2017-04-01,Base rate,0.25
2017-05-01,Base rate,0.25
2017-06-01,Base rate,0.25
2017-07-01,Base rate,0.25
2017-08-01,Base rate,0.25
2017-09-01,Base rate,0.25
2017-10-01,Base rate,0.25
2017-11-01,Base rate,0.50
2017-12-01,Base rate,0.50
2018-01-01,Base rate,0.50
2018-02-01,Base rate,0.50
2018-03-01,Base rate,0.50
2018-04-01,Base rate,0.50
2018-05-01,Base rate,0.50
2018-06-01,Base rate,0.50
2018-07-01,Base rate,0.50
2018-08-01,Base rate,0.75
2018-09-01,Base rate,0.75
2018-10-01,Base rate,0.75
2018-11-01,Base rate,0.75
2018-12-01,Base rate,0.75
2019-01-01,Base rate,0.75
2019-02-01,Base rate,0.75
2019-03-01,Base rate,0.75
2019-04-01,Base rate,0.75
2019-05-01,Base rate,0.75
2019-06-01,Base rate,0.75
2019-07-01,Base rate,0.75
2019-08-01,Base rate,0.75
2019-09-01,Base rate,0.75
2019-10-01,Base rate,0.75
2019-11-01,Base rate,0.75
2019-12-01,Base rate,0.75
2020-01-01,Base rate,0.75
2020-02-01,Base rate,0.75
2020-03-01,Base rate,0.10
2020-04-01,Base rate,0.10
2020-05-01,Base rate,0.10
2020-06-01,Base rate,0.10
2020-07-01,Base rate,0.10
2020-08-01,Base rate,0.10
2020-09-01,Base rate,0.10
2020-10-01,Base rate,0.10
2020-11-01,Base rate,0.10
2020-12-01,Base rate,0.10
2021-01-01,Base rate,0.10
2021-02-01,Base rate,0.10
2021-03-01,Base rate,0.10
2021-04-01,Base rate,0.10
2021-05-01,Base rate,0.10
2021-06-01,Base rate,0.10
2021-07-01,Base rate,0.10
2021-08-01,Base rate,0.10
2021-09-01,Base rate,0.10
2021-10-01,Base rate,0.10
2021-11-01,Base rate,0.10
2021-12-01,Base rate,0.25
2022-01-01,Base rate,0.25
2022-02-01,Base rate,0.50
2022-03-01,Base rate,0.75
2022-04-01,Base rate,0.10
2009-03-01,Real interest rate,-2.37
2009-04-01,Real interest rate,-1.78
2009-05-01,Real interest rate,-1.70
2009-06-01,Real interest rate,-1.29
2009-07-01,Real interest rate,-1.28
2009-08-01,Real interest rate,-1.10
2009-09-01,Real interest rate,-0.59
2009-10-01,Real interest rate,-1.01
2009-11-01,Real interest rate,-1.41
2009-12-01,Real interest rate,-2.39
2010-01-01,Real interest rate,-2.98
2010-02-01,Real interest rate,-2.47
2010-03-01,Real interest rate,-2.88
2010-04-01,Real interest rate,-3.23
2010-05-01,Real interest rate,-2.89
2010-06-01,Real interest rate,-2.75
2010-07-01,Real interest rate,-2.55
2010-08-01,Real interest rate,-2.62
2010-09-01,Real interest rate,-2.58
2010-10-01,Real interest rate,-2.66
2010-11-01,Real interest rate,-2.76
2010-12-01,Real interest rate,-3.20
2011-01-01,Real interest rate,-3.47
2011-02-01,Real interest rate,-3.85
2011-03-01,Real interest rate,-3.54
2011-04-01,Real interest rate,-3.98
2011-05-01,Real interest rate,-3.95
2011-06-01,Real interest rate,-3.70
2011-07-01,Real interest rate,-3.93
2011-08-01,Real interest rate,-4.01
2011-09-01,Real interest rate,-4.68
2011-10-01,Real interest rate,-4.48
2011-11-01,Real interest rate,-4.26
2011-12-01,Real interest rate,-3.70
2012-01-01,Real interest rate,-3.08
2012-02-01,Real interest rate,-2.94
2012-03-01,Real interest rate,-2.96
2012-04-01,Real interest rate,-2.54
2012-05-01,Real interest rate,-2.27
2012-06-01,Real interest rate,-1.95
2012-07-01,Real interest rate,-2.06
2012-08-01,Real interest rate,-1.98
2012-09-01,Real interest rate,-1.70
2012-10-01,Real interest rate,-2.17
2012-11-01,Real interest rate,-2.16
2012-12-01,Real interest rate,-2.18
2013-01-01,Real interest rate,-2.21
2013-02-01,Real interest rate,-2.28
2013-03-01,Real interest rate,-2.33
2013-04-01,Real interest rate,-1.92
2013-05-01,Real interest rate,-2.20
2013-06-01,Real interest rate,-2.42
