date,metric,value
01/03/2009,CPI,2.87
01/04/2009,CPI,2.28
01/05/2009,CPI,2.2
01/06/2009,CPI,1.79
01/07/2009,CPI,1.78
01/08/2009,CPI,1.6
01/09/2009,CPI,1.09
01/10/2009,CPI,1.51
01/11/2009,CPI,1.91
01/12/2009,CPI,2.89
01/01/2010,CPI,3.48
01/02/2010,CPI,2.97
01/03/2010,CPI,3.38
01/04/2010,CPI,3.73
01/05/2010,CPI,3.39
01/06/2010,CPI,3.25
01/07/2010,CPI,3.05
01/08/2010,CPI,3.12
01/09/2010,CPI,3.08
01/10/2010,CPI,3.16
01/11/2010,CPI,3.26
01/12/2010,CPI,3.7
01/01/2011,CPI,3.97
01/02/2011,CPI,4.35
01/03/2011,CPI,4.04
01/04/2011,CPI,4.48
01/05/2011,CPI,4.45
01/06/2011,CPI,4.2
01/07/2011,CPI,4.43
01/08/2011,CPI,4.51
01/09/2011,CPI,5.18
01/10/2011,CPI,4.98
01/11/2011,CPI,4.76
01/12/2011,CPI,4.2
01/01/2012,CPI,3.58
01/02/2012,CPI,3.44
01/03/2012,CPI,3.46
01/04/2012,CPI,3.04
01/05/2012,CPI,2.77
01/06/2012,CPI,2.45
01/07/2012,CPI,2.56
01/08/2012,CPI,2.48
01/09/2012,CPI,2.2
01/10/2012,CPI,2.67
01/11/2012,CPI,2.66
01/12/2012,CPI,2.68
01/01/2013,CPI,2.71
01/02/2013,CPI,2.78
01/03/2013,CPI,2.83
01/04/2013,CPI,2.42
01/05/2013,CPI,2.7
01/06/2013,CPI,2.92
01/07/2013,CPI,2.77
01/08/2013,CPI,2.69
01/09/2013,CPI,2.67
01/10/2013,CPI,2.19
01/11/2013,CPI,2.08
01/12/2013,CPI,2.03
01/01/2014,CPI,1.89
01/02/2014,CPI,1.72
01/03/2014,CPI,1.61
01/04/2014,CPI,1.77
01/05/2014,CPI,1.49
01/06/2014,CPI,1.9
01/07/2014,CPI,1.59
01/08/2014,CPI,1.55
01/09/2014,CPI,1.23
01/10/2014,CPI,1.29
01/11/2014,CPI,0.97
01/12/2014,CPI,0.55
01/01/2015,CPI,0.28
01/02/2015,CPI,0.03
01/03/2015,CPI,-0.01
01/04/2015,CPI,-0.12
01/05/2015,CPI,0.11
01/06/2015,CPI,-0.04
01/07/2015,CPI,0.15
01/08/2015,CPI,0.01
01/09/2015,CPI,-0.12
01/10/2015,CPI,-0.11
01/11/2015,CPI,0.11
01/12/2015,CPI,0.2
01/01/2016,CPI,0.29
01/02/2016,CPI,0.28
01/03/2016,CPI,0.46
01/04/2016,CPI,0.29
01/05/2016,CPI,0.31
01/06/2016,CPI,0.46
01/07/2016,CPI,0.56
01/08/2016,CPI,0.64
01/09/2016,CPI,0.98
01/10/2016,CPI,0.91
01/11/2016,CPI,1.17
01/12/2016,CPI,1.56
01/01/2017,CPI,1.82
01/02/2017,CPI,2.3
01/03/2017,CPI,2.32
01/04/2017,CPI,2.71
01/05/2017,CPI,2.87
01/06/2017,CPI,2.64
01/07/2017,CPI,2.63
01/08/2017,CPI,2.86
01/09/2017,CPI,2.96
01/10/2017,CPI,3
01/11/2017,CPI,3.09
01/12/2017,CPI,2.97
01/01/2018,CPI,2.99
01/02/2018,CPI,2.71
01/03/2018,CPI,2.46
01/04/2018,CPI,2.38
01/05/2018,CPI,2.42
01/06/2018,CPI,2.45
01/07/2018,CPI,2.47
01/08/2018,CPI,2.65
01/09/2018,CPI,2.42
01/10/2018,CPI,2.39
01/11/2018,CPI,2.31
01/12/2018,CPI,2.1
01/01/2019,CPI,1.85
01/02/2019,CPI,1.87
01/03/2019,CPI,1.91
01/04/2019,CPI,2.12
01/05/2019,CPI,2.02
01/06/2019,CPI,2.01
01/07/2019,CPI,2.06
01/08/2019,CPI,1.72
01/09/2019,CPI,1.71
01/10/2019,CPI,1.46
01/11/2019,CPI,1.47
01/12/2019,CPI,1.3
01/01/2020,CPI,1.77
01/02/2020,CPI,1.71
01/03/2020,CPI,1.52
01/04/2020,CPI,0.77
01/05/2020,CPI,0.48
01/06/2020,CPI,0.6
01/07/2020,CPI,1.04
01/08/2020,CPI,0.22
01/09/2020,CPI,0.53
01/10/2020,CPI,0.7
01/11/2020,CPI,0.32
01/12/2020,CPI,0.59
01/01/2021,CPI,0.7
01/02/2021,CPI,0.41
01/03/2021,CPI,0.71
01/04/2021,CPI,1.53
01/05/2021,CPI,2.11
01/06/2021,CPI,2.51
01/07/2021,CPI,2.04
01/08/2021,CPI,3.2
01/09/2021,CPI,3.08
01/10/2021,CPI,4.1
01/11/2021,CPI,5.1
01/12/2021,CPI,5.4
01/01/2022,CPI,5.5
01/02/2022,CPI,6.2
01/03/2022,CPI,7
01/04/2022,CPI,null
01/03/2009,Base rate,0.5
01/04/2009,Base rate,0.5
01/05/2009,Base rate,0.5
01/06/2009,Base rate,0.5
01/07/2009,Base rate,0.5
01/08/2009,Base rate,0.5
01/09/2009,Base rate,0.5
01/10/2009,Base rate,0.5
01/11/2009,Base rate,0.5
01/12/2009,Base rate,0.5
01/01/2010,Base rate,0.5
01/02/2010,Base rate,0.5
01/03/2010,Base rate,0.5
