time,series,value
0.5,Jan 2010,4.23
1,Jan 2010,4.28
1.5,Jan 2010,4.32
2,Jan 2010,4.36
2.5,Jan 2010,4.39
3,Jan 2010,4.42
3.5,Jan 2010,4.44
4,Jan 2010,4.47
4.5,Jan 2010,4.48
5,Jan 2010,4.50
5.5,Jan 2010,4.51
6,Jan 2010,4.52
6.5,Jan 2010,4.52
7,Jan 2010,4.53
7.5,Jan 2010,4.53
8,Jan 2010,4.53
8.5,Jan 2010,4.53
9,Jan 2010,4.53
9.5,Jan 2010,4.53
10,Jan 2010,4.53
10.5,Jan 2010,4.52
11,Jan 2010,4.52
11.5,Jan 2010,4.51
12,Jan 2010,4.51
12.5,Jan 2010,4.50
13,Jan 2010,4.50
13.5,Jan 2010,4.49
14,Jan 2010,4.48
14.5,Jan 2010,4.48
15,Jan 2010,null
15.5,Jan 2010,null
16,Jan 2010,null
16.5,Jan 2010,null
17,Jan 2010,null
17.5,Jan 2010,null
18,Jan 2010,null
18.5,Jan 2010,null
19,Jan 2010,null
19.5,Jan 2010,null
20,Jan 2010,null
20.5,Jan 2010,null
21,Jan 2010,null
21.5,Jan 2010,null
22,Jan 2010,null
22.5,Jan 2010,null
23,Jan 2010,null
23.5,Jan 2010,null
24,Jan 2010,null
24.5,Jan 2010,null
25,Jan 2010,null
25.5,Jan 2010,null
26,Jan 2010,null
26.5,Jan 2010,null
27,Jan 2010,null
27.5,Jan 2010,null
28,Jan 2010,null
28.5,Jan 2010,null
29,Jan 2010,null
29.5,Jan 2010,null
30,Jan 2010,null
30.5,Jan 2010,null
31,Jan 2010,null
31.5,Jan 2010,null
32,Jan 2010,null
32.5,Jan 2010,null
33,Jan 2010,null
33.5,Jan 2010,null
34,Jan 2010,null
34.5,Jan 2010,null
35,Jan 2010,null
35.5,Jan 2010,null
36,Jan 2010,null
36.5,Jan 2010,null
37,Jan 2010,null
37.5,Jan 2010,null
38,Jan 2010,null
38.5,Jan 2010,null
39,Jan 2010,null
39.5,Jan 2010,null
40,Jan 2010,null
0.5,Jan 2018,0.42
1,Jan 2018,0.55
1.5,Jan 2018,0.63
2,Jan 2018,0.69
2.5,Jan 2018,0.75
