time,series,value
0.5,Jan-10,0.49
1,Jan-10,0.71
1.5,Jan-10,1.06
2,Jan-10,1.43
2.5,Jan-10,1.76
3,Jan-10,2.05
3.5,Jan-10,2.31
4,Jan-10,2.54
4.5,Jan-10,2.75
5,Jan-10,2.94
5.5,Jan-10,3.12
6,Jan-10,3.27
6.5,Jan-10,3.42
7,Jan-10,3.55
7.5,Jan-10,3.67
8,Jan-10,3.78
8.5,Jan-10,3.88
9,Jan-10,3.96
9.5,Jan-10,4.04
10,Jan-10,4.11
10.5,Jan-10,4.18
11,Jan-10,4.23
11.5,Jan-10,4.28
12,Jan-10,4.32
12.5,Jan-10,4.36
13,Jan-10,4.39
13.5,Jan-10,4.42
14,Jan-10,4.44
14.5,Jan-10,4.47
15,Jan-10,4.48
15.5,Jan-10,4.50
16,Jan-10,4.51
16.5,Jan-10,4.52
17,Jan-10,4.52
17.5,Jan-10,4.53
18,Jan-10,4.53
18.5,Jan-10,4.53
19,Jan-10,4.53
19.5,Jan-10,4.53
20,Jan-10,4.53
20.5,Jan-10,4.53
21,Jan-10,4.52
21.5,Jan-10,4.52
22,Jan-10,4.51
22.5,Jan-10,4.51
23,Jan-10,4.50
23.5,Jan-10,4.50
24,Jan-10,4.49
24.5,Jan-10,4.48
25,Jan-10,4.48
25.5,Jan-10,null
26,Jan-10,null
26.5,Jan-10,null
27,Jan-10,null
27.5,Jan-10,null
28,Jan-10,null
28.5,Jan-10,null
29,Jan-10,null
29.5,Jan-10,null
30,Jan-10,null
30.5,Jan-10,null
31,Jan-10,null
31.5,Jan-10,null
32,Jan-10,null
32.5,Jan-10,null
33,Jan-10,null
33.5,Jan-10,null
34,Jan-10,null
34.5,Jan-10,null
35,Jan-10,null
35.5,Jan-10,null
36,Jan-10,null
36.5,Jan-10,null
37,Jan-10,null
37.5,Jan-10,null
38,Jan-10,null
38.5,Jan-10,null
39,Jan-10,null
39.5,Jan-10,null
40,Jan-10,null
0.5,Jan-18,0.42
1,Jan-18,0.55
1.5,Jan-18,0.63
2,Jan-18,0.69
2.5,Jan-18,0.75
3,Jan-18,0.81
3.5,Jan-18,0.87
4,Jan-18,0.93
4.5,Jan-18,0.98
5,Jan-18,1.04
5.5,Jan-18,1.1
6,Jan-18,1.16
6.5,Jan-18,1.21
7,Jan-18,1.26
7.5,Jan-18,1.32
8,Jan-18,1.37
8.5,Jan-18,1.42
9,Jan-18,1.46
9.5,Jan-18,1.51
10,Jan-18,1.55
10.5,Jan-18,1.59
11,Jan-18,1.63
11.5,Jan-18,1.66
12,Jan-18,1.69
12.5,Jan-18,1.72
13,Jan-18,1.75
13.5,Jan-18,1.78
14,Jan-18,1.81
14.5,Jan-18,1.83
15,Jan-18,1.85
15.5,Jan-18,1.87
16,Jan-18,1.89
16.5,Jan-18,1.91
17,Jan-18,1.92
17.5,Jan-18,1.94
18,Jan-18,1.95
18.5,Jan-18,1.96
19,Jan-18,1.98
19.5,Jan-18,1.99
20,Jan-18,1.99
20.5,Jan-18,2
21,Jan-18,2.01
21.5,Jan-18,2.01
22,Jan-18,2.02
22.5,Jan-18,2.02
23,Jan-18,2.02
23.5,Jan-18,2.02
24,Jan-18,2.02
24.5,Jan-18,2.02
25,Jan-18,2.02
25.5,Jan-18,2.02
26,Jan-18,2.01
26.5,Jan-18,2.01
27,Jan-18,2
27.5,Jan-18,1.99
28,Jan-18,1.99
28.5,Jan-18,1.98
29,Jan-18,1.97
29.5,Jan-18,1.96
30,Jan-18,1.95
30.5,Jan-18,1.94
31,Jan-18,1.92
31.5,Jan-18,1.91
32,Jan-18,1.9
32.5,Jan-18,1.89
33,Jan-18,1.87
33.5,Jan-18,1.86
34,Jan-18,1.85
34.5,Jan-18,1.83
35,Jan-18,1.82
35.5,Jan-18,1.81
36,Jan-18,1.8
36.5,Jan-18,1.78
37,Jan-18,1.77
37.5,Jan-18,1.76
38,Jan-18,1.75
38.5,Jan-18,1.74
39,Jan-18,1.73
39.5,Jan-18,1.72
40,Jan-18,1.71
0.5,Sep-21,0.04
1,Sep-21,0.18
1.5,Sep-21,0.27
2,Sep-21,0.33
2.5,Sep-21,0.39
3,Sep-21,0.44
3.5,Sep-21,0.48
4,Sep-21,0.53
4.5,Sep-21,0.57
5,Sep-21,0.62
5.5,Sep-21,0.66
6,Sep-21,0.71
6.5,Sep-21,0.75
7,Sep-21,0.8
7.5,Sep-21,0.84
8,Sep-21,0.88
8.5,Sep-21,0.93
9,Sep-21,0.97
9.5,Sep-21,1.01
10,Sep-21,1.04
10.5,Sep-21,1.08
11,Sep-21,1.11
11.5,Sep-21,1.14
12,Sep-21,1.17
12.5,Sep-21,1.2
13,Sep-21,1.23
13.5,Sep-21,1.25
14,Sep-21,1.27
14.5,Sep-21,1.29
15,Sep-21,1.31
15.5,Sep-21,1.33
16,Sep-21,1.35
16.5,Sep-21,1.36
17,Sep-21,1.37
17.5,Sep-21,1.38
18,Sep-21,1.39
18.5,Sep-21,1.4
19,Sep-21,1.41
19.5,Sep-21,1.42
20,Sep-21,1.43
20.5,Sep-21,1.43
21,Sep-21,1.44
21.5,Sep-21,1.44
22,Sep-21,1.44
22.5,Sep-21,1.45
23,Sep-21,1.45
23.5,Sep-21,1.45
24,Sep-21,1.45
24.5,Sep-21,1.45
25,Sep-21,1.45
25.5,Sep-21,1.44
26,Sep-21,1.44
26.5,Sep-21,1.44
27,Sep-21,1.44
27.5,Sep-21,1.43
28,Sep-21,1.43
28.5,Sep-21,1.42
29,Sep-21,1.42
29.5,Sep-21,1.41
30,Sep-21,1.41
30.5,Sep-21,1.4
31,Sep-21,1.4
31.5,Sep-21,1.39
32,Sep-21,1.38
32.5,Sep-21,1.38
33,Sep-21,1.37
33.5,Sep-21,1.36
34,Sep-21,1.36
34.5,Sep-21,1.35
35,Sep-21,1.34
35.5,Sep-21,1.33
36,Sep-21,1.33
36.5,Sep-21,1.32
37,Sep-21,1.31
37.5,Sep-21,1.31
38,Sep-21,1.3
38.5,Sep-21,1.29
39,Sep-21,1.29
39.5,Sep-21,1.28
40,Sep-21,1.27
