date,term,value
2021-02-07,Non-fungible token,1
2021-02-14,Non-fungible token,2
2021-02-21,Non-fungible token,4
2021-02-28,Non-fungible token,7
2021-03-07,Non-fungible token,12
2021-03-14,Non-fungible token,11
2021-03-21,Non-fungible token,9
2021-03-28,Non-fungible token,8
2021-04-04,Non-fungible token,7
2021-04-11,Non-fungible token,7
2021-04-18,Non-fungible token,5
2021-04-25,Non-fungible token,10
2021-05-02,Non-fungible token,6
2021-05-09,Non-fungible token,5
2021-05-16,Non-fungible token,6
2021-05-23,Non-fungible token,5
2021-05-30,Non-fungible token,4
2021-06-06,Non-fungible token,3
2021-06-13,Non-fungible token,3
2021-06-20,Non-fungible token,3
2021-06-27,Non-fungible token,3
2021-07-04,Non-fungible token,2
2021-07-11,Non-fungible token,3
2021-07-18,Non-fungible token,3
2021-07-25,Non-fungible token,2
2021-08-01,Non-fungible token,4
2021-08-08,Non-fungible token,4
2021-08-15,Non-fungible token,4
2021-08-22,Non-fungible token,12
2021-08-29,Non-fungible token,13
2021-09-05,Non-fungible token,9
2021-09-12,Non-fungible token,7
2021-09-19,Non-fungible token,7
2021-09-26,Non-fungible token,7
2021-10-03,Non-fungible token,9
2021-10-10,Non-fungible token,10
2021-10-17,Non-fungible token,11
2021-10-24,Non-fungible token,13
2021-10-31,Non-fungible token,16
2021-11-07,Non-fungible token,19
2021-11-14,Non-fungible token,18
2021-11-21,Non-fungible token,16
2021-11-28,Non-fungible token,17
2021-12-05,Non-fungible token,21
2021-12-12,Non-fungible token,27
2021-12-19,Non-fungible token,27
2021-12-26,Non-fungible token,22
2022-01-02,Non-fungible token,30
2022-01-09,Non-fungible token,29
2022-01-16,Non-fungible token,35
2022-01-23,Non-fungible token,34
2022-01-30,Non-fungible token,30
2022-02-06,Non-fungible token,23
2022-02-13,Non-fungible token,20
2022-02-20,Non-fungible token,15
2022-02-27,Non-fungible token,13
2022-03-06,Non-fungible token,12
2022-03-13,Non-fungible token,12
2022-03-20,Non-fungible token,11
2022-03-27,Non-fungible token,12
2022-04-03,Non-fungible token,10
2021-02-07,Cryotocurrency,46
2021-02-14,Cryotocurrency,39
2021-02-21,Cryotocurrency,34
2021-02-28,Cryotocurrency,25
2021-03-07,Cryotocurrency,28
2021-03-14,Cryotocurrency,34
2021-03-21,Cryotocurrency,30
2021-03-28,Cryotocurrency,34
2021-04-04,Cryotocurrency,40
2021-04-11,Cryotocurrency,60
2021-04-18,Cryotocurrency,75
2021-04-25,Cryotocurrency,55
2021-05-02,Cryotocurrency,85
2021-05-09,Cryotocurrency,100
2021-05-16,Cryotocurrency,94
2021-05-23,Cryotocurrency,55
2021-05-30,Cryotocurrency,34
2021-06-06,Cryotocurrency,29
2021-06-13,Cryotocurrency,24
2021-06-20,Cryotocurrency,26
2021-06-27,Cryotocurrency,22
2021-07-04,Cryotocurrency,19
2021-07-11,Cryotocurrency,17
2021-07-18,Cryotocurrency,18
2021-07-25,Cryotocurrency,21
2021-08-01,Cryotocurrency,20
2021-08-08,Cryotocurrency,26
2021-08-15,Cryotocurrency,25
2021-08-22,Cryotocurrency,27
2021-08-29,Cryotocurrency,27
2021-09-05,Cryotocurrency,31
2021-09-12,Cryotocurrency,25
2021-09-19,Cryotocurrency,26
2021-09-26,Cryotocurrency,21
2021-10-03,Cryotocurrency,27
2021-10-10,Cryotocurrency,28
2021-10-17,Cryotocurrency,30
2021-10-24,Cryotocurrency,60
2021-10-31,Cryotocurrency,61
2021-11-07,Cryotocurrency,57
2021-11-14,Cryotocurrency,50
2021-11-21,Cryotocurrency,51
2021-11-28,Cryotocurrency,46
2021-12-05,Cryotocurrency,34
2021-12-12,Cryotocurrency,32
2021-12-19,Cryotocurrency,32
2021-12-26,Cryotocurrency,33
2022-01-02,Cryotocurrency,37
2022-01-09,Cryotocurrency,33
2022-01-16,Cryotocurrency,37
2022-01-23,Cryotocurrency,34
2022-01-30,Cryotocurrency,29
2022-02-06,Cryotocurrency,30
2022-02-13,Cryotocurrency,25
2022-02-20,Cryotocurrency,24
2022-02-27,Cryotocurrency,22
2022-03-06,Cryotocurrency,22
2022-03-13,Cryotocurrency,21
2022-03-20,Cryotocurrency,22
2022-03-27,Cryotocurrency,27
2022-04-03,Cryotocurrency,24
