date,value,value2
1990,6.1,0.061
1991,6.1,0.061
1992,6.1,0.061
1993,6.9,0.069
1994,6.5,0.065
1995,6.8,0.068
1996,6.6,0.066
1997,6.5,0.065
1998,6.4,0.064
1999,6,0.06
2000,5.8,0.058
2001,5.7,0.057
2002,5.9,0.059
2003,6.4,0.064
2004,7,0.07
2005,7.8,0.078
2006,7.9,0.079
2007,8.8,0.088
2008,8.1,0.081
2009,9.1,0.091
2010,8.7,0.087
2011,8.5,0.085
2012,8.6,0.086
2013,8.5,0.085
2014,7.9,0.079
2015,8.4,0.084
2016,8.6,0.086
2017,8.5,0.085
2018,8.2,0.082
2019,8.7,0.087
2020,8.7,0.087
2021,8.3,0.083
