country,date,value
UK,1990,31.00492
UK,1991,31.34582
UK,1992,32.18279
UK,1993,33.45371
UK,1994,33.91728
UK,1995,36.779327
UK,1996,38.637474
UK,1997,40.242714
UK,1998,41.010826
UK,1999,42.357723
UK,2000,44.76795
UK,2001,45.33829
UK,2002,45.502758
UK,2003,46.255444
UK,2004,46.993843
UK,2005,49.651768
UK,2006,50.061077
UK,2007,49.39457
UK,2008,50.692265
UK,2009,48.38714
UK,2010,51.329544
UK,2011,51.850594
UK,2012,52.153336
UK,2013,53.171543
UK,2014,52.07599
UK,2015,53.37609
UK,2016,53.079872
UK,2017,54.676918
UK,2018,54.799587
UK,2019,54.34881
US,1990,45.16287
US,1991,45.744625
US,1992,47.651917
US,1993,48.10981
US,1994,48.650463
US,1995,49.04458
US,1996,50.09086
US,1997,51.070477
US,1998,52.246185
US,1999,53.717453
US,2000,55.11331
US,2001,56.182423
US,2002,57.68048
US,2003,59.586433
US,2004,61.241177
US,2005,62.52242
US,2006,63.186916
US,2007,63.884613
US,2008,64.56712
US,2009,66.34159
US,2010,68.20562
US,2011,68.31264
US,2012,68.82278
US,2013,69.43636
US,2014,70.00538
US,2015,70.63671
US,2016,70.92089
US,2017,71.63857
US,2018,72.48703
US,2019,73.7004
Japan,1990,27.704779
Japan,1991,29.11402
Japan,1992,30.590227
Japan,1993,31.973555
Japan,1994,33.269157
Japan,1995,34.962364
Japan,1996,36.679893
Japan,1997,37.125977
Japan,1998,37.549026
Japan,1999,38.38752
Japan,2000,39.46904
Japan,2001,39.568127
Japan,2002,40.303066
Japan,2003,40.888096
Japan,2004,41.53163
Japan,2005,42.49986
Japan,2006,42.47058
Japan,2007,43.1645
Japan,2008,42.903145
Japan,2009,42.11367
Japan,2010,43.54393
Japan,2011,42.942596
Japan,2012,42.834938
Japan,2013,43.479416
Japan,2014,42.72143
Japan,2015,43.800053
Japan,2016,42.68171
Japan,2017,42.422935
Japan,2018,41.73783
Japan,2019,42.56412
Germany,1990,35.48058
Germany,1991,39.042515
Germany,1992,40.763165
Germany,1993,42.447567
Germany,1994,44.128757
Germany,1995,45.659077
Germany,1996,46.71666
Germany,1997,48.596165
Germany,1998,49.783123
Germany,1999,51.45359
Germany,2000,52.285507
Germany,2001,53.48152
Germany,2002,53.929928
Germany,2003,56.040497
Germany,2004,57.46974
Germany,2005,60.835007
Germany,2006,60.941315
Germany,2007,63.31257
Germany,2008,64.230896
Germany,2009,61.58084
Germany,2010,63.392994
Germany,2011,65.64055
Germany,2012,65.28418
Germany,2013,65.47312
Germany,2014,67.03571
Germany,2015,65.975876
Germany,2016,67.61837
Germany,2017,69.84848
Germany,2018,69.22487
Germany,2019,68.8512
