Date,Happiness
2020-01-01,6.07
2020-01-02,5.942
2020-01-03,5.783
2020-01-04,5.89
2020-01-05,5.89
2020-01-06,5.911
2020-01-07,5.882
2020-01-08,5.892
2020-01-09,5.928
2020-01-10,5.94
2020-01-11,5.945
2020-01-12,5.943
2020-01-13,5.976
2020-01-14,5.96
2020-01-15,5.964
2020-01-16,5.962
2020-01-17,5.981
2020-01-18,5.977
2020-01-19,5.975
2020-01-20,5.947
2020-01-21,5.915
2020-01-22,5.921
2020-01-23,5.928
2020-01-24,5.935
2020-01-25,5.925
2020-01-26,5.895
2020-01-27,5.935
2020-01-28,5.932
2020-01-29,5.93
2020-01-30,5.911
2020-01-31,5.908
2020-02-01,5.953
2020-02-02,5.982
2020-02-03,5.969
2020-02-04,5.953
2020-02-05,5.931
2020-02-06,5.939
2020-02-07,5.945
2020-02-08,5.95
2020-02-09,5.963
2020-02-10,5.995
2020-02-11,5.961
2020-02-12,5.962
2020-02-13,5.975
2020-02-14,6.04
2020-02-15,5.989
2020-02-16,5.989
2020-02-17,5.997
2020-02-18,5.96
2020-02-19,5.929
2020-02-20,5.951
2020-02-21,5.989
2020-02-22,5.986
2020-02-23,5.966
2020-02-24,5.956
2020-02-25,5.92
2020-02-26,5.909
2020-02-27,5.894
2020-02-28,5.891
2020-02-29,5.922
2020-03-01,5.95
2020-03-02,5.925
2020-03-03,5.919
2020-03-04,5.902
2020-03-05,5.886
2020-03-06,5.908
2020-03-07,5.909
2020-03-08,5.955
2020-03-09,5.864
2020-03-10,5.858
2020-03-11,5.787
2020-03-12,5.713
2020-03-13,5.723
2020-03-14,5.774
2020-03-15,5.783
2020-03-16,5.748
2020-03-17,5.749
2020-03-18,5.733
2020-03-19,5.748
2020-03-20,5.774
2020-03-21,5.8
2020-03-22,5.781
2020-03-23,5.754
2020-03-24,5.773
2020-03-25,5.807
2020-03-26,5.831
2020-03-27,5.827
2020-03-28,5.816
2020-03-29,5.805
2020-03-30,5.822
2020-03-31,5.819
2020-04-01,5.803
2020-04-02,5.822
2020-04-03,5.836
2020-04-04,5.85
2020-04-05,5.837
2020-04-06,5.838
2020-04-07,5.872
2020-04-08,5.861
2020-04-09,5.862
2020-04-10,5.879
2020-04-11,5.885
2020-04-12,5.902
2020-04-13,5.865
2020-04-14,5.873
2020-04-15,5.877
2020-04-16,5.893
2020-04-17,5.879
2020-04-18,5.882
2020-04-19,5.879
2020-04-20,5.877
2020-04-21,5.891
2020-04-22,5.894
2020-04-23,5.908
2020-04-24,5.914
2020-04-25,5.901
2020-04-26,5.912
2020-04-27,5.904
2020-04-28,5.897
2020-04-29,5.91
2020-04-30,5.923
2020-05-01,5.938
2020-05-02,5.907
2020-05-03,5.894
2020-05-04,5.903
2020-05-05,5.899
2020-05-06,5.907
2020-05-07,5.871
2020-05-08,5.896
2020-05-09,5.927
2020-05-10,5.958
2020-05-11,5.911
2020-05-12,5.901
2020-05-13,5.896
2020-05-14,5.91
2020-05-15,5.932
2020-05-16,5.925
2020-05-17,5.917
2020-05-18,5.916
2020-05-19,5.972
2020-05-20,5.972
2020-05-21,5.937
2020-05-22,5.942
2020-05-23,5.928
2020-05-24,5.911
2020-05-25,5.931
2020-05-26,5.87
2020-05-27,5.822
2020-05-28,5.757
2020-05-29,5.659
2020-05-30,5.672
