Sector,Response,Percentage
Manufacturing,Productivity,-19.26
Water ,Productivity,-45.58
Construction,Productivity,-25.49
Wholesale and Retail ,Productivity,-19.24
Transportation and Storage,Productivity,-25.88
Accommodation and Food,Productivity,-14.32
Information and Communication,Productivity,0.62
Real Estate,Productivity,-35.7
"Professional, Scientific…",Productivity,-13.2
Administrative ,Productivity,-23.58
Education,Productivity,-31.42
Human Health ,Productivity,-23.08
"Arts, Entertainment…",Productivity,-16.26
All Industries,Productivity,-15.12
