date,value,value2
2008-04-01,22.9,0.229
2008-05-01,22.9,0.229
2008-06-01,22.9,0.229
2008-07-01,23.0,0.23
2008-08-01,23.0,0.23
2008-09-01,23.1,0.231
2008-10-01,22.9,0.229
2008-11-01,22.9,0.229
2008-12-01,22.7,0.227
2009-01-01,22.8,0.228
2009-02-01,22.8,0.228
2009-03-01,22.9,0.229
2009-04-01,23.0,0.23
2009-05-01,23.1,0.231
2009-06-01,23.3,0.233
2009-07-01,23.2,0.232
2009-08-01,23.3,0.233
2009-09-01,23.3,0.233
2009-10-01,23.4,0.234
2009-11-01,23.4,0.234
2009-12-01,23.6,0.236
2010-01-01,23.6,0.236
2010-02-01,23.6,0.236
2010-03-01,23.6,0.236
2010-04-01,23.4,0.234
2010-05-01,23.5,0.235
2010-06-01,23.3,0.233
2010-07-01,23.3,0.233
2010-08-01,23.2,0.232
2010-09-01,23.3,0.233
2010-10-01,23.5,0.235
2010-11-01,23.5,0.235
2010-12-01,23.3,0.233
2011-01-01,23.3,0.233
2011-02-01,23.4,0.234
2011-03-01,23.5,0.235
2011-04-01,23.4,0.234
2011-05-01,23.3,0.233
2011-06-01,23.5,0.235
2011-07-01,23.4,0.234
2011-08-01,23.4,0.234
2011-09-01,23.3,0.233
2011-10-01,23.2,0.232
2011-11-01,23.2,0.232
2011-12-01,23.2,0.232
2012-01-01,23.2,0.232
2012-02-01,23.1,0.231
2012-03-01,23.1,0.231
2012-04-01,23.0,0.23
2012-05-01,22.8,0.228
2012-06-01,22.6,0.226
2012-07-01,22.6,0.226
2012-08-01,22.7,0.227
2012-09-01,22.7,0.227
2012-10-01,22.5,0.225
2012-11-01,22.4,0.224
2012-12-01,22.4,0.224
2013-01-01,22.5,0.225
2013-02-01,22.6,0.226
2013-03-01,22.6,0.226
2013-04-01,22.6,0.226
2013-05-01,22.5,0.225
2013-06-01,22.4,0.224
2013-07-01,22.4,0.224
2013-08-01,22.3,0.223
2013-09-01,22.3,0.223
2013-10-01,22.3,0.223
2013-11-01,22.3,0.223
2013-12-01,22.2,0.222
2014-01-01,22.1,0.221
2014-02-01,22.2,0.222
2014-03-01,22.1,0.221
2014-04-01,22.0,0.22
2014-05-01,22.2,0.222
2014-06-01,22.3,0.223
2014-07-01,22.2,0.222
2014-08-01,22.2,0.222
2014-09-01,22.2,0.222
2014-10-01,22.3,0.223
2014-11-01,22.3,0.223
2014-12-01,22.2,0.222
2015-01-01,22.1,0.221
2015-02-01,22.1,0.221
2015-03-01,22.2,0.222
2015-04-01,22.2,0.222
2015-05-01,22.1,0.221
2015-06-01,22.1,0.221
2015-07-01,22.1,0.221
2015-08-01,22.0,0.22
2015-09-01,21.9,0.219
2015-10-01,21.9,0.219
2015-11-01,21.8,0.218
2015-12-01,21.8,0.218
2016-01-01,21.8,0.218
2016-02-01,21.8,0.218
2016-03-01,21.8,0.218
2016-04-01,21.7,0.217
2016-05-01,21.6,0.216
2016-06-01,21.6,0.216
2016-07-01,21.5,0.215
2016-08-01,21.7,0.217
2016-09-01,21.7,0.217
2016-10-01,21.7,0.217
2016-11-01,21.6,0.216
2016-12-01,21.7,0.217
2017-01-01,21.6,0.216
2017-02-01,21.6,0.216
2017-03-01,21.6,0.216
2017-04-01,21.5,0.215
2017-05-01,21.3,0.213
2017-06-01,21.3,0.213
2017-07-01,21.4,0.214
2017-08-01,21.6,0.216
2017-09-01,21.5,0.215
2017-10-01,21.2,0.212
2017-11-01,21.3,0.213
2017-12-01,21.2,0.212
2018-01-01,21.2,0.212
2018-02-01,21.1,0.211
2018-03-01,21.0,0.21
2018-04-01,21.0,0.21
2018-05-01,21.2,0.212
2018-06-01,21.2,0.212
2018-07-01,21.2,0.212
2018-08-01,21.1,0.211
2018-09-01,21.0,0.21
2018-10-01,21.0,0.21
2018-11-01,20.9,0.209
2018-12-01,20.7,0.207
2019-01-01,20.7,0.207
2019-02-01,20.8,0.208
2019-03-01,20.8,0.208
2019-04-01,20.9,0.209
2019-05-01,20.7,0.207
2019-06-01,20.8,0.208
2019-07-01,21.0,0.21
2019-08-01,20.8,0.208
2019-09-01,20.8,0.208
2019-10-01,20.6,0.206
2019-11-01,20.5,0.205
2019-12-01,20.4,0.204
2020-01-01,20.2,0.202
2020-02-01,20.4,0.204
2020-03-01,20.7,0.207
2020-04-01,20.8,0.208
2020-05-01,21.0,0.21
2020-06-01,20.9,0.209
2020-07-01,21.0,0.21
2020-08-01,21.1,0.211
2020-09-01,21.1,0.211
2020-10-01,21.0,0.21
2020-11-01,21.2,0.212
2020-12-01,21.3,0.213
2021-01-01,21.2,0.212
2021-02-01,21.4,0.214
2021-03-01,21.4,0.214
2021-04-01,21.4,0.214
2021-05-01,21.2,0.212
2021-06-01,21.2,0.212
2021-07-01,21.2,0.212
2021-08-01,21.2,0.212
2021-09-01,21.3,0.213
2021-10-01,21.3,0.213
2021-11-01,21.3,0.213
2021-12-01,21.4,0.214
2022-01-01,21.5,0.215
2022-02-01,21.4,0.214
2022-03-01,21.3,0.213
2022-04-01,21.1,0.211
2022-05-01,21.4,0.214
2022-06-01,21.7,0.217
2022-07-01,21.7,0.217
2022-08-01,21.6,0.216
2022-09-01,21.5,0.215
2022-10-01,21.5,0.215
2022-11-01,21.4,0.214
2022-12-01,21.3,0.213
2023-01-01,21.1,0.211
2023-02-01,21.0,0.21
2023-03-01,21.0,0.21
2023-04-01,20.8,0.208
